Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;Fe ka;Ca ka;Fe ka
Ti ka;Ca ka;Ti ka;Ca ka
Fe ka;Ti ka;Ti kb;Fe kb
Cu ka;Cu ka;Cu ka;Ti ka
Ti kb;Fe kb;Ag ka scattering;Ca kb
Ag ka scattering;Ti kb;Ca kb;Cu ka
Fe kb;Ca kb;Fe kb;Ti kb
Cu kb;Ag ka scattering;Fe ka;Cu kb
background3;Cu kb;background1;Ag ka scattering
Ca kb;background3;Cu kb;background3
background2;Zn ka;Zn kb;Zn ka
background1;background1;Zn ka;background1
Ar ka + Ag L;Zn kb;Ar ka + Ag L;Ar ka + Ag L
Zn ka;Ar ka + Ag L;background3;Zn kb
Zn kb;background2;background2;background2
;;;
