model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
mlp;SMX;1;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.067363;Cl
mlp;SMX;2;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.068863;"Cl; K"
mlp;SMX;3;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.078458;"Cl; K; Ca ka"
mlp;SMX;4;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.09319;"Cl; K; Ca ka; Mo rayleigh scattering"
mlp;SMX;5;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.110768;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka"
mlp;SMX;6;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.044519;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering"
mlp;SMX;7;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.070403;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1"
mlp;SMX;8;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.081606;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si"
mlp;SMX;9;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.095354;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb"
mlp;SMX;10;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.103381;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb"
mlp;SMX;11;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.112449;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni"
mlp;SMX;12;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.091152;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu"
mlp;SMX;13;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.102651;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga"
mlp;SMX;14;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.125034;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka"
mlp;SMX;15;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.117208;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4"
mlp;SMX;16;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.114964;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti"
mlp;SMX;17;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.107103;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3"
mlp;SMX;18;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.105429;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2"
mlp;SMX;19;zero;0.905628;0.716883;0.188745;0.909091;0.727273;0.181818;0.129412;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2; background 6"
mlp;SMX;20;zero;0.905628;0.799242;0.106385;0.909091;0.818182;0.090909;0.108082;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2; background 6; background 5"
mlp;SMX;21;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.08606;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2; background 6; background 5; Fe kb"
mlp;SMX;22;zero;0.905628;0.155844;0.749784;0.909091;0.272727;0.636364;0.383558;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2; background 6; background 5; Fe kb; Ca kb"
mlp;SMX;23;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.293731;"Cl; K; Ca ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; background 1; Si; Zn kb; Pb Lb; Ni; Cu; Ga; Fe ka; background 4; Ti; background 3; background 2; background 6; background 5; Fe kb; Ca kb; Pb La"
mlp;SHAP;1;zero;0.905628;1.0;-0.094372;0.909091;1.0;-0.090909;0.08878;Mo compton scattering
mlp;SHAP;2;zero;0.905628;1.0;-0.094372;0.909091;1.0;-0.090909;0.084271;"Mo compton scattering; Mo rayleigh scattering"
mlp;SHAP;3;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.08699;"Mo compton scattering; Mo rayleigh scattering; Cl"
mlp;SHAP;4;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.068856;"Mo compton scattering; Mo rayleigh scattering; Cl; Ca ka"
mlp;SHAP;5;zero;0.905628;0.818182;0.087446;0.909091;0.818182;0.090909;0.09362;"Mo compton scattering; Mo rayleigh scattering; Cl; Ca ka; Si"
mlp;SHAP;6;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.078031;"Mo compton scattering; Mo rayleigh scattering; Cl; Ca ka; Si; Cu"
mlp;SHAP;7;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.072984;"Mo compton scattering; Mo rayleigh scattering; Cl; Ca ka; Si; Cu; background 5"
