model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
mlp;SMX;1;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.023038;K
mlp;SMX;2;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.049899;"K; Ca ka"
mlp;SMX;3;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.06706;"K; Ca ka; Si"
mlp;SMX;4;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.066379;"K; Ca ka; Si; S"
mlp;SMX;5;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.062336;"K; Ca ka; Si; S; Mn"
mlp;SMX;6;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.078241;"K; Ca ka; Si; S; Mn; Ti ka"
mlp;SMX;7;zero;1.0;0.935;0.065;1.0;0.933333;0.066667;0.188108;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka"
mlp;SMX;8;zero;1.0;0.9025;0.0975;1.0;0.9;0.1;0.230579;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb"
mlp;SMX;9;zero;1.0;0.918329;0.081671;1.0;0.916667;0.083333;0.239855;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P"
mlp;SMX;10;zero;1.0;0.9025;0.0975;1.0;0.9;0.1;0.270977;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb"
mlp;SMX;11;zero;1.0;0.9025;0.0975;1.0;0.9;0.1;0.285922;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al"
mlp;SMX;12;zero;1.0;0.94958;0.05042;1.0;0.95;0.05;0.320553;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar"
mlp;SMX;13;zero;1.0;0.917291;0.082709;1.0;0.916667;0.083333;0.33893;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb"
mlp;SMX;14;zero;1.0;0.87;0.13;1.0;0.866667;0.133333;0.349083;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe"
mlp;SMX;15;zero;1.0;0.917291;0.082709;1.0;0.916667;0.083333;0.354121;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu"
mlp;SMX;16;zero;1.0;0.864295;0.135705;1.0;0.866667;0.133333;0.377553;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni"
mlp;SMX;17;zero;1.0;0.848739;0.151261;1.0;0.85;0.15;0.3804;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1"
mlp;SMX;18;zero;1.0;0.864295;0.135705;1.0;0.866667;0.133333;0.385491;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1; Rayleight scattering"
mlp;SMX;19;zero;1.0;0.839713;0.160287;1.0;0.833333;0.166667;0.397743;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1; Rayleight scattering; background3"
mlp;SMX;20;zero;1.0;0.824;0.176;1.0;0.816667;0.183333;0.399991;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1; Rayleight scattering; background3; Zn"
mlp;SMX;21;zero;1.0;0.647368;0.352632;1.0;0.633333;0.366667;0.427307;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1; Rayleight scattering; background3; Zn; Compton scattering"
mlp;SMX;22;zero;1.0;0.138462;0.861538;1.0;0.3;0.7;0.4365;"K; Ca ka; Si; S; Mn; Ti ka; Fe ka; Ca kb; P; Fe kb; Al; Rh L + Ar; Ti kb; sum Fe; Cu; Ni; background1; Rayleight scattering; background3; Zn; Compton scattering; background2"
mlp;SHAP;1;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.024703;Ca ka
mlp;SHAP;2;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.059893;"Ca ka; Fe ka"
mlp;SHAP;3;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.080096;"Ca ka; Fe ka; K"
mlp;SHAP;4;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.110768;"Ca ka; Fe ka; K; Ti ka"
mlp;SHAP;5;zero;1.0;0.983458;0.016542;1.0;0.983333;0.016667;0.180572;"Ca ka; Fe ka; K; Ti ka; Si"
mlp;SHAP;6;zero;1.0;0.94958;0.05042;1.0;0.95;0.05;0.222333;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb"
mlp;SHAP;7;zero;1.0;0.966074;0.033926;1.0;0.966667;0.033333;0.250278;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar"
mlp;SHAP;8;zero;1.0;0.966074;0.033926;1.0;0.966667;0.033333;0.253656;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar; Rayleight scattering"
mlp;SHAP;9;zero;1.0;0.966074;0.033926;1.0;0.966667;0.033333;0.267506;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar; Rayleight scattering; P"
mlp;SHAP;10;zero;1.0;0.948589;0.051411;1.0;0.95;0.05;0.299778;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar; Rayleight scattering; P; Fe kb"
mlp;SHAP;11;zero;1.0;0.966074;0.033926;1.0;0.966667;0.033333;0.308244;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar; Rayleight scattering; P; Fe kb; Mn"
mlp;SHAP;12;zero;1.0;0.966074;0.033926;1.0;0.966667;0.033333;0.331007;"Ca ka; Fe ka; K; Ti ka; Si; Ca kb; Rh L + Ar; Rayleight scattering; P; Fe kb; Mn; Compton scattering"
