Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;K;K;Fe ka
Fe ka;Fe ka;Ca ka;K
K;Ca ka;Si;Ca ka
Ti ka;Si;S;Si
Si;Ca kb;Mn;Fe kb
Ca kb;Ti ka;Ti ka;Ti ka
Rh L + Ar;P;Fe ka;Ca kb
Rayleight scattering;Mn;Ca kb;Rh L + Ar
P;Rh L + Ar;P;background3
Fe kb;Fe kb;Fe kb;Compton scattering
Mn;S;Al;Rayleight scattering
Compton scattering;Ni;Rh L + Ar;Al
background3;Al;Ti kb;sum Fe
sum Fe;sum Fe;sum Fe;Ti kb
S;background3;Cu;background2
background2;background2;Ni;P
background1;Ti kb;background1;Mn
Ni;Cu;Rayleight scattering;Ni
Ti kb;Compton scattering;background3;Cu
Al;Zn;Zn;S
Cu;Rayleight scattering;Compton scattering;Zn
Zn;background1;background2;background1
;;;
