Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -3.05;21.404810508217373;Fe ka;-3.05;>;-11.993966880702645;102.0;0.01249939322380289;Fe ka > -11.993967
Fe ka > -3.74;17.684717545454767;Fe ka;-3.74;>;-14.39418125184009;68.0;0.01716195630394246;Fe ka > -14.394181
Fe ka > -2.26;13.656155463821227;Fe ka;-2.26;>;-8.585460500977106;77.0;0.009247464592412769;Fe ka > -8.585461
K > -6.69;10.183982270271748;K;-6.69;>;-65.67127243680328;79.0;0.023761074077500943;K > -65.671272
Ca ka <= 3.95;7.556112005835981;Ca ka;3.95;<=;24.763583327192777;89.0;0.04588513780791725;Ca ka <= 24.763583
Si > -1.67;6.863787668898103;Si;-1.67;>;-4.20092197137499;133.0;0.02352670165131321;Si > -4.200922
K <= 6.26;6.329834566454034;K;6.26;<=;61.252409982286686;132.0;0.032623268699308205;K <= 61.252410
Si > -2.51;5.78947023936633;Si;-2.51;>;-6.726366570294854;45.0;0.014243412985783799;Si > -6.726367
Ca ka <= 1.77;5.5822819737714955;Ca ka;1.77;<=;11.95326604704246;82.0;0.01340814147351943;Ca ka <= 11.953266
K > -1.46;5.139281740937692;K;-1.46;>;-12.506148277232212;111.0;0.014009806674556202;K > -12.506148
Si > -0.72;4.405796763368618;Si;-0.72;>;-2.08704351887285;129.0;0.03892620473939157;Si > -2.087044
Ca ka > -4.65;2.5838516049743716;Ca ka;-4.65;>;-28.611834952528678;28.0;0.009804402998742745;Ca ka > -28.611835
Fe kb > -0.63;1.996428934401124;Fe kb;-0.63;>;-1.6441733943669932;75.0;0.0008051606863017646;Fe kb > -1.644173
Ti ka > -0.70;1.9080020028943192;Ti ka;-0.70;>;-1.2555888977833012;69.0;0.000298890817404196;Ti ka > -1.255589
Fe kb > -0.91;1.7736951203677724;Fe kb;-0.91;>;-2.3420698436670184;115.0;0.002003957573475046;Fe kb > -2.342070
Fe kb > -0.44;1.7011456505413758;Fe kb;-0.44;>;-1.1968743340560468;106.0;3.3106150516881705e-05;Fe kb > -1.196874
Ti ka > -0.86;1.600552106316211;Ti ka;-0.86;>;-1.533623719504778;84.0;0.003583558257918451;Ti ka > -1.533624
Ti ka > -0.52;1.5846369079374403;Ti ka;-0.52;>;-0.9504818431833442;46.0;0.003641478610981186;Ti ka > -0.950482
Ca kb <= 1.57;1.5813098506722756;Ca kb;1.57;<=;4.061054967503731;89.0;0.027373954966408487;Ca kb <= 4.061055
Ca kb <= 0.62;1.5226396667787803;Ca kb;0.62;<=;1.534383033566584;125.0;0.036219162736439436;Ca kb <= 1.534383
Si <= 3.71;1.3522776193183017;Si;3.71;<=;9.80345067911598;38.0;0.002001928733585956;Si <= 9.803451
Ca ka <= -1.50;1.3466851743887913;Ca ka;-1.50;<=;-9.476438845769698;94.0;0.08308610644550729;Ca ka <= -9.476439
Rh L + Ar > -0.16;1.3213071088619233;Rh L + Ar;-0.16;>;-0.6959020233851827;50.0;0.01049666460330137;Rh L + Ar > -0.695902
Rh L + Ar > -0.77;1.3195276978165222;Rh L + Ar;-0.77;>;-2.9160345662522085;119.0;0.0028541040834669795;Rh L + Ar > -2.916035
K > 2.15;1.291976965288177;K;2.15;>;20.67648529677476;90.0;0.022977462102161006;K > 20.676485
background3 > 0.14;1.247354141763185;background3;0.14;>;0.21506238820989576;64.0;0.0021335623983644303;background3 > 0.215062
K <= 2.15;1.2228757600624605;K;2.15;<=;20.67648529677476;90.0;0.022977462102161006;K <= 20.676485
Rh L + Ar > -1.66;1.2101478041500429;Rh L + Ar;-1.66;>;-6.732787180350089;125.0;0.011318382273834304;Rh L + Ar > -6.732787
Ca kb > -1.81;1.0038524693461393;Ca kb;-1.81;>;-4.698081232668004;5.0;0.006701619175047746;Ca kb > -4.698081
background3 > -0.62;1.0032465523943415;background3;-0.62;>;-1.1804751922823076;21.0;0.005266362607200703;background3 > -1.180475
Compton scattering > 0.05;0.9582893378251764;Compton scattering;0.05;>;0.07424479324554556;83.0;0.0003546346255491953;Compton scattering > 0.074245
Compton scattering > -0.40;0.9293890068672841;Compton scattering;-0.40;>;-0.694786670301573;111.0;0.0003778109244590433;Compton scattering > -0.694787
Fe ka <= 1.10;0.832916606142663;Fe ka;1.10;<=;3.6497618739437563;16.0;0.19274000996863494;Fe ka <= 3.649762
background3 > -1.28;0.8102186506594811;background3;-1.28;>;-2.34056654291928;13.0;0.006414727319767888;background3 > -2.340567
Ca kb <= -0.59;0.7546024125023284;Ca kb;-0.59;<=;-1.5932654398903068;75.0;0.011377930620377619;Ca kb <= -1.593265
Rayleight scattering > 0.03;0.674134561600316;Rayleight scattering;0.03;>;0.04444947124001506;104.0;0.0008567271468915005;Rayleight scattering > 0.044449
Al > -0.68;0.6707054836723414;Al;-0.68;>;-0.9046339459882935;79.0;0.008145982668237628;Al > -0.904634
Compton scattering > -0.88;0.6606938772213385;Compton scattering;-0.88;>;-1.6030918608367637;18.0;0.002428157506323192;Compton scattering > -1.603092
sum Fe > -0.28;0.6520736976672062;sum Fe;-0.28;>;-0.5661559584258156;32.0;0.00221694240786946;sum Fe > -0.566156
