Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K > 2.15;8.370648792236304;K;2.15;>;20.676485296774782;90.0;0.022977462102160562;K > 20.676485
Ca ka <= -1.50;6.1789431273086635;Ca ka;-1.50;<=;-9.476438845769692;94.0;0.08308610644550707;Ca ka <= -9.476439
K <= -1.46;5.239271821516905;K;-1.46;<=;-12.506148277232192;111.0;0.014009806674556424;K <= -12.506148
K > -1.46;4.777127855991499;K;-1.46;>;-12.506148277232192;111.0;0.014009806674556424;K > -12.506148
K > -6.69;4.652134949582931;K;-6.69;>;-65.67127243680326;79.0;0.023761074077503608;K > -65.671272
Ca ka > 1.77;4.283325741951141;Ca ka;1.77;>;11.953266047042456;82.0;0.013408141473519208;Ca ka > 11.953266
Ca ka <= 1.77;4.265298998922168;Ca ka;1.77;<=;11.953266047042456;82.0;0.013408141473519208;Ca ka <= 11.953266
K <= 2.15;4.06278856414153;K;2.15;<=;20.676485296774782;90.0;0.022977462102160562;K <= 20.676485
Ca ka <= 3.95;3.8862710619995067;Ca ka;3.95;<=;24.763583327192777;89.0;0.045885137807916365;Ca ka <= 24.763583
Ca ka > -4.65;3.726460152672921;Ca ka;-4.65;>;-28.611834952528667;28.0;0.009804402998741857;Ca ka > -28.611835
Si <= -1.67;3.542615232892415;Si;-1.67;<=;-4.200921971374994;133.0;0.023526701651313875;Si <= -4.200922
K <= 6.26;3.4173226657718683;K;6.26;<=;61.25240998228667;132.0;0.032623268699308205;K <= 61.252410
Ca ka > -1.50;3.124182782994421;Ca ka;-1.50;>;-9.476438845769692;94.0;0.08308610644550707;Ca ka > -9.476439
Si > -0.72;2.548301707242034;Si;-0.72;>;-2.0870435188728536;129.0;0.038926204739391124;Si > -2.087044
S > 0.55;2.5472349387258997;S;0.55;>;1.0177419806862407;129.0;0.0001713373571943233;S > 1.017742
Si <= 3.71;2.434511279997137;Si;3.71;<=;9.803450679115983;38.0;0.0020019287335877323;Si <= 9.803451
Si <= -0.72;1.9833988659316764;Si;-0.72;<=;-2.0870435188728536;129.0;0.038926204739391124;Si <= -2.087044
S > 0.09;1.805743077293818;S;0.09;>;0.2759999234264712;56.0;0.0009275218920754835;S > 0.276000
Si > -1.67;1.5541933699433224;Si;-1.67;>;-4.200921971374994;133.0;0.023526701651313875;Si > -4.200922
Mn <= -0.41;1.5534589458090948;Mn;-0.41;<=;-1.129426245344322;57.0;0.008943642964016285;Mn <= -1.129426
S > -0.27;1.2168434538695243;S;-0.27;>;-0.49147560856238043;74.0;0.003115116229287729;S > -0.491476
Ti ka <= -0.70;1.14690915736085;Ti ka;-0.70;<=;-1.2555888977833012;69.0;0.000298890817404196;Ti ka <= -1.255589
Fe ka <= -3.05;1.1309424361513714;Fe ka;-3.05;<=;-11.993966880702649;102.0;0.012499393223803779;Fe ka <= -11.993967
Si > -2.51;1.0921263897802314;Si;-2.51;>;-6.726366570294855;45.0;0.014243412985784687;Si > -6.726367
Mn <= 0.23;1.0869399271332953;Mn;0.23;<=;0.5411343087571148;44.0;9.984208036381559e-05;Mn <= 0.541134
Fe ka <= -2.26;1.085563186852859;Fe ka;-2.26;<=;-8.58546050097711;77.0;0.009247464592413213;Fe ka <= -8.585461
S > -0.55;1.0657307950847912;S;-0.55;>;-1.0580910709463298;103.0;0.014153589906226616;S > -1.058091
Mn <= 1.01;0.9920001618286672;Mn;1.01;<=;2.4825645342203364;29.0;0.02934404030307325;Mn <= 2.482565
Fe ka <= 1.10;0.9676474115646445;Fe ka;1.10;<=;3.649761873943752;16.0;0.19274000996863594;Fe ka <= 3.649762
Ca kb <= -0.59;0.9547959117220317;Ca kb;-0.59;<=;-1.5932654398903028;75.0;0.011377930620377064;Ca kb <= -1.593265
Ti ka <= -0.52;0.885566990622661;Ti ka;-0.52;<=;-0.9504818431833428;46.0;0.003641478610981297;Ti ka <= -0.950482
Ca kb <= 1.57;0.8655158221589734;Ca kb;1.57;<=;4.061054967503728;89.0;0.027373954966408265;Ca kb <= 4.061055
Fe ka > -2.26;0.8418848298922714;Fe ka;-2.26;>;-8.58546050097711;77.0;0.009247464592413213;Fe ka > -8.585461
Ti ka <= 0.53;0.825498417784012;Ti ka;0.53;<=;0.9120445600771114;0.0;0.003934583564835226;Ti ka <= 0.912045
P > 0.08;0.8172856139339628;P;0.08;>;0.08407736798006613;17.0;0.02824447330073613;P > 0.084077
Ca kb <= 0.62;0.7710088770799757;Ca kb;0.62;<=;1.534383033566583;125.0;0.03621916273643988;Ca kb <= 1.534383
Fe kb <= -0.91;0.7625939005352877;Fe kb;-0.91;<=;-2.3420698436670193;115.0;0.002003957573475712;Fe kb <= -2.342070
Ca kb > -1.81;0.7484199939048326;Ca kb;-1.81;>;-4.698081232667998;5.0;0.006701619175047968;Ca kb > -4.698081
Fe ka > -3.05;0.7245190319095555;Fe ka;-3.05;>;-11.993966880702649;102.0;0.012499393223803779;Fe ka > -11.993967
Al > 0.19;0.7197243727073768;Al;0.19;>;0.2391850189793141;35.0;0.0016452409310060423;Al > 0.239185
P <= -0.59;0.7077019397944218;P;-0.59;<=;-1.3194620225167288;26.0;0.004480719681388523;P <= -1.319462
Fe ka > -3.74;0.6746250598885238;Fe ka;-3.74;>;-14.394181251840102;68.0;0.017161956303946457;Fe ka > -14.394181
Mn > 0.23;0.6692541289863372;Mn;0.23;>;0.5411343087571148;44.0;9.984208036381559e-05;Mn > 0.541134
Rh L + Ar > -0.16;0.6634235134357371;Rh L + Ar;-0.16;>;-0.695902023385183;50.0;0.01049666460330162;Rh L + Ar > -0.695902
Ti kb <= -0.14;0.6619547322696409;Ti kb;-0.14;<=;-0.2274956204465049;89.0;0.0002768408231788866;Ti kb <= -0.227496
P > -0.59;0.6458690278748838;P;-0.59;>;-1.3194620225167288;26.0;0.004480719681388523;P > -1.319462
Mn > -1.22;0.6333284124972751;Mn;-1.22;>;-2.956074076151453;38.0;0.014723928441448209;Mn > -2.956074
Al > -0.19;0.6291921075238387;Al;-0.19;>;-0.25333580311217485;127.0;0.0022133319055798184;Al > -0.253336
P > -1.23;0.6252110634189886;P;-1.23;>;-2.5403286675679255;54.0;0.0007267226568021812;P > -2.540329
P <= 1.06;0.616185097394567;P;1.06;<=;2.307350459375139;74.0;0.007395718915407246;P <= 2.307350
Ti ka > -0.52;0.604955224915766;Ti ka;-0.52;>;-0.9504818431833428;46.0;0.003641478610981297;Ti ka > -0.950482
Fe kb <= -0.63;0.589584155400292;Fe kb;-0.63;<=;-1.6441733943669925;75.0;0.0008051606863018756;Fe kb <= -1.644173
P <= 0.08;0.5827542493998187;P;0.08;<=;0.08407736798006613;17.0;0.02824447330073613;P <= 0.084077
Ca kb > 0.62;0.5699773735316498;Ca kb;0.62;>;1.534383033566583;125.0;0.03621916273643988;Ca kb > 1.534383
Rh L + Ar > -0.77;0.5663979471002776;Rh L + Ar;-0.77;>;-2.916034566252208;119.0;0.0028541040834674236;Rh L + Ar > -2.916035
Mn > -0.41;0.5552283287176046;Mn;-0.41;>;-1.129426245344322;57.0;0.008943642964016285;Mn > -1.129426
S <= -0.27;0.5515839632559204;S;-0.27;<=;-0.49147560856238043;74.0;0.003115116229287729;S <= -0.491476
Rh L + Ar > -1.66;0.5509295572998612;Rh L + Ar;-1.66;>;-6.732787180350088;125.0;0.011318382273834526;Rh L + Ar > -6.732787
Al > -0.68;0.5480068733743765;Al;-0.68;>;-0.9046339459882944;79.0;0.008145982668237406;Al > -0.904634
sum Fe <= -0.28;0.5356370497971328;sum Fe;-0.28;<=;-0.5661559584258148;32.0;0.0022169424078701816;sum Fe <= -0.566156
S <= 0.55;0.5346743554837624;S;0.55;<=;1.0177419806862407;129.0;0.0001713373571943233;S <= 1.017742
Ti ka > -0.86;0.5264627285941104;Ti ka;-0.86;>;-1.5336237195047762;84.0;0.003583558257918673;Ti ka > -1.533624
Fe kb <= -0.44;0.5221626843103717;Fe kb;-0.44;<=;-1.1968743340560488;106.0;3.310615051627108e-05;Fe kb <= -1.196874
Fe kb <= 0.33;0.5217250856479485;Fe kb;0.33;<=;0.8217191342402983;11.0;0.0052052702627626846;Fe kb <= 0.821719
Ca kb > -0.59;0.5204943429073081;Ca kb;-0.59;>;-1.5932654398903028;75.0;0.011377930620377064;Ca kb > -1.593265
Al <= -0.19;0.5194691130752358;Al;-0.19;<=;-0.25333580311217485;127.0;0.0022133319055798184;Al <= -0.253336
Al <= 0.62;0.5094972474553188;Al;0.62;<=;0.8365147143614386;8.0;0.0024350153973384803;Al <= 0.836515
Ti kb <= 0.20;0.5057549204935342;Ti kb;0.20;<=;0.303342273536009;46.0;0.0006058269056803955;Ti kb <= 0.303342
sum Fe > -0.28;0.49969321597074867;sum Fe;-0.28;>;-0.5661559584258148;32.0;0.0022169424078701816;sum Fe > -0.566156
Ti kb <= 0.03;0.4969248270917208;Ti kb;0.03;<=;0.047607513868815815;18.0;0.0013022063099823386;Ti kb <= 0.047608
Al <= 0.19;0.4962649637276458;Al;0.19;<=;0.2391850189793141;35.0;0.0016452409310060423;Al <= 0.239185
S <= 0.09;0.49097492976418766;S;0.09;<=;0.2759999234264712;56.0;0.0009275218920754835;S <= 0.276000
Rh L + Ar <= -0.77;0.4883203276979096;Rh L + Ar;-0.77;<=;-2.916034566252208;119.0;0.0028541040834674236;Rh L + Ar <= -2.916035
Rh L + Ar <= 1.37;0.48767181133367077;Rh L + Ar;1.37;<=;5.446537216965358;7.0;0.0009359329983165132;Rh L + Ar <= 5.446537
sum Fe > 0.07;0.4862167509009885;sum Fe;0.07;>;0.126393202934992;116.0;0.0012260877775627788;sum Fe > 0.126393
sum Fe <= 0.62;0.48029579768285013;sum Fe;0.62;<=;1.3248837520202097;41.0;0.013740985559832497;sum Fe <= 1.324884
Ti ka > -0.70;0.47953264482954217;Ti ka;-0.70;>;-1.2555888977833012;69.0;0.000298890817404196;Ti ka > -1.255589
Cu > 0.09;0.4770841561684861;Cu;0.09;>;0.21139234944512578;73.0;0.0008594342691738976;Cu > 0.211392
Rh L + Ar <= -0.16;0.4757075422459777;Rh L + Ar;-0.16;<=;-0.695902023385183;50.0;0.01049666460330162;Rh L + Ar <= -0.695902
sum Fe <= 0.07;0.4660308417583899;sum Fe;0.07;<=;0.126393202934992;116.0;0.0012260877775627788;sum Fe <= 0.126393
Ni > 0.13;0.4634705442497202;Ni;0.13;>;0.3659288258694743;96.0;0.0018866359354351714;Ni > 0.365929
Ni > -0.60;0.45107654214881676;Ni;-0.60;>;-1.9624563410771962;85.0;0.0015087225611302157;Ni > -1.962456
Ni > -0.14;0.43729543308047325;Ni;-0.14;>;-0.31360835351073824;100.0;0.011747097420528568;Ni > -0.313608
