energy;Permutation_importance;Zone
3.36;0.011789691842918438;K
3.3;0.010888917023413797;K
6.4;0.01007649791508931;Fe ka
3.66;0.009841338401020016;Ca ka
3.7;0.009818770520560339;Ca ka
6.46;0.008786718566123659;Fe ka
6.42;0.008619533660324828;Fe ka
6.48;0.008429461710145369;Fe ka
6.38;0.0074258544680621446;Fe ka
6.34;0.007317929835729414;Fe ka
3.72;0.007162230993199315;Ca ka
3.26;0.007069169295879639;K
3.68;0.0064524956512327925;Ca ka
3.64;0.005610856322056184;Ca ka
3.32;0.0049403590570328455;K
3.34;0.004768223258535304;K
3.42;0.004673831071494952;K
6.44;0.0046488018567791885;Fe ka
3.74;0.00451613224616183;Ca ka
3.56;0.004501371466457494;Ca ka
3.28;0.004255611829970975;K
1.74;0.004148634803765991;Si
4;0.004138884238578099;Ca kb
4.5;0.004035872779776662;Ti ka
3.8;0.003957192981184079;Ca ka
1.72;0.0038482642374120545;Si
4.54;0.003529510749798746;Ti ka
4.04;0.0032003430122308023;Ca kb
2;0.0031724790701748566;P
5.86;0.003121448556235853;Mn
1.7;0.0030689212402370686;Si
2.62;0.0030097269337916012;Rh L + Ar
2.66;0.0029263915329212744;Rh L + Ar
2.56;0.002810395462883448;Rh L + Ar
6.5;0.0028028999172177937;Fe ka
5.9;0.002689150248929338;Mn
4.48;0.0024936095251956053;Ti ka
3.38;0.0024315494066796074;K
5.94;0.0024074872362564604;Mn
3.5;0.0023477147512647656;Ca ka
4.46;0.002297185080766846;Ti ka
1.68;0.0022799124152328067;Si
2.04;0.0022358328631103073;P
3.78;0.0021402105670407317;Ca ka
3.62;0.0019228210293049982;Ca ka
7.08;0.0019228021515195043;Fe kb
5.92;0.0018713681990925753;Mn
4.52;0.001863338573371566;Ti ka
2.6;0.0018463544183534059;Rh L + Ar
3.52;0.0018343274607024872;Ca ka
1.8;0.0018336722931768215;Si
2.34;0.0018097858123802466;S
3.76;0.0017890220947104555;Ca ka
1.82;0.0017737012987473946;Si
3.6;0.0017428645230146776;Ca ka
6.54;0.0017109820829389287;Fe ka
3.24;0.0016504348590151408;K
4.08;0.0016105043336766558;Ca kb
7.24;0.0016070770135706517;Ni
2.32;0.0016064830233121423;S
3.58;0.0015681083116191635;Ca ka
3.98;0.0015292656580614499;Ca kb
4.06;0.0015065033471791944;Ca kb
3.54;0.0014826580357458928;Ca ka
6.52;0.0014595663901776014;Fe ka
7.26;0.0013917892346853114;Ni
6.36;0.0013714557054838807;Fe ka
4.58;0.0013578237785621169;Ti ka
4.02;0.001325732433814509;Ca kb
7.1;0.0013057574220401336;Fe kb
6.26;0.001258370567674929;Fe ka
7;0.001247417196796058;Fe kb
3.44;0.0012262300930722845;K
1.76;0.001211493780721288;Si
3.82;0.0011808827124576396;Ca ka
2.36;0.0011649104605654856;S
1.58;0.0011610010446249188;Al
7.12;0.0011178085419996462;Fe kb
2.68;0.0011174630537004221;Rh L + Ar
13.39;0.0010963198255485966;sum Fe
2.28;0.001095459522063516;S
13.21;0.0010630416627521837;sum Fe
1.62;0.0010391333730767759;Al
1.92;0.0010330257865537088;P
3.16;0.0010301445077890018;K
