Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -36.27;11.771453313370094;Pb-212;-36.27;<=;-39.31279160486993;1.0;3.4686539838212056;Pb-212 <= -39.312792
Pb-214 <= -17.81;6.209417469605641;Pb-214;-17.81;<=;-12.14823304865967;0.0;1.5820387635226005;Pb-214 <= -12.148233
Pb-212 <= -145.59;5.327722551656186;Pb-212;-145.59;<=;-139.63764702107983;52.0;1.7889909908919606;Pb-212 <= -139.637647
Pb-212 <= 132.38;4.7178571817392445;Pb-212;132.38;<=;134.4972157216444;19.0;0.00599808150360559;Pb-212 <= 134.497216
Pb-212 > -145.59;4.6187020054975605;Pb-212;-145.59;>;-139.63764702107983;52.0;1.7889909908919606;Pb-212 > -139.637647
Pb-214 <= 15.76;4.206443498498903;Pb-214;15.76;<=;16.888351027544964;23.0;0.9006858816422731;Pb-214 <= 16.888351
Pb-214 > 75.33;4.1580288763322795;Pb-214;75.33;>;77.71036060213996;19.0;0.8691621201424482;Pb-214 > 77.710361
Pb-212 <= 47.36;4.058537941873923;Pb-212;47.36;<=;49.44228424761153;47.0;1.8947423578557405;Pb-212 <= 49.442284
Pb-214 <= -80.74;3.931774225606421;Pb-214;-80.74;<=;-78.3798675910515;45.0;2.4124962969791426;Pb-214 <= -78.379868
Pb-214 > -17.81;3.3869702544443268;Pb-214;-17.81;>;-12.14823304865967;0.0;1.5820387635226005;Pb-214 > -12.148233
Pb-214 <= 75.33;3.2247230173292283;Pb-214;75.33;<=;77.71036060213996;19.0;0.8691621201424482;Pb-214 <= 77.710361
Pb-214 > -80.74;2.99834410644816;Pb-214;-80.74;>;-78.3798675910515;45.0;2.4124962969791426;Pb-214 > -78.379868
Pb-212 > -36.27;2.8880770796372115;Pb-212;-36.27;>;-39.31279160486993;1.0;3.4686539838212056;Pb-212 > -39.312792
Tl-208 <= -12.79;2.8128383768749914;Tl-208;-12.79;<=;-15.98841691298058;15.0;0.16192921920350578;Tl-208 <= -15.988417
