Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 > 47.36;6.996481021419002;Pb-212;47.36;>;49.4422842476115;47.0;1.8947423578556624;Pb-212 > 49.442284
Pb-212 <= -145.59;5.3492969686582725;Pb-212;-145.59;<=;-139.63764702107983;52.0;1.788990990892188;Pb-212 <= -139.637647
Pb-212 > -36.27;5.158688754397249;Pb-212;-36.27;>;-39.312791604869744;1.0;3.4686539838209143;Pb-212 > -39.312792
Pb-212 > 132.38;4.9853336243404325;Pb-212;132.38;>;134.49721572164412;19.0;0.00599808150360559;Pb-212 > 134.497216
Pb-212 <= 132.38;4.533907287159591;Pb-212;132.38;<=;134.49721572164412;19.0;0.00599808150360559;Pb-212 <= 134.497216
Pb-212 <= -36.27;3.967846125954006;Pb-212;-36.27;<=;-39.312791604869744;1.0;3.4686539838209143;Pb-212 <= -39.312792
Pb-212 > -145.59;3.9325222536925963;Pb-212;-145.59;>;-139.63764702107983;52.0;1.788990990892188;Pb-212 > -139.637647
Pb-212 <= 47.36;3.0930152100501345;Pb-212;47.36;<=;49.4422842476115;47.0;1.8947423578556624;Pb-212 <= 49.442284
Pb-214 > 15.76;1.539767618585731;Pb-214;15.76;>;16.88835102754433;23.0;0.9006858816422856;Pb-214 > 16.888351
Tl-208 > 36.67;1.413234075208515;Tl-208;36.67;>;39.52521703121954;10.0;0.006701492199979953;Tl-208 > 39.525217
Pb-214 > 75.33;1.3350626161513959;Pb-214;75.33;>;77.71036060213964;19.0;0.869162120142434;Pb-214 > 77.710361
Pb-214 > -17.81;1.2632492789897705;Pb-214;-17.81;>;-12.148233048659904;0.0;1.5820387635225863;Pb-214 > -12.148233
Pb-214 <= 75.33;1.1998822025074327;Pb-214;75.33;<=;77.71036060213964;19.0;0.869162120142434;Pb-214 <= 77.710361
Pb-214 > -80.74;1.1975397489836836;Pb-214;-80.74;>;-78.37986759105183;45.0;2.4124962969790573;Pb-214 > -78.379868
Pb-214 <= -17.81;1.1879926137453396;Pb-214;-17.81;<=;-12.148233048659904;0.0;1.5820387635225863;Pb-214 <= -12.148233
Pb-214 <= -80.74;1.1032004026132993;Pb-214;-80.74;<=;-78.37986759105183;45.0;2.4124962969790573;Pb-214 <= -78.379868
Pb-214 <= 15.76;0.919875912558837;Pb-214;15.76;<=;16.88835102754433;23.0;0.9006858816422856;Pb-214 <= 16.888351
Tl-208 > 13.32;0.9119276674235219;Tl-208;13.32;>;12.779676632624046;41.0;0.9020762183992321;Tl-208 > 12.779677
Tl-208 <= -40.40;0.9030301873174675;Tl-208;-40.40;<=;-40.98345485383891;39.0;0.8512060582920427;Tl-208 <= -40.983455
Tl-208 > -12.79;0.8625299201199739;Tl-208;-12.79;>;-15.988416912980824;15.0;0.16192921920349157;Tl-208 > -15.988417
Ac-228 + Tl-208 > -7.97;0.8482100794757045;Ac-228 + Tl-208;-7.97;>;-8.123050710348934;1.0;0.3780554522956736;Ac-228 + Tl-208 > -8.123051
Ac-228 + Tl-208 > -24.91;0.8112572564323135;Ac-228 + Tl-208;-24.91;>;-24.45189427140815;13.0;0.34761981440296097;Ac-228 + Tl-208 > -24.451894
Ac-228 + Tl-208 > 8.65;0.7841019179706908;Ac-228 + Tl-208;8.65;>;5.722818022673323;3.0;0.16981725546380844;Ac-228 + Tl-208 > 5.722818
Tl-208 > -40.40;0.767719289812398;Tl-208;-40.40;>;-40.98345485383891;39.0;0.8512060582920427;Tl-208 > -40.983455
Tl-208 <= 36.67;0.7587732131378047;Tl-208;36.67;<=;39.52521703121954;10.0;0.006701492199979953;Tl-208 <= 39.525217
Ac-228 + Tl-208 > 26.56;0.7436864556534317;Ac-228 + Tl-208;26.56;>;24.401271587471115;30.0;1.1899362264248552;Ac-228 + Tl-208 > 24.401272
Ac-228 + Tl-208 <= 8.65;0.7038084900840647;Ac-228 + Tl-208;8.65;<=;5.722818022673323;3.0;0.16981725546380844;Ac-228 + Tl-208 <= 5.722818
Ac-228 + Tl-208 <= 26.56;0.6843629065381686;Ac-228 + Tl-208;26.56;<=;24.401271587471115;30.0;1.1899362264248552;Ac-228 + Tl-208 <= 24.401272
Tl-208 <= 13.32;0.6592118383125208;Tl-208;13.32;<=;12.779676632624046;41.0;0.9020762183992321;Tl-208 <= 12.779677
Tl-208 <= -12.79;0.6493220855794501;Tl-208;-12.79;<=;-15.988416912980824;15.0;0.16192921920349157;Tl-208 <= -15.988417
Ac-228 + Tl-208 <= -7.97;0.540873307951218;Ac-228 + Tl-208;-7.97;<=;-8.123050710348934;1.0;0.3780554522956736;Ac-228 + Tl-208 <= -8.123051
K-40 > 7.63;0.3556719694959504;K-40;7.63;>;6.743406809868219;4.0;0.041830437400016685;K-40 > 6.743407
Ac-228 + Tl-208 <= -24.91;0.31625626555230296;Ac-228 + Tl-208;-24.91;<=;-24.45189427140815;13.0;0.34761981440296097;Ac-228 + Tl-208 <= -24.451894
Ac-228 <= -22.48;0.2304480000541971;Ac-228;-22.48;<=;-24.90775605392065;4.0;0.17284401674911365;Ac-228 <= -24.907756
background 1 <= -5.46;0.2220777686483068;background 1;-5.46;<=;-0.6095813550438152;13.0;0.25651669303691627;background 1 <= -0.609581
Ac-228 > 23.26;0.2085761609262875;Ac-228;23.26;>;25.824476559272796;12.0;0.5254579684502652;Ac-228 > 25.824477
K-40 > 3.28;0.20812985207874674;K-40;3.28;>;2.09684020459531;2.0;0.1181102554624589;K-40 > 2.096840
Ac-228 <= 9.13;0.19262060672575776;Ac-228;9.13;<=;5.713763993331611;44.0;0.9216305630108028;Ac-228 <= 5.713764
background 1 <= 7.74;0.18843966177171068;background 1;7.74;<=;5.866125899767212;16.0;0.7478443268291963;background 1 <= 5.866126
background 1 <= -19.36;0.1829509144571485;background 1;-19.36;<=;-22.16388465700578;18.0;0.34307027743465923;background 1 <= -22.163885
Ac-228 <= 23.26;0.15255232340921027;Ac-228;23.26;<=;25.824476559272796;12.0;0.5254579684502652;Ac-228 <= 25.824477
K-40 > -1.51;0.15218534544202378;K-40;-1.51;>;-0.529911369171117;11.0;0.04319551609763028;K-40 > -0.529911
Ac-228 <= -8.82;0.14648559545093104;Ac-228;-8.82;<=;-11.303233112620035;0.0;0.2630780104646515;Ac-228 <= -11.303233
background 1 <= 17.18;0.14322096953170452;background 1;17.18;<=;17.975057951298652;9.0;0.10858031712567495;background 1 <= 17.975058
Ac-228 > -8.82;0.1429739221749647;Ac-228;-8.82;>;-11.303233112620035;0.0;0.2630780104646515;Ac-228 > -11.303233
Ac-228 > -22.48;0.13185028176304012;Ac-228;-22.48;>;-24.90775605392065;4.0;0.17284401674911365;Ac-228 > -24.907756
Ac-228 > 9.13;0.1302433425874357;Ac-228;9.13;>;5.713763993331611;44.0;0.9216305630108028;Ac-228 > 5.713764
K-40 > -6.88;0.1284569995049841;K-40;-6.88;>;-9.943033562167457;21.0;0.11201265388307835;K-40 > -9.943034
background 1 > -19.36;0.12597074913133643;background 1;-19.36;>;-22.16388465700578;18.0;0.34307027743465923;background 1 > -22.163885
background 1 > -5.46;0.12271079127741308;background 1;-5.46;>;-0.6095813550438152;13.0;0.25651669303691627;background 1 > -0.609581
background 2 <= -8.24;0.12161522868755494;background 2;-8.24;<=;-2.227381609781901;35.0;0.14940273280699579;background 2 <= -2.227382
Bi-214 <= -3.30;0.11750484954530802;Bi-214;-3.30;<=;-0.945700934544675;2.0;0.7857091879189917;Bi-214 <= -0.945701
K-40 <= -1.51;0.1128987317952011;K-40;-1.51;<=;-0.529911369171117;11.0;0.04319551609763028;K-40 <= -0.529911
Bi-214 > -9.97;0.11174551566551916;Bi-214;-9.97;>;-9.299719140727461;13.0;0.08912983705491939;Bi-214 > -9.299719
background 1 > 7.74;0.10908781384977229;background 1;7.74;>;5.866125899767212;16.0;0.7478443268291963;background 1 > 5.866126
K-40 <= -6.88;0.10895614165248693;K-40;-6.88;<=;-9.943033562167457;21.0;0.11201265388307835;K-40 <= -9.943034
Bi-214 <= 12.30;0.10765652958645001;Bi-214;12.30;<=;10.422131978533628;30.0;0.045128885552122355;Bi-214 <= 10.422132
Bi-214 <= 3.08;0.1057887186908538;Bi-214;3.08;<=;7.9268660671502005;23.0;0.07577115973264759;Bi-214 <= 7.926866
background 1 > 17.18;0.10314877299547578;background 1;17.18;>;17.975057951298652;9.0;0.10858031712567495;background 1 > 17.975058
Bi-214 > -3.30;0.09912800452431614;Bi-214;-3.30;>;-0.945700934544675;2.0;0.7857091879189917;Bi-214 > -0.945701
K-40 <= 7.63;0.09876824105704118;K-40;7.63;<=;6.743406809868219;4.0;0.041830437400016685;K-40 <= 6.743407
Bi-214 > 3.08;0.09766501705988763;Bi-214;3.08;>;7.9268660671502005;23.0;0.07577115973264759;Bi-214 > 7.926866
K-40 <= 3.28;0.09706680405827744;K-40;3.28;<=;2.09684020459531;2.0;0.1181102554624589;K-40 <= 2.096840
background 2 <= 1.22;0.09486810621959461;background 2;1.22;<=;-0.8070473424517104;0.0;0.23753203178923232;background 2 <= -0.807047
background 2 <= 8.68;0.09390693091997253;background 2;8.68;<=;13.024109788629005;3.0;0.0030944598518409805;background 2 <= 13.024110
Bi-214 <= -9.97;0.0899317870404403;Bi-214;-9.97;<=;-9.299719140727461;13.0;0.08912983705491939;Bi-214 <= -9.299719
background 2 <= -2.43;0.08947373031833684;background 2;-2.43;<=;-1.6530355928672975;14.0;0.0018887873585127224;background 2 <= -1.653036
background 2 > -8.24;0.08569597690515234;background 2;-8.24;>;-2.227381609781901;35.0;0.14940273280699579;background 2 > -2.227382
background 2 > 1.22;0.07439502893899749;background 2;1.22;>;-0.8070473424517104;0.0;0.23753203178923232;background 2 > -0.807047
background 2 > 8.68;0.052774827737306663;background 2;8.68;>;13.024109788629005;3.0;0.0030944598518409805;background 2 > 13.024110
background 2 > -2.43;0.006185774504263559;background 2;-2.43;>;-1.6530355928672975;14.0;0.0018887873585127224;background 2 > -1.653036
Class_A;0.0;;;;;;;
Class_B;0.0;;;;;;;
