Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Fe ka;Fe ka;Fe ka
Fe kb;Fe kb;Ca ka;Fe kb
Ca ka;Ca ka;Ti ka;Mn
Mn;Ti ka;Fe kb;sum Fe
Ti ka;Si;Cu;Ti kb
Cr;Mn;Si;Cr
K;sum Fe;Mn;Rh L + Ar
Rh L + Ar;Rh L + Ar;P;Si
Ca kb;Cr;background1;Ti ka
Ti kb;Cu;background2;Ca ka
sum Fe;Ca kb;K;Cu
background1;Ti kb;Zn;Al
background2;P;Ni;background1
S;K;Rh L + Ar;Ca kb
Fe ka + Ti ka;background1;sum Fe;background2
Ni;Al;Fe ka + Ti ka;K
Zn;Zn;Ca kb;P
Cu;background2;Cr;Zn
Al;Ni;Ti kb;Ni
Si;Fe ka + Ti ka;S;Fe ka + Ti ka
P;S;Al;S
;;;
