Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 4.25;33.51800688835597;Fe ka;4.25;>;87.0453868816328;38.0;0.001078999799444702;Fe ka > 87.045387
Fe ka > -5.77;26.47610575244891;Fe ka;-5.77;>;-103.04657895105754;408.0;0.0047633967181361925;Fe ka > -103.046579
Fe ka > -9.83;19.38329114334602;Fe ka;-9.83;>;-178.95297536586668;247.0;0.0017309071849567204;Fe ka > -178.952975
Fe ka <= 11.65;13.18434890395887;Fe ka;11.65;<=;188.78650221401608;94.0;0.0011584427647175488;Fe ka <= 188.786502
Fe ka <= 4.25;7.611485852914953;Fe ka;4.25;<=;87.0453868816328;38.0;0.001078999799444702;Fe ka <= 87.045387
Fe ka <= -5.77;3.890288919869235;Fe ka;-5.77;<=;-103.04657895105754;408.0;0.0047633967181361925;Fe ka <= -103.046579
Ti ka <= -0.55;3.2184868849256723;Ti ka;-0.55;<=;-1.7345456752534005;359.0;0.004612427712980316;Ti ka <= -1.734546
Fe kb > -2.08;2.7281655846070443;Fe kb;-2.08;>;-13.041087943859736;405.0;0.00017172530202191894;Fe kb > -13.041088
Ca ka > -0.35;2.7104277765282747;Ca ka;-0.35;>;-0.6037273653374369;107.0;0.004659354829044171;Ca ka > -0.603727
Fe kb > 1.44;2.656253029899566;Fe kb;1.44;>;8.701135138862298;202.0;0.0021945242928163022;Fe kb > 8.701135
Si > 0.21;2.580486773210389;Si;0.21;>;1.0110274266135875;498.0;0.0006026136629396217;Si > 1.011027
Fe kb > -3.67;2.357334845196447;Fe kb;-3.67;>;-25.194168020836003;311.0;0.0018423701153169603;Fe kb > -25.194168
Fe kb <= 4.31;2.1228790062377154;Fe kb;4.31;<=;30.9065519169572;219.0;0.002148977370048044;Fe kb <= 30.906552
Ca ka > -1.23;2.0343136905804724;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
Ti ka <= 0.61;1.98870193247066;Ti ka;0.61;<=;4.748205218535233;452.0;0.0002793503980763612;Ti ka <= 4.748205
Ca ka > -1.89;1.9237876181372406;Ca ka;-1.89;>;-3.1813250127012918;275.0;0.0007309831903119512;Ca ka > -3.181325
Ti ka <= 1.87;1.8814759217607655;Ti ka;1.87;<=;12.579804118748328;397.0;0.0015466032120510231;Ti ka <= 12.579804
Cu > 0.18;1.8438395108368721;Cu;0.18;>;0.19541636873883617;22.0;0.0016749927165317369;Cu > 0.195416
Fe kb <= 1.44;1.822999172604704;Fe kb;1.44;<=;8.701135138862298;202.0;0.0021945242928163022;Fe kb <= 8.701135
Si > -0.46;1.5991800018058548;Si;-0.46;>;-1.0490541528708874;480.0;0.0009934217406322166;Si > -1.049054
Si > -1.03;1.571010730565741;Si;-1.03;>;-3.332648472221379;130.0;0.0004465640167987672;Si > -3.332648
Cu > -0.21;1.298965649693271;Cu;-0.21;>;-0.2303589368300969;372.0;0.0002994733777752778;Cu > -0.230359
Fe kb <= -2.08;1.0663548553638675;Fe kb;-2.08;<=;-13.041087943859736;405.0;0.00017172530202191894;Fe kb <= -13.041088
