energy;Permutation_importance;Zone
6.42;0.005161989553970997;Fe ka
6.4;0.0031041695475733056;Fe ka
6.44;0.002837773303601757;Fe ka
6.48;0.002822244227248259;Fe ka
6.46;0.0027622820353050657;Fe ka
6.38;0.001602188409378705;Fe ka
6.36;0.0014986816276793752;Fe ka
6.54;0.0013751357783878284;Fe ka
6.3;0.0012686826860599616;Fe ka
6.5;0.0012508482707620338;Fe ka
7.1;0.001245777361944154;Fe kb
3.68;0.000877132566417488;Ca ka
7.14;0.0007811292207191728;Fe kb
7.16;0.0007163265741855718;Fe kb
7.12;0.000696438542199423;Fe kb
3.7;0.000672188698570891;Ca ka
4.46;0.0005378919600012958;Ti ka
4.5;0.0005123176795489237;Ti ka
7;0.0005110700605377803;Fe kb
6.94;0.0004960093525895092;Fe kb
4.44;0.0004911451101298227;Ti ka
6.34;0.00048506199021986364;Fe ka
4.56;0.00047370448229248636;Ti ka
6.32;0.0004344987581457644;Fe ka
6.52;0.00041536490032398533;Fe ka
3.64;0.0003510596506220464;Ca ka
6.26;0.0003436305533138501;Fe ka
6.98;0.0003403751251482744;Fe kb
7.02;0.0003234531061354592;Fe kb
7.04;0.0003194244958678233;Fe kb
6.92;0.00031125510672788567;Fe kb
3.72;0.0002968048737440377;Ca ka
1.76;0.0002849875524164251;Si
7.08;0.0002812450318543304;Fe kb
1.74;0.00026718553654430776;Si
3.66;0.00026201694741636916;Ca ka
7.06;0.0002598328337704737;Fe kb
5.88;0.00025592499931743234;Mn
12.88;0.00024159730623781475;sum Fe
6.96;0.00022541959473353483;Fe kb
6.56;0.00022244426616663745;Fe ka
5.98;0.0002221729963280271;Mn
6.24;0.0002209463230932012;Fe ka
5.9;0.0002165699604475142;Mn
6.28;0.00021514504416055464;Fe ka
2.62;0.00021243863639876375;Rh L + Ar
6.2;0.0002115646095224465;Fe ka
6.6;0.00020543168251453423;Fe ka
6.58;0.000202349757478875;Fe ka
6.62;0.00020076305973520443;Fe ka
12.86;0.0001938413612329542;sum Fe
1.64;0.0001869969644002633;Si
4.58;0.00018488402766970717;Ti ka
5.36;0.00018391896809776204;Cr
8.02;0.00018379599514839796;Cu
5.86;0.00017996974842508713;Mn
7.24;0.0001793185317103707;Fe kb
4.4;0.00017655004598254731;Ti ka
3.98;0.00017509272018138028;Ca kb
4.54;0.00017369372624835328;Ti ka
5.92;0.00017294478791047012;Mn
6.86;0.00016603704906264526;Fe kb
5.46;0.0001658663625657283;Cr
3.6;0.00016532508881659567;Ca ka
4.42;0.0001637187202183829;Ti ka
6;0.00015880969859220363;Mn
7.22;0.00015737937885335206;Fe kb
1.7;0.00015710266065383226;Si
6.9;0.0001535123148464238;Fe kb
12.78;0.00015253584567107324;sum Fe
8.06;0.00014905633446078183;Cu
5.04;0.00014684750514617763;Ti kb
12.94;0.00014627129523803452;sum Fe
2;0.00014520171368753726;P
6.22;0.00014326779915122375;Fe ka
3.3;0.0001428620511888462;K
4.68;0.00014285749793533747;Ti ka
12.72;0.00014242573087528405;sum Fe
5.06;0.00014219754690512974;Ti kb
8.1;0.0001407361300597128;Cu
3.74;0.0001361113284889627;Ca ka
5.82;0.0001325663897497556;Mn
4.02;0.00013135241292577202;Ca kb
4.48;0.00013044006330942658;Ti ka
3.62;0.00012912332568340562;Ca ka
12.9;0.00012887551031930266;sum Fe
8.08;0.00012811578625553116;Cu
12.82;0.00012741026810435456;sum Fe
4.52;0.00012579002837896023;Ti ka
2.88;0.00012576980682898356;Rh L + Ar
4.62;0.00012289005329378194;Ti ka
5.42;0.00012130249069363915;Cr
8.12;0.00011722914326765894;Cu
1.86;0.0001169658398623473;P
12.76;0.00011560163501920251;sum Fe
4.6;0.00011555862675109184;Ti ka
6.16;0.0001148464407466362;Fe ka
2.72;0.00011476592534194999;Rh L + Ar
2.7;0.00011436046934005227;Rh L + Ar
3.76;0.00011243508404706743;Ca ka
2.04;0.00011239320141269936;P
6.84;0.00011020069266292944;Fe kb
8.04;0.00010894080318430853;Cu
4.7;0.00010682449428858903;Ti ka
1.78;0.0001068140616439113;Si
5.4;0.00010614760377903069;Cr
5.8;0.00010454211313375515;Mn
4.82;0.00010373251414883748;Ti kb
2.82;0.00010337957501653954;Rh L + Ar
9.94;0.00010142313403547793;background1
4.92;0.00010140968776156981;Ti kb
4.66;0.00010137748087945709;Ti ka
2.56;0.00010100698451615811;Rh L + Ar
1.44;0.00010095383215613124;Al
6.88;0.00010028205314901409;Fe kb
8.66;9.986696355615175e-05;Zn
1.72;9.762659463570208e-05;Si
7.26;9.742385878521473e-05;Fe kb
2.9;9.716180404295866e-05;Rh L + Ar
6.12;9.531184711827744e-05;Mn
4.04;9.494161362824802e-05;Ca kb
8.52;9.461485450646777e-05;Zn
7.18;9.419236032748502e-05;Fe kb
1.82;9.390717390229441e-05;Si
4.08;9.38166546689291e-05;Ca kb
