Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Fe ka;Fe ka;Fe ka
Zn ka;Rayleigh ka;Rayleigh ka;Fe kb
Compton ka;Compton ka;Ca ka;Compton ka
Rayleigh ka;Fe kb;Sr;background3
K;K;Zn ka;Rb
Fe kb;Ca ka;K;Compton kb
Ca kb;Sr;Mn;Zr
Ca ka;Compton kb;Rayleigh kb;K
Sr;Mn;Fe kb;Sr
Mn;Zn ka;Compton kb;Rayleigh kb
Cu;Zr;background2;Zn ka
Zr;Rayleigh kb;Si;background2
Rh L + Ar;background3;Zr;Ca kb
background2;background2;S;Rayleigh ka
Rayleigh kb;Cu;Compton ka;Mn
Rb;Rb;background3;Ca ka
background3;Ca kb;Al;Ni
Compton kb;Zn kb;Cu;Rh L + Ar
;;Rh L + Ar;Zn kb
Zn kb;P;P;
background1;Rh L + Ar;Ca kb;
Ni;Ti ka;Rb;
Ti ka;background1;Zn kb;
P;S;Ti ka;
S;Si;background1;
Al;Al;Ni;
Si;Ni;;
