Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 0.20;15.380601752150827;Fe ka;0.20;>;0.11459976627310309;9.0;0.03758666967722135;Fe ka > 0.114600
Fe ka > -0.51;14.126417308644685;Fe ka;-0.51;>;-0.37191356438901346;1.0;0.00018582743871375929;Fe ka > -0.371914
Fe ka > -0.63;7.724942346404575;Fe ka;-0.63;>;-0.44342841014970613;20.0;0.0006136117094507343;Fe ka > -0.443428
Rayleigh ka <= -0.45;6.411330567714042;Rayleigh ka;-0.45;<=;-0.6543105708547614;43.0;0.01891630806503003;Rayleigh ka <= -0.654311
Fe ka > -0.76;4.229415788903308;Fe ka;-0.76;>;-0.5460325276530051;14.0;0.013758406281295099;Fe ka > -0.546033
Ca ka > 0.23;4.164738964175734;Ca ka;0.23;>;0.22147756406232588;47.0;0.00542818274147383;Ca ka > 0.221478
Rayleigh ka > 0.61;4.042675973824103;Rayleigh ka;0.61;>;0.9285929650746549;31.0;0.005251394343385951;Rayleigh ka > 0.928593
Ca ka > 0.01;3.1333139183848417;Ca ka;0.01;>;0.050896210723776036;17.0;0.009871184750026076;Ca ka > 0.050896
Sr <= -0.34;3.130992462833194;Sr;-0.34;<=;-0.4279864975972938;43.0;0.00975632881120081;Sr <= -0.427986
Ca ka <= -0.21;2.820605112063676;Ca ka;-0.21;<=;-0.5229945513965379;31.0;0.009721700013424261;Ca ka <= -0.522995
Zn ka > 0.24;2.6521966875553886;Zn ka;0.24;>;0.15786728672852202;21.0;0.007782959691178426;Zn ka > 0.157867
Rayleigh ka <= -0.08;2.425332165554155;Rayleigh ka;-0.08;<=;-0.14501850503743619;29.0;0.004921512196869857;Rayleigh ka <= -0.145019
K > 0.30;2.1605712666897747;K;0.30;>;0.470237617958567;36.0;0.011168667910909369;K > 0.470238
K <= -0.35;2.1515754515811025;K;-0.35;<=;-0.7575605327767718;3.0;0.003552450510025118;K <= -0.757561
Rayleigh ka > 0.17;2.1073498190719575;Rayleigh ka;0.17;>;0.27226737389634614;54.0;0.004117675099740731;Rayleigh ka > 0.272267
Ca ka <= -0.09;2.093295802260778;Ca ka;-0.09;<=;-0.0701277146384669;10.0;0.0004802559904549669;Ca ka <= -0.070128
Ca ka > -0.09;1.9786224486747344;Ca ka;-0.09;>;-0.0701277146384669;10.0;0.0004802559904549669;Ca ka > -0.070128
