energy;Permutation_importance;Zone
6.47;0.011540622518628859;Fe ka
6.33;0.010693497641221924;Fe ka
6.43;0.00979871207836489;Fe ka
6.35;0.009270199660348637;Fe ka
20.30;0.008410981783239152;Rayleigh ka
19.14;0.007465183549971027;Compton ka
19.30;0.007370283292582265;Compton ka
19.02;0.007324542205193354;Compton ka
18.58;0.006974949322733617;Compton ka
19.20;0.00657372992144895;Compton ka
19.32;0.006356825000386299;Compton ka
18.76;0.006293106990609002;Compton ka
6.31;0.006261899663577495;Fe ka
19.04;0.006255867804003505;Compton ka
7.01;0.006244041943913465;Fe kb
6.53;0.006138110485551802;Fe ka
18.40;0.0059203558066832085;Compton ka
20.48;0.005906649727952702;Rayleigh ka
18.56;0.005777294006641799;Compton ka
17.70;0.005771445970949433;Compton ka
3.42;0.005756003950756041;K
3.70;0.005663887401686906;Ca ka
18.66;0.005491437219912668;Compton ka
14.17;0.005282764603626563;Sr
14.21;0.005196100935065991;Sr
18.84;0.005172735782747073;Compton ka
18.60;0.005145288786596461;Compton ka
20.14;0.00510290621055307;Rayleigh ka
14.13;0.005059089489729061;Sr
13.95;0.005041296107215307;Sr
7.09;0.004849273234360535;Fe kb
21.66;0.004787346224838069;Compton kb
20.58;0.004775149230100854;Compton kb
18.92;0.004767903111326945;Compton ka
21.80;0.004735242114295778;Compton kb
20.50;0.004730392055817689;Rayleigh ka
3.34;0.004723865112188396;K
5.91;0.004710116012752602;Mn
8.57;0.004700163915992357;Zn ka
14.67;0.004612219614342191;Zr
18.20;0.004597921295369777;Compton ka
18.68;0.004501150742618478;Compton ka
18.82;0.004422889797025227;Compton ka
17.74;0.004400341719008821;Compton ka
14.81;0.0043463704320027535;Zr
19.36;0.00426612144738048;Compton ka
19.34;0.004257113186157501;Compton ka
17.78;0.004212903230411156;Compton ka
23.04;0.004200155118204693;Rayleigh kb
16.60;0.004186686494619302;background3
15.88;0.004159580964938381;background3
3.40;0.004129617053179277;K
11.53;0.004118087597966161;background2
21.86;0.004084011548114056;Compton kb
22.92;0.004076619111690044;Rayleigh kb
17.98;0.0039674267815401525;Compton ka
8.03;0.003938412008111863;Cu
19.46;0.003932398799699514;Compton ka
19.00;0.003913771327223435;Compton ka
10.55;0.003900252300767406;background2
21.38;0.0038840403262033795;Compton kb
8.65;0.003859197933543162;Zn ka
15.11;0.0038554582222155597;Zr
17.06;0.003811086142438121;background3
13.17;0.0037751568806453093;Rb
21.30;0.0037330368867425157;Compton kb
17.22;0.0037254818329786423;background3
17.86;0.0037124828460071723;Compton ka
15.39;0.0036977699675622604;Zr
18.02;0.0036753475614753604;Compton ka
17.76;0.0036728147277786992;Compton ka
4.10;0.0036577202781259664;Ca kb
12.49;0.0036543241921324493;background2
3.72;0.003569334067284816;Ca ka
22.64;0.0035632878346676263;Rayleigh kb
10.41;0.003554228509042824;background2
16.40;0.0035446563960920456;background3
