model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
mlp;SMX;1;zero;0.425325;0.425325;0.0;0.454545;0.454545;0.0;0.012854;K ka
mlp;SMX;2;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.020282;"K ka; Rb ka + Br kb"
mlp;SMX;3;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.026789;"K ka; Rb ka + Br kb; Rh ka Rayleigh"
mlp;SMX;4;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.025283;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka"
mlp;SMX;5;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.025622;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka"
mlp;SMX;6;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.030612;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh"
mlp;SMX;7;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.02946;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn"
mlp;SMX;8;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.030811;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S"
mlp;SMX;9;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.033158;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S; Rb kb"
mlp;SMX;10;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.039102;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S; Rb kb; Rh kb Compton"
mlp;SMX;11;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.03836;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S; Rb kb; Rh kb Compton; Cl"
mlp;SMX;12;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.036825;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S; Rb kb; Rh kb Compton; Cl; K kb + Ca ka"
mlp;SMX;13;zero;0.425325;0.385027;0.040298;0.454545;0.545455;-0.090909;0.040857;"K ka; Rb ka + Br kb; Rh ka Rayleigh; Fe ka; Br ka; Rh kb Rayleigh; Zn; S; Rb kb; Rh kb Compton; Cl; K kb + Ca ka; background2"
