Shap;Permutation;LRC_perturbation
K ka;K ka;K ka
Rh ka Compton;Rh ka Compton;Rb ka + Br kb
Rb ka + Br kb;Rb ka + Br kb;Rh ka Rayleigh
K kb + Ca ka;K kb + Ca ka;Fe ka
Rh ka Rayleigh;Rh ka Rayleigh;Br ka
Rh kb Compton;Rh kb Compton;Rh kb Rayleigh
background3;Cl;Zn
Cl;Rh kb Rayleigh;S
Fe ka;Rb kb;Rb kb
background2;background3;Rh kb Compton
Br ka;Fe ka;Cl
Rb kb;Sr ka;K kb + Ca ka
background1;Zn;background2
Sr ka;background2;Mn
Rh kb Rayleigh;Br ka;Ca kb
Ca kb;Ca kb;Sr ka
S;Cu;background3
Fe kb;S;Cu
Mn;background1;Rh ka Compton
Cu;Mn;Fe kb
Zn;Fe kb;background1
;;
