energy;Permutation_importance;Zone
3.34;0.009045793850167249;K ka
3.3;0.0070797563012333755;K ka
19.06;0.006504471707605217;Rh ka Compton
3.26;0.006498599489844029;K ka
13.3;0.006243018060680982;Rb ka + Br kb
19.18;0.005956605860858418;Rh ka Compton
3.66;0.005719873351501926;K kb + Ca ka
19;0.005650239292157777;Rh ka Compton
13.38;0.005519428638482111;Rb ka + Br kb
3.32;0.00534166300052957;K ka
18.96;0.005194542099248805;Rh ka Compton
19.08;0.005021187273669026;Rh ka Compton
19.3;0.004985056150282709;Rh ka Compton
19.26;0.004714586309335851;Rh ka Compton
18.94;0.004529183336768106;Rh ka Compton
3.28;0.004525694839562456;K ka
19.34;0.00447375870881234;Rh ka Compton
20.04;0.00421176192315332;Rh ka Rayleigh
19.62;0.00416348749561249;Rh ka Compton
3.24;0.004132252155715741;K ka
18.9;0.003928969922186236;Rh ka Compton
19.22;0.0039044214886317296;Rh ka Compton
21.68;0.003860853916239162;Rh kb Compton
19.28;0.003855653101274359;Rh ka Compton
13.46;0.003851109750163571;Rb ka + Br kb
19.42;0.0038004510669895505;Rh ka Compton
19.1;0.003678087967017673;Rh ka Compton
19.32;0.003630787032546135;Rh ka Compton
19.82;0.003620436626994477;Rh ka Compton
19.02;0.003493133905952865;Rh ka Compton
19.52;0.003427738546096673;Rh ka Compton
2.56;0.003420337063586066;Cl
20.16;0.0033705058451642283;Rh ka Rayleigh
19.66;0.0033011504826083067;Rh ka Compton
13.32;0.00328562386761886;Rb ka + Br kb
18.76;0.0032431509912911943;Rh ka Compton
13.36;0.003223562460215558;Rb ka + Br kb
18.52;0.0031923861682246722;Rh ka Compton
21.7;0.0031433663991803284;Rh kb Compton
21.74;0.003069905398412679;Rh kb Compton
19.44;0.0030509420776456825;Rh ka Compton
19.72;0.002987718836444456;Rh ka Compton
21.44;0.0029783986361367762;Rh kb Compton
21.54;0.0029665411498071325;Rh kb Compton
3.58;0.0029553777632988143;K kb + Ca ka
19.46;0.0029302031732577885;Rh ka Compton
3.22;0.0029061153807282856;K ka
3.64;0.002864135148376451;K kb + Ca ka
13.34;0.002843273137359918;Rb ka + Br kb
20.26;0.002820684670204246;Rh ka Rayleigh
21.78;0.002800552822381946;Rh kb Compton
3.62;0.0027714192951177525;K kb + Ca ka
22.22;0.0027376000370192047;Rh kb Compton
19.38;0.00273446469716039;Rh ka Compton
2.6;0.0027341933324969577;Cl
19.5;0.0027290240900333385;Rh ka Compton
13.24;0.0027043635827120175;Rb ka + Br kb
21.38;0.002653514611301584;Rh kb Compton
18.22;0.00262262021854204;Rh ka Compton
22.56;0.0026181894173033884;Rh kb Rayleigh
22.08;0.002609463218362991;Rh kb Compton
17.9;0.0026088950466877725;Rh ka Compton
18.92;0.002581415403741548;Rh ka Compton
21.64;0.0025731748685122588;Rh kb Compton
19.4;0.0025729077583239203;Rh ka Compton
15;0.002571600701459378;Rb kb
20.06;0.0025628807279036267;Rh ka Rayleigh
20.28;0.0025332089585656304;Rh ka Rayleigh
20.34;0.002532397787802022;Rh ka Rayleigh
14.96;0.0025300044845781803;Rb kb
21.52;0.0025150493602217354;Rh kb Compton
18.82;0.002512305189668809;Rh ka Compton
2.54;0.0025101819541279206;Cl
19.68;0.002464282526795143;Rh ka Compton
15.42;0.0024481237435295808;background3
13.28;0.0024416882356183907;Rb ka + Br kb
18.98;0.0024197722037473065;Rh ka Compton
18.54;0.0023725688676691946;Rh ka Compton
19.78;0.0023702066821268907;Rh ka Compton
21.72;0.002370001481493664;Rh kb Compton
18.14;0.0023491880783621084;Rh ka Compton
18.6;0.002334830827083234;Rh ka Compton
18.32;0.002299479398275948;Rh ka Compton
13.44;0.0022974125058501634;Rb ka + Br kb
6.36;0.0022819211364483285;Fe ka
3.18;0.0022739366417121173;K ka
20.08;0.0022580799562035617;Rh ka Rayleigh
14.92;0.002255405019835544;Rb kb
13.86;0.0022521729278564668;Sr ka
15.7;0.0022062116869961982;background3
17.86;0.002187741824987324;Rh ka Compton
3.38;0.0021809482803153194;K ka
19.14;0.002179198632455244;Rh ka Compton
21.4;0.0021710283881746784;Rh kb Compton
21.82;0.0021668103987740237;Rh kb Compton
8.62;0.0021230094065120848;Zn
17.68;0.0021208248894925828;Rh ka Compton
12.52;0.00211477134256527;Rb ka + Br kb
10.02;0.002098382650851493;background2
18.8;0.0020910070929965824;Rh ka Compton
20.36;0.0020843162867961534;Rh ka Rayleigh
20.6;0.002070473581727271;Rh ka Rayleigh
18.42;0.0020686788249872808;Rh ka Compton
21.34;0.0020611398604414902;Rh kb Compton
22.42;0.0020484862398539804;Rh kb Rayleigh
17.96;0.0020446865540678467;Rh ka Compton
18.66;0.0020424738954926873;Rh ka Compton
15.56;0.002032149031511863;background3
18.02;0.0020135676533764206;Rh ka Compton
3.36;0.002003715913929055;K ka
19.2;0.0019994414149699198;Rh ka Compton
10.88;0.001981406492062726;background2
21.66;0.001976377506669262;Rh kb Compton
16.94;0.0019747138238516266;background3
11.94;0.001967832730285573;Br ka
16.66;0.0019599304863834;background3
17.14;0.0019581641893978595;Rh ka Compton
16.92;0.0019536833091599206;background3
14.74;0.0019463783651077929;Rb kb
13.48;0.00194245265282862;Rb ka + Br kb
20.4;0.0019235279118757893;Rh ka Rayleigh
22.76;0.0019232521631156844;Rh kb Rayleigh
13.56;0.0019223626842249288;Rb ka + Br kb
20.7;0.0019183226546334576;Rh ka Rayleigh
2.62;0.0019105621732936416;Cl
19.04;0.0018970076017851205;Rh ka Compton
18.88;0.0018963965127717398;Rh ka Compton
22.46;0.0018909843981829537;Rh kb Rayleigh
21.42;0.0018896739857947298;Rh kb Compton
13.9;0.0018695948265143945;Sr ka
18.38;0.0018679050975285295;Rh ka Compton
16.1;0.0018638292765917723;background3
15.12;0.0018585564114316651;Rb kb
21.88;0.0018560980204827173;Rh kb Compton
12.58;0.0018543948037669337;Rb ka + Br kb
18.5;0.001840390729605836;Rh ka Compton
22.26;0.0018328521986861958;Rh kb Compton
18.44;0.0018314614289025085;Rh ka Compton
11.34;0.0018051770653776586;background2
18.86;0.0017994293197657013;Rh ka Compton
3.16;0.001797577290606974;K ka
15.68;0.0017952865141489158;background3
16.14;0.0017888557492533527;background3
21.58;0.001780539787530034;Rh kb Compton
17.16;0.001772482230834329;Rh ka Compton
19.16;0.001771849277639145;Rh ka Compton
3.56;0.0017593192524217552;K kb + Ca ka
12.16;0.0017528253681917496;Br ka
20.66;0.0017452010143987318;Rh ka Rayleigh
22.12;0.0017330322706393584;Rh kb Compton
3.4;0.0017327142915314667;K ka
20.44;0.0017176887987802804;Rh ka Rayleigh
17.08;0.0017149682654138282;Rh ka Compton
21.94;0.001712018525164041;Rh kb Compton
14.3;0.0017090352931588282;Sr ka
3.94;0.0017053419103657372;Ca kb
18.62;0.0017049348342411054;Rh ka Compton
14.58;0.001702101276205265;Rb kb
15.48;0.0016999263983395873;background3
21.04;0.0016995523874147023;Rh kb Compton
14.8;0.0016953934404908173;Rb kb
7.62;0.0016949524753092672;Cu
20.52;0.0016915203497951965;Rh ka Rayleigh
18;0.0016860163183714152;Rh ka Compton
18.3;0.0016790692165826154;Rh ka Compton
15.22;0.0016658392831467156;Rb kb
9.7;0.0016650907198316786;background2
19.96;0.0016606598015112596;Rh ka Rayleigh
15.72;0.0016488876705679789;background3
21.62;0.0016378036216371302;Rh kb Compton
14.12;0.0016327240512260502;Sr ka
11.42;0.0016284824065879583;background2
2.32;0.0016221141562437595;S
9.02;0.0016214014027925358;background2
14.46;0.0016150871022080934;Sr ka
3.44;0.001608342396105775;K kb + Ca ka
19.48;0.001601166670896025;Rh ka Compton
18.18;0.0016010320379438493;Rh ka Compton
17.8;0.0015976204122399335;Rh ka Compton
21.32;0.0015934378601182267;Rh kb Compton
22.58;0.0015906790609252596;Rh kb Rayleigh
22.34;0.0015902472727766178;Rh kb Rayleigh
15.74;0.0015844575606697587;background3
21.92;0.0015766562744065227;Rh kb Compton
19.58;0.0015720112475585471;Rh ka Compton
19.84;0.0015716439245131505;Rh ka Compton
21.2;0.001563474594577113;Rh kb Compton
21.86;0.0015615922974856903;Rh kb Compton
14.7;0.0015611950420458894;Rb kb
11.18;0.0015530242380321132;background2
18.58;0.0015431608377813031;Rh ka Compton
12.26;0.001533844857110841;Br ka
20.82;0.0015332260958885583;Rh kb Compton
11.02;0.0015258433807382225;background2
12.36;0.0015199139961626774;Br ka
15.18;0.0015198439193095435;Rb kb
16.9;0.0015172870295705433;background3
15.76;0.001511610224490682;background3
14.82;0.00150992275177445;Rb kb
12.96;0.001504489190878811;Rb ka + Br kb
11.28;0.001494403147007796;background2
17.58;0.0014940894471381675;Rh ka Compton
21.08;0.001492388453615153;Rh kb Compton
11.7;0.0014902463166316534;Br ka
20.54;0.0014894510568586549;Rh ka Rayleigh
6.44;0.00148866427593616;Fe ka
8;0.0014831877883977247;Cu
4;0.0014826305528706542;Ca kb
21.02;0.0014768167366309055;Rh kb Compton
18.24;0.001473354848594502;Rh ka Compton
20.94;0.0014697297141713704;Rh kb Compton
22.68;0.0014657274022114052;Rh kb Rayleigh
15.86;0.001458348288990187;background3
18.7;0.0014515064352006357;Rh ka Compton
3.52;0.0014502189781992153;K kb + Ca ka
19.9;0.0014487632186448987;Rh ka Rayleigh
15.6;0.0014452660942364376;background3
12.24;0.0014444218930005231;Br ka
21.28;0.0014434662070318869;Rh kb Compton
2.3;0.0014381974952165318;S
7.76;0.0014379586165606025;Cu
19.54;0.0014342201264258727;Rh ka Compton
13.52;0.0014209085121402263;Rb ka + Br kb
13.02;0.0014115703594685843;Rb ka + Br kb
14.56;0.0014103937166056073;Rb kb
11.62;0.0014085748336266966;Br ka
22.4;0.0014058638926592024;Rh kb Rayleigh
8.9;0.0014014836102408132;background2
13.04;0.0013770035126041366;Rb ka + Br kb
2.26;0.0013765586350638396;S
10.5;0.001376007002415918;background2
17.82;0.0013753103541038032;Rh ka Compton
13.88;0.0013725561786353201;Sr ka
12.7;0.0013713806792443129;Rb ka + Br kb
19.36;0.0013706677182017417;Rh ka Compton
3.08;0.0013646309953053634;K ka
22.88;0.0013636698587347182;Rh kb Rayleigh
22.16;0.001360816496165348;Rh kb Compton
14.54;0.001360158497661545;Rb kb
13.92;0.0013559174690161077;Sr ka
16.78;0.0013482800645847734;background3
9.8;0.0013479184708735045;background2
20.64;0.0013443031421740046;Rh ka Rayleigh
2.18;0.0013390467634885142;S
22.74;0.0013376834700536571;Rh kb Rayleigh
8.66;0.0013372171761634436;Zn
20.58;0.001337136211284207;Rh ka Rayleigh
6.46;0.0013293510621530504;Fe ka
7.36;0.0013219921883505963;Cu
20.56;0.0013190639716321314;Rh ka Rayleigh
16.12;0.0013134930257215356;background3
21.84;0.0013117622312347568;Rh kb Compton
2.76;0.0013106304292065257;Cl
4.02;0.0013105453308856067;Ca kb
12.1;0.0013092495123636974;Br ka
13.26;0.0013075738057374835;Rb ka + Br kb
16.72;0.0013051067488909556;background3
18.64;0.001305090045212739;Rh ka Compton
3.6;0.0013003226839442717;K kb + Ca ka
22.64;0.0012952711928547731;Rh kb Rayleigh
7.54;0.00129490653311156;Cu
21.76;0.0012923862521316241;Rh kb Compton
7.4;0.001292165076005657;Cu
17.3;0.0012920391994815084;Rh ka Compton
7.98;0.0012891859694566716;Cu
22.54;0.0012872680606963705;Rh kb Rayleigh
2.16;0.0012852241839027096;S
21.06;0.0012849870017952992;Rh kb Compton
9.34;0.0012839078515705178;background2
2.78;0.0012825555967161397;Cl
17.34;0.001281617879722027;Rh ka Compton
15.06;0.0012815942995869991;Rb kb
20.5;0.0012802815923562499;Rh ka Rayleigh
10.76;0.0012786623782334876;background2
3.42;0.0012750530296158653;K ka
22.24;0.0012692715976325409;Rh kb Compton
5.38;0.001266686610999004;background1
12.3;0.0012663971215846263;Br ka
20.38;0.0012623340989424644;Rh ka Rayleigh
14.64;0.0012603208167503426;Rb kb
8.96;0.0012570819273766153;background2
20.12;0.001257076798904135;Rh ka Rayleigh
9.48;0.0012546094076525652;background2
22;0.0012516699779429785;Rh kb Compton
11.26;0.0012431227022244632;background2
13.14;0.0012363366467539388;Rb ka + Br kb
10.06;0.0012345465175937365;background2
16.5;0.0012319214219847776;background3
8.6;0.0012223044616877818;Zn
22.7;0.0012209556424997762;Rh kb Rayleigh
16.76;0.0012153193151389578;background3
11.08;0.0012138325347329872;background2
16.52;0.0012100471748053413;background3
20.1;0.001209944522447943;Rh ka Rayleigh
12.94;0.001208777708001043;Rb ka + Br kb
16.38;0.0012060506976393378;background3
12.42;0.0012039377270974937;Br ka
10.04;0.001199726656898195;background2
22.9;0.0011954347305605626;Rh kb Rayleigh
