Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka > 0.40;18.468543539712588;K ka;0.40;>;0.40590285816921945;15.0;0.0018929843288971182;K ka > 0.405903
K ka > -0.18;16.39660455926906;K ka;-0.18;>;-0.1801108169847323;9.0;0.001120520824131277;K ka > -0.180111
K ka <= -0.52;15.566672718203307;K ka;-0.52;<=;-0.5291541202455812;18.0;0.004942708091810855;K ka <= -0.529154
K ka > 0.03;13.549626833125002;K ka;0.03;>;0.022010867155680014;11.0;0.003498478198103897;K ka > 0.022011
K ka > -0.52;13.209757401865788;K ka;-0.52;>;-0.5291541202455812;18.0;0.004942708091810855;K ka > -0.529154
K ka <= -0.18;13.18494606340612;K ka;-0.18;<=;-0.1801108169847323;9.0;0.001120520824131277;K ka <= -0.180111
K ka <= 0.03;10.906317712621545;K ka;0.03;<=;0.022010867155680014;11.0;0.003498478198103897;K ka <= 0.022011
Rb ka + Br kb > 0.15;7.272148613738895;Rb ka + Br kb;0.15;>;0.08009140773825996;8.0;0.0008022663230623228;Rb ka + Br kb > 0.080091
K ka <= 0.40;5.073361365017794;K ka;0.40;<=;0.40590285816921945;15.0;0.0018929843288971182;K ka <= 0.405903
Rb ka + Br kb > -0.08;2.9885023417504852;Rb ka + Br kb;-0.08;>;-0.03963368577174564;17.0;0.004905499211687009;Rb ka + Br kb > -0.039634
Rh ka Rayleigh <= -0.20;2.9789270528696634;Rh ka Rayleigh;-0.20;<=;-0.13167169846194549;3.0;0.004736034510857218;Rh ka Rayleigh <= -0.131672
Fe ka > 0.05;2.4792178388583976;Fe ka;0.05;>;0.014184657789846455;20.0;0.0030340521770912954;Fe ka > 0.014185
Rh ka Rayleigh > 0.28;2.34169279710777;Rh ka Rayleigh;0.28;>;0.17426739076039954;12.0;0.0007327827705881362;Rh ka Rayleigh > 0.174267
Rh ka Rayleigh <= -0.10;1.9213236413766492;Rh ka Rayleigh;-0.10;<=;-0.0543512217092017;5.0;0.003308769637640832;Rh ka Rayleigh <= -0.054351
Rb ka + Br kb > -0.11;1.8554551205296073;Rb ka + Br kb;-0.11;>;-0.053766300778467224;2.0;0.004804012311701092;Rb ka + Br kb > -0.053766
Br ka <= -0.14;1.5816486938797905;Br ka;-0.14;<=;-0.05952137343857533;14.0;0.0027889594818789887;Br ka <= -0.059521
Rh ka Rayleigh <= 0.08;1.5729362305805845;Rh ka Rayleigh;0.08;<=;0.0525726186507951;7.0;0.0011251271903338078;Rh ka Rayleigh <= 0.052573
