Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > -2.47;6.2694858538831015;F1;-2.47;>;-2.4692796902011955;70.0;0.0007203097988046636;F1 > -2.469280
F1 <= 2.88;4.587358878025195;F1;2.88;<=;2.8775246855623418;163.0;0.0024753144376603586;F1 <= 2.877525
F5 > -1.83;3.5633942704845785;F5;-1.83;>;-1.8302825286863247;186.0;0.00028252868632350214;F5 > -1.830283
F1 > -2.43;3.4980346146270977;F1;-2.43;>;-2.4302717918594214;18.0;0.0002717918594208335;F1 > -2.430272
F5 <= 2.10;2.304986746611907;F5;2.10;<=;2.0996121824849845;76.0;0.00038781751501604234;F5 <= 2.099612
F5 > -1.79;1.100115620895667;F5;-1.79;>;-1.7893030447360718;178.0;0.0006969552639277676;F5 > -1.789303
F2 > -1.57;1.0766418165821299;F2;-1.57;>;-1.5674764883322954;193.0;0.002523511667704037;F2 > -1.567476
F2 > -0.54;1.002941596775997;F2;-0.54;>;-0.5397182313341017;77.0;0.0002817686658977969;F2 > -0.539718
F3 > -1.46;1.0002630069598206;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710937077;F3 > -1.460111
F4 > -1.63;0.978289279106486;F4;-1.63;>;-1.631439434433272;56.0;0.0014394344332724351;F4 > -1.631439
F6 > -1.37;0.9781800565266198;F6;-1.37;>;-1.370059963016235;175.0;5.99630162347875e-05;F6 > -1.370060
F4 > -0.67;0.976471395860541;F4;-0.67;>;-0.6693820240864425;42.0;0.0006179759135578333;F4 > -0.669382
F3 > -0.44;0.9477061223385191;F3;-0.44;>;-0.4400067962233723;87.0;6.796223373073396e-06;F3 > -0.440007
F6 > -0.58;0.9212160341528111;F6;-0.58;>;-0.5791141824948309;144.0;0.0008858175051689177;F6 > -0.579114
F5 <= 0.75;0.8572759209884253;F5;0.75;<=;0.7514827277200313;52.0;0.0014827277200312183;F5 <= 0.751483
F6 > 0.11;0.8421481424037973;F6;0.11;>;0.10912815703409616;112.0;0.0008718429659046317;F6 > 0.109128
F1 <= 0.67;0.8407867165630336;F1;0.67;<=;0.6748145005323755;174.0;0.004814500532375532;F1 <= 0.674815
F3 > 0.27;0.6071212454575536;F3;0.27;>;0.27110465216312785;58.0;0.0011046521631278838;F3 > 0.271105
F2 > 0.21;0.5937389903412992;F2;0.21;>;0.21265160537059324;53.0;0.0026516053705934184;F2 > 0.212652
F3 <= 1.39;0.4472641599528357;F3;1.39;<=;1.390245037253563;157.0;0.00024503725356361805;F3 <= 1.390245
F4 > 0.28;0.43301255746968365;F4;0.28;>;0.2820983354519534;26.0;0.0020983354519530373;F4 > 0.282098
F2 <= 1.43;0.32062026983081515;F2;1.43;<=;1.4310258347933535;104.0;0.0010258347933533862;F2 <= 1.431026
F4 <= 1.58;0.2770219891889168;F4;1.58;<=;1.582285629668556;194.0;0.002285629668556055;F4 <= 1.582286
F6 <= 1.18;0.264461429168412;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856548998;F6 <= 1.180851
F6 > 1.18;0.15460949092641826;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856548998;F6 > 1.180851
F6 <= 0.11;0.11749499542275772;F6;0.11;<=;0.10912815703409616;112.0;0.0008718429659046317;F6 <= 0.109128
F3 <= 0.27;0.09333749761450798;F3;0.27;<=;0.27110465216312785;58.0;0.0011046521631278838;F3 <= 0.271105
F4 <= -0.67;0.07544390260967943;F4;-0.67;<=;-0.6693820240864425;42.0;0.0006179759135578333;F4 <= -0.669382
F2 <= 0.21;0.05843528532555376;F2;0.21;<=;0.21265160537059324;53.0;0.0026516053705934184;F2 <= 0.212652
F6 <= -1.37;0.05620600600900542;F6;-1.37;<=;-1.370059963016235;175.0;5.99630162347875e-05;F6 <= -1.370060
F6 <= -0.58;0.05433027423251302;F6;-0.58;<=;-0.5791141824948309;144.0;0.0008858175051689177;F6 <= -0.579114
F3 <= -0.44;0.051932476391507144;F3;-0.44;<=;-0.4400067962233723;87.0;6.796223373073396e-06;F3 <= -0.440007
F2 <= -0.54;0.04875530619842777;F2;-0.54;<=;-0.5397182313341017;77.0;0.0002817686658977969;F2 <= -0.539718
F4 <= 0.28;0.048693049610311845;F4;0.28;<=;0.2820983354519534;26.0;0.0020983354519530373;F4 <= 0.282098
F1 > 0.67;0.04305983205054252;F1;0.67;>;0.6748145005323755;174.0;0.004814500532375532;F1 > 0.674815
background4 > -0.05;0.03745794079568242;background4;-0.05;>;-0.050054357462799834;197.0;5.435746279985887e-05;background4 > -0.050054
background4 > -0.03;0.034780454318022055;background4;-0.03;>;-0.029654599390620068;61.0;0.00034540060937991723;background4 > -0.029655
background5 > 0.00;0.02753516179117651;background5;0.00;>;-0.0006636292739978572;150.0;0.0006636292739978832;background5 > -0.000664
background5 > -0.04;0.026383041768209454;background5;-0.04;>;-0.039783786690186354;30.0;0.00021621330981353576;background5 > -0.039784
background5 > -0.07;0.00015531710472956929;background5;-0.07;>;-0.07063442747321788;85.0;0.000634427473217819;background5 > -0.070634
Class_A;0.0;;;;;;;
Class_B;0.0;;;;;;;
