Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.67;24.156621888439286;F1;0.67;>;0.6748145005323755;174.0;0.004814500532375532;F1 > 0.674815
F1 > -2.43;17.040193477240916;F1;-2.43;>;-2.4302717918594214;18.0;0.0002717918594208335;F1 > -2.430272
F1 > -2.47;11.286664439567197;F1;-2.47;>;-2.4692796902011955;70.0;0.0007203097988046636;F1 > -2.469280
F1 <= 2.88;6.505373373643647;F1;2.88;<=;2.8775246855623418;163.0;0.0024753144376603586;F1 <= 2.877525
F5 > 0.75;3.705658654086432;F5;0.75;>;0.7514827277200313;52.0;0.0014827277200312183;F5 > 0.751483
F5 > -1.79;2.7191928126488647;F5;-1.79;>;-1.7893030447360718;178.0;0.0006969552639277676;F5 > -1.789303
F5 > -1.83;2.4464578986054124;F5;-1.83;>;-1.8302825286863247;186.0;0.00028252868632350214;F5 > -1.830283
F5 <= 2.10;1.393557065222839;F5;2.10;<=;2.0996121824849845;76.0;0.00038781751501604234;F5 <= 2.099612
F5 <= 0.75;1.3739455253257216;F5;0.75;<=;0.7514827277200313;52.0;0.0014827277200312183;F5 <= 0.751483
F6 <= -1.37;1.270494606042372;F6;-1.37;<=;-1.370059963016235;175.0;5.99630162347875e-05;F6 <= -1.370060
F5 <= -1.79;1.1531562421940182;F5;-1.79;<=;-1.7893030447360718;178.0;0.0006969552639277676;F5 <= -1.789303
F1 <= 0.67;1.1115375885851488;F1;0.67;<=;0.6748145005323755;174.0;0.004814500532375532;F1 <= 0.674815
F6 > 1.18;0.729390966682269;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856548998;F6 > 1.180851
F4 > 0.28;0.6557941960704738;F4;0.28;>;0.2820983354519534;26.0;0.0020983354519530373;F4 > 0.282098
F6 <= -0.58;0.6080479095286634;F6;-0.58;<=;-0.5791141824948309;144.0;0.0008858175051689177;F6 <= -0.579114
F2 > 0.21;0.5527596306074404;F2;0.21;>;0.21265160537059324;53.0;0.0026516053705934184;F2 > 0.212652
F2 <= -0.54;0.5479657956537937;F2;-0.54;<=;-0.5397182313341017;77.0;0.0002817686658977969;F2 <= -0.539718
F4 > -0.67;0.49654679989157424;F4;-0.67;>;-0.6693820240864425;42.0;0.0006179759135578333;F4 > -0.669382
F2 <= 1.43;0.4941165844323151;F2;1.43;<=;1.4310258347933535;104.0;0.0010258347933533862;F2 <= 1.431026
F6 > 0.11;0.4771214095879797;F6;0.11;>;0.10912815703409616;112.0;0.0008718429659046317;F6 > 0.109128
F6 <= 0.11;0.4537304212228001;F6;0.11;<=;0.10912815703409616;112.0;0.0008718429659046317;F6 <= 0.109128
F4 <= -0.67;0.4443224863457539;F4;-0.67;<=;-0.6693820240864425;42.0;0.0006179759135578333;F4 <= -0.669382
F3 <= -0.44;0.43361246175123075;F3;-0.44;<=;-0.4400067962233723;87.0;6.796223373073396e-06;F3 <= -0.440007
F4 <= 1.58;0.4291206931628292;F4;1.58;<=;1.582285629668556;194.0;0.002285629668556055;F4 <= 1.582286
F3 > -0.44;0.42285929269551503;F3;-0.44;>;-0.4400067962233723;87.0;6.796223373073396e-06;F3 > -0.440007
F3 > -1.46;0.4163357266633053;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710937077;F3 > -1.460111
F2 > -1.57;0.41530085638727676;F2;-1.57;>;-1.5674764883322954;193.0;0.002523511667704037;F2 > -1.567476
F6 <= 1.18;0.4134307910265178;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856548998;F6 <= 1.180851
F4 > -1.63;0.4131182581008598;F4;-1.63;>;-1.631439434433272;56.0;0.0014394344332724351;F4 > -1.631439
F6 > -1.37;0.40991479109513257;F6;-1.37;>;-1.370059963016235;175.0;5.99630162347875e-05;F6 > -1.370060
F3 <= 1.39;0.40538864926766227;F3;1.39;<=;1.390245037253563;157.0;0.00024503725356361805;F3 <= 1.390245
F2 <= 0.21;0.405270129301143;F2;0.21;<=;0.21265160537059324;53.0;0.0026516053705934184;F2 <= 0.212652
F2 > -0.54;0.4035732852229835;F2;-0.54;>;-0.5397182313341017;77.0;0.0002817686658977969;F2 > -0.539718
F6 > -0.58;0.3961240270061077;F6;-0.58;>;-0.5791141824948309;144.0;0.0008858175051689177;F6 > -0.579114
F3 > 0.27;0.39339219406467035;F3;0.27;>;0.27110465216312785;58.0;0.0011046521631278838;F3 > 0.271105
F3 <= 0.27;0.38001990806951724;F3;0.27;<=;0.27110465216312785;58.0;0.0011046521631278838;F3 <= 0.271105
F4 <= 0.28;0.3429274323957951;F4;0.28;<=;0.2820983354519534;26.0;0.0020983354519530373;F4 <= 0.282098
F1 <= -2.43;0.12178986843748132;F1;-2.43;<=;-2.4302717918594214;18.0;0.0002717918594208335;F1 <= -2.430272
background5 > -0.07;0.0014038068132515597;background5;-0.07;>;-0.07063442747321788;85.0;0.000634427473217819;background5 > -0.070634
background5 <= 0.00;0.0011495977951623986;background5;0.00;<=;-0.0006636292739978572;150.0;0.0006636292739978832;background5 <= -0.000664
background5 <= 0.06;0.0011388342492304683;background5;0.06;<=;0.06027195809674293;69.0;0.0002719580967428317;background5 <= 0.060272
background5 <= -0.04;0.0011277886915011467;background5;-0.04;<=;-0.039783786690186354;30.0;0.00021621330981353576;background5 <= -0.039784
background4 <= 0.00;0.0011104606505385071;background4;0.00;<=;-0.0001987614795981211;4.0;0.0001987614795981687;background4 <= -0.000199
background1 <= -0.02;0.0010369259051923145;background1;-0.02;<=;-0.01991947328029832;147.0;8.052671970143824e-05;background1 <= -0.019919
background4 <= 0.04;0.0010319788185058532;background4;0.04;<=;0.03953144135865977;20.0;0.0004685586413402526;background4 <= 0.039531
background1 <= 0.01;0.0010305679649802476;background1;0.01;<=;0.009024696195026181;111.0;0.000975303804974046;background1 <= 0.009025
background5 > -0.04;0.0009974412366837132;background5;-0.04;>;-0.039783786690186354;30.0;0.00021621330981353576;background5 > -0.039784
background5 > 0.00;0.0009931811272566803;background5;0.00;>;-0.0006636292739978572;150.0;0.0006636292739978832;background5 > -0.000664
background6 > 0.01;0.000944921695748409;background6;0.01;>;0.010016233792241293;74.0;1.6233792241308193e-05;background6 > 0.010016
