Shap;Permutation;LRC_perturbation;LRC_covariance
K ka;K ka;K ka;Rh ka Compton
Rb ka + Br kb;Rb ka + Br kb;K kb + Ca ka;Rb ka + Br kb
Rh ka Compton;K kb + Ca ka;Rb ka + Br kb;Rh kb Compton
Cl;Rh ka Compton;S;K ka
K kb + Ca ka;Cl;Cl;Rh ka Rayleigh
Rh ka Rayleigh;Rh ka Rayleigh;Rh ka Compton;background3
Rh kb Compton;background3;Zn;background2
S;Br ka;Rh kb Compton;Cl
Zn;Cu;Rh ka Rayleigh;Rh kb Rayleigh
background3;Zn;Fe;Br ka
Cu;Rh kb Compton;Mn;K kb + Ca ka
background2;Fe;background3;
Fe;S;Cu;
Rh kb Rayleigh;background1;Br ka;
background1;background2;background1;
Br ka;Rh kb Rayleigh;Rh kb Rayleigh;
Mn;Mn;background2;
;;;
