Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka <= -0.48;10.544724157680797;K ka;-0.48;<=;-0.5530037290491623;18.0;0.004092283291745158;K ka <= -0.553004
K ka <= -0.16;9.683719555618797;K ka;-0.16;<=;-0.18834243772425907;19.0;0.0003007136710259928;K ka <= -0.188342
K ka > 0.44;9.161398439289735;K ka;0.44;>;0.5221139741195824;34.0;0.0019776629149033664;K ka > 0.522114
K ka > 0.20;7.634267574976504;K ka;0.20;>;0.25404221656655146;24.0;0.004192361868619043;K ka > 0.254042
K ka <= 0.20;7.027722388845161;K ka;0.20;<=;0.25404221656655146;24.0;0.004192361868619043;K ka <= 0.254042
K ka <= 0.44;4.988404035954361;K ka;0.44;<=;0.5221139741195824;34.0;0.0019776629149033664;K ka <= 0.522114
K ka > -0.48;3.969217032382911;K ka;-0.48;>;-0.5530037290491623;18.0;0.004092283291745158;K ka > -0.553004
K kb + Ca ka <= -0.14;3.641408344103696;K kb + Ca ka;-0.14;<=;-0.06345788100151484;21.0;0.000246254383843153;K kb + Ca ka <= -0.063458
K ka > -0.16;3.297444106637577;K ka;-0.16;>;-0.18834243772425907;19.0;0.0003007136710259928;K ka > -0.188342
K kb + Ca ka > -0.02;2.6091994091791006;K kb + Ca ka;-0.02;>;-0.004928087762383404;3.0;0.001388698610241948;K kb + Ca ka > -0.004928
K kb + Ca ka <= -0.02;2.5186554160735786;K kb + Ca ka;-0.02;<=;-0.004928087762383404;3.0;0.001388698610241948;K kb + Ca ka <= -0.004928
Rb ka + Br kb > -0.02;2.4889275105261315;Rb ka + Br kb;-0.02;>;-0.0037442710273196678;27.0;0.0007290866009028486;Rb ka + Br kb > -0.003744
K kb + Ca ka > 0.16;2.3218784658850646;K kb + Ca ka;0.16;>;0.047945349056639275;19.0;0.0020581935877721225;K kb + Ca ka > 0.047945
K kb + Ca ka <= 0.11;2.3137150096000436;K kb + Ca ka;0.11;<=;0.052217401013207265;11.0;0.003078070119604648;K kb + Ca ka <= 0.052217
S > 0.05;2.229729091024969;S;0.05;>;0.012153562142425606;22.0;0.000556777648947411;S > 0.012154
K kb + Ca ka > 0.11;2.204673062974655;K kb + Ca ka;0.11;>;0.052217401013207265;11.0;0.003078070119604648;K kb + Ca ka > 0.052217
