model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;0.991853;0.881019;0.110834;0.99187;0.886179;0.105691;0.229937;Ti ka
pls;SMX;2;zero;0.991853;0.719035;0.272818;0.99187;0.756098;0.235772;0.275582;"Ti ka; Ca ka"
pls;SMX;3;zero;0.991853;0.541574;0.450279;0.99187;0.650407;0.341463;0.322799;"Ti ka; Ca ka; Cu ka"
pls;SMX;4;zero;0.991853;0.490258;0.501595;0.99187;0.626016;0.365854;0.35246;"Ti ka; Ca ka; Cu ka; Ti kb"
pls;SMX;5;zero;0.991853;0.490258;0.501595;0.99187;0.626016;0.365854;0.358508;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb"
pls;SMX;6;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.361232;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka"
pls;SMX;7;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.375219;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering"
pls;SMX;8;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.377994;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb"
pls;SMX;9;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.378488;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb"
pls;SMX;10;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.378934;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka"
pls;SMX;11;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.379522;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka; background1"
pls;SMX;12;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.379614;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka; background1; Ar ka + Ag L"
pls;SMX;13;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.383275;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka; background1; Ar ka + Ag L; background3"
pls;SMX;14;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.383311;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka; background1; Ar ka + Ag L; background3; background2"
pls;SMX;15;zero;0.991853;0.471953;0.5199;0.99187;0.617886;0.373984;0.383308;"Ti ka; Ca ka; Cu ka; Ti kb; Ca kb; Fe ka; Ag ka scattering; Cu kb; Fe kb; Zn ka; background1; Ar ka + Ag L; background3; background2; Zn kb"
pls;SHAP;1;zero;0.991853;0.881019;0.110834;0.99187;0.886179;0.105691;0.229937;Ti ka
pls;SHAP;2;zero;0.991853;0.719035;0.272818;0.99187;0.756098;0.235772;0.275582;"Ti ka; Ca ka"
pls;SHAP;3;zero;0.991853;0.541574;0.450279;0.99187;0.650407;0.341463;0.322799;"Ti ka; Ca ka; Cu ka"
pls;SHAP;4;zero;0.991853;0.573142;0.418711;0.99187;0.666667;0.325203;0.325539;"Ti ka; Ca ka; Cu ka; Fe ka"
