energy;Mean_Abs_SHAP
4.52;0.0537687241948783
4.54;0.053608144519627386
4.57;0.04737912255287259
4.49;0.045785388509405736
4.47;0.03448974537265058
4.6;0.03389145372536809
3.73;0.019028670220025697
3.7;0.017129103267681696
4.62;0.015734921442223868
4.44;0.015040841751669093
3.75;0.011993741643773488
3.68;0.010115145933407451
8.06;0.0043500498309903745
8.09;0.0036641192510050743
8.03;0.0034764532464383264
4.65;0.003475546237749698
8.11;0.0033613867531419746
4.42;0.0032283772658465043
6.46;0.002826098282060856
3.78;0.0027097577331641892
6.51;0.002707265091234912
8.01;0.0026342053855185504
7.98;0.001950379563429673
8.14;0.001831280104699057
4.93;0.0016036255214981767
3.65;0.0015558282202968372
4.95;0.0012542172146911565
4.98;0.000931205283876916
4.9;0.0007970248513956534
6.4;0.0004682617652586674
8.16;0.00038520186626990726
7.96;0.00030854555726319996
5;0.00027418459474690495
21.92;0.00024023556489144346
3.81;0.0002186725511645079
3.63;0.00021599150995797368
4.85;0.00015729680828099814
4.88;0.00013103476466969668
5.03;7.719965526450753e-05
22;4.808744405453362e-05
21.97;4.558307499101754e-05
7.93;3.51805954681465e-05
4.67;2.314448930340544e-05
4.82;2.2074150015263865e-05
21.87;2.174758337206334e-05
21.9;1.8931808399665502e-05
22.02;1.3913244288388392e-05
4.03;9.057600783613793e-06
22.33;8.61286252349645e-06
21.85;8.121428902115816e-06
6.79;7.846828830491155e-06
21.95;2.873003622937395e-06
16.55;0.0
16.67;0.0
16.7;0.0
16.72;0.0
16.75;0.0
16.77;0.0
16.65;0.0
16.62;0.0
16.6;0.0
16.57;0.0
15.78;0.0
15.83;0.0
15.86;0.0
15.88;0.0
15.91;0.0
15.93;0.0
15.96;0.0
15.98;0.0
16.01;0.0
16.04;0.0
16.06;0.0
16.09;0.0
16.11;0.0
16.19;0.0
16.16;0.0
16.21;0.0
16.24;0.0
16.26;0.0
16.29;0.0
16.32;0.0
16.34;0.0
16.37;0.0
16.39;0.0
16.42;0.0
16.44;0.0
16.47;0.0
16.49;0.0
16.52;0.0
16.14;0.0
17.36;0.0
17.39;0.0
17.41;0.0
17.44;0.0
17.46;0.0
17.49;0.0
17.51;0.0
17.54;0.0
17.56;0.0
17.59;0.0
15.81;0.0
17.64;0.0
17.67;0.0
17.69;0.0
17.72;0.0
17.74;0.0
17.77;0.0
17.79;0.0
17.82;0.0
17.84;0.0
17.87;0.0
17.62;0.0
16.8;0.0
16.83;0.0
16.85;0.0
16.88;0.0
16.9;0.0
16.93;0.0
16.95;0.0
16.98;0.0
17;0.0
17.03;0.0
17.34;0.0
17.08;0.0
17.11;0.0
17.13;0.0
17.16;0.0
17.18;0.0
17.21;0.0
17.23;0.0
17.26;0.0
17.28;0.0
17.31;0.0
17.05;0.0
13.95;0.0
13.97;0.0
14;0.0
14.02;0.0
14.05;0.0
14.07;0.0
14.1;0.0
14.12;0.0
14.15;0.0
14.18;0.0
14.2;0.0
15.3;0.0
14.25;0.0
14.28;0.0
14.3;0.0
14.33;0.0
14.35;0.0
14.38;0.0
14.4;0.0
14.43;0.0
14.46;0.0
14.48;0.0
14.51;0.0
14.23;0.0
13.28;0.0
13.33;0.0
13.36;0.0
13.39;0.0
13.41;0.0
13.44;0.0
13.46;0.0
13.49;0.0
13.51;0.0
13.54;0.0
13.56;0.0
13.92;0.0
13.62;0.0
13.64;0.0
13.67;0.0
13.69;0.0
13.72;0.0
13.74;0.0
13.77;0.0
13.79;0.0
