model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.111535;K
pls;SMX;2;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.124517;"K; Ca ka"
pls;SMX;3;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.140216;"K; Ca ka; Fe ka"
pls;SMX;4;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.167106;"K; Ca ka; Fe ka; Mo rayleigh scattering"
pls;SMX;5;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.160004;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka"
pls;SMX;6;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.209932;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering"
pls;SMX;7;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.204535;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu"
pls;SMX;8;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230864;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si"
pls;SMX;9;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230018;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl"
pls;SMX;10;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.228449;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni"
pls;SMX;11;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.227499;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb"
pls;SMX;12;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.23004;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb"
pls;SMX;13;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.231603;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga"
pls;SMX;14;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.231196;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La"
pls;SMX;15;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241601;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6"
pls;SMX;16;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240767;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1"
pls;SMX;17;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240383;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb"
pls;SMX;18;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240647;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2"
pls;SMX;19;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241046;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2; Ca kb"
pls;SMX;20;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241734;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2; Ca kb; background 3"
pls;SMX;21;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242081;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2; Ca kb; background 3; background 4"
pls;SMX;22;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242387;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2; Ca kb; background 3; background 4; Ti"
pls;SMX;23;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242319;"K; Ca ka; Fe ka; Mo rayleigh scattering; Zn ka; Mo compton scattering; Cu; Si; Cl; Ni; Zn kb; Fe kb; Ga; Pb La; background 6; background 1; Pb Lb; background 2; Ca kb; background 3; background 4; Ti; background 5"
pls;SHAP;1;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.124517;Ca ka
pls;SHAP;2;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.175044;"Ca ka; Mo compton scattering"
pls;SHAP;3;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.167903;"Ca ka; Mo compton scattering; Zn ka"
pls;SHAP;4;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.162506;"Ca ka; Mo compton scattering; Zn ka; Cu"
pls;SHAP;5;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.188835;"Ca ka; Mo compton scattering; Zn ka; Cu; Si"
pls;SHAP;6;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.204534;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka"
pls;SHAP;7;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230864;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering"
pls;SHAP;8;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230793;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5"
pls;SHAP;9;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.229946;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl"
pls;SHAP;10;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.229112;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1"
pls;SHAP;11;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.229376;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2"
pls;SHAP;12;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.229681;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti"
pls;SHAP;13;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.23037;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3"
pls;SHAP;14;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230769;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb"
pls;SHAP;15;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.23331;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb"
pls;SHAP;16;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.231741;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni"
pls;SHAP;17;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.233303;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga"
pls;SHAP;18;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.232354;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga; Zn kb"
pls;SHAP;19;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.2327;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga; Zn kb; background 4"
pls;SHAP;20;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.243106;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga; Zn kb; background 4; background 6"
pls;SHAP;21;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242702;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga; Zn kb; background 4; background 6; Pb La"
pls;SHAP;22;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242319;"Ca ka; Mo compton scattering; Zn ka; Cu; Si; Fe ka; Mo rayleigh scattering; background 5; Cl; background 1; background 2; Ti; background 3; Ca kb; Fe kb; Ni; Ga; Zn kb; background 4; background 6; Pb La; Pb Lb"
pls;Permutation;1;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.124517;Ca ka
pls;Permutation;2;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.150847;"Ca ka; Si"
pls;Permutation;3;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.166546;"Ca ka; Si; Fe ka"
pls;Permutation;4;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.217033;"Ca ka; Si; Fe ka; Mo compton scattering"
pls;Permutation;5;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.243363;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering"
pls;Permutation;6;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.236262;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka"
pls;Permutation;7;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230864;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu"
pls;Permutation;8;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230018;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl"
pls;Permutation;9;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240423;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6"
pls;Permutation;10;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242964;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb"
pls;Permutation;11;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241395;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni"
pls;Permutation;12;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242958;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga"
pls;Permutation;13;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242009;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb"
pls;Permutation;14;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241174;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1"
pls;Permutation;15;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240767;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La"
pls;Permutation;16;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240383;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb"
pls;Permutation;17;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240647;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2"
pls;Permutation;18;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.240994;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2; background 4"
pls;Permutation;19;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.241682;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2; background 4; background 3"
pls;Permutation;20;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242081;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2; background 4; background 3; Ca kb"
pls;Permutation;21;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242387;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2; background 4; background 3; Ca kb; Ti"
pls;Permutation;22;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.242319;"Ca ka; Si; Fe ka; Mo compton scattering; Mo rayleigh scattering; Zn ka; Cu; Cl; background 6; Fe kb; Ni; Ga; Zn kb; background 1; Pb La; Pb Lb; background 2; background 4; background 3; Ca kb; Ti; background 5"
pls;VIP;1;zero;0.905628;0.905628;0.0;0.909091;0.909091;0.0;0.013184;Cl
pls;VIP;2;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.12367;"Cl; Ca ka"
pls;VIP;3;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.139369;"Cl; Ca ka; Fe ka"
pls;VIP;4;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.133967;"Cl; Ca ka; Fe ka; Cu"
pls;VIP;5;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.126871;"Cl; Ca ka; Fe ka; Cu; Zn ka"
pls;VIP;6;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.1532;"Cl; Ca ka; Fe ka; Cu; Zn ka; Si"
pls;VIP;7;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.203688;"Cl; Ca ka; Fe ka; Cu; Zn ka; Si; Mo compton scattering"
pls;VIP;8;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.230018;"Cl; Ca ka; Fe ka; Cu; Zn ka; Si; Mo compton scattering; Mo rayleigh scattering"
pls;VIP;9;zero;0.905628;0.494949;0.410678;0.909091;0.636364;0.272727;0.228449;"Cl; Ca ka; Fe ka; Cu; Zn ka; Si; Mo compton scattering; Mo rayleigh scattering; Ni"
