energy;Permutation_importance;Zone
3.309;0.004961771633307294;Ca ka
3.324;0.004894045756338394;Ca ka
3.319;0.004778437984032746;Ca ka
3.299;0.004775492253874676;Ca ka
3.294;0.004524925723473168;Ca ka
3.329;0.004416447306836895;Ca ka
3.304;0.00440902939766943;Ca ka
3.289;0.004394490518177115;Ca ka
3.314;0.004360466970824598;Ca ka
3.339;0.004269821933555678;Ca ka
3.284;0.004224723297788312;Ca ka
3.344;0.004093789256785876;Ca ka
3.279;0.004021456507760449;Ca ka
3.334;0.0039588399080441265;Ca ka
3.274;0.0035937744920473058;Ca ka
3.349;0.003580591840392762;Ca ka
3.354;0.003522550531911809;Ca ka
3.269;0.0031676962437307576;Ca ka
3.359;0.0030901475519762188;Ca ka
3.364;0.002896475918523298;Ca ka
3.264;0.0026615847343172475;Ca ka
3.259;0.0026131409088991277;Ca ka
3.254;0.002458596906882985;Ca ka
3.369;0.0022990101261762272;Ca ka
1.753;0.0022186198529504817;Si
6.396;0.0021984557385874206;Fe ka
3.249;0.0021955632157322764;Ca ka
1.758;0.0021861689890570286;Si
17.01;0.0021712555890519244;Mo compton scattering
17.075;0.0021677257386998527;Mo compton scattering
1.738;0.002163080908894279;Si
17.025;0.0021529992534692084;Mo compton scattering
6.386;0.0021529232267457855;Fe ka
3.379;0.0021442023493167383;Ca ka
17.045;0.0021434409915169214;Mo compton scattering
1.743;0.002127875858945258;Si
17.09;0.002096097170456051;Mo compton scattering
1.728;0.0020908400406790123;Si
6.376;0.0020899654351486815;Fe ka
17.105;0.002087813514395695;Mo compton scattering
3.374;0.0020839333615579945;Ca ka
17.11;0.0020837266876392673;Mo compton scattering
1.748;0.0020825061343429296;Si
17.02;0.002079173791559758;Mo compton scattering
6.401;0.002071643576561521;Fe ka
17.03;0.0020676084806612893;Mo compton scattering
17.095;0.002058330224169407;Mo compton scattering
6.416;0.002057849927108962;Fe ka
1.733;0.0020551385329360293;Si
17.085;0.002040190761146344;Mo compton scattering
17.07;0.0020377839853622593;Mo compton scattering
17.055;0.002037602143500145;Mo compton scattering
1.723;0.002035550455281104;Si
17.14;0.0020179632926169504;Mo compton scattering
6.406;0.002017523545812422;Fe ka
17.05;0.0020131992620175724;Mo compton scattering
6.421;0.002001424468454873;Fe ka
17.06;0.001999635399993118;Mo compton scattering
17.115;0.0019940932188925566;Mo compton scattering
6.391;0.0019871261084975513;Fe ka
6.371;0.0019836354514733436;Fe ka
6.411;0.0019671798783686806;Fe ka
17.12;0.0019568381593534547;Mo compton scattering
16.99;0.0019483760797832195;Mo compton scattering
17.035;0.0019412532064461557;Mo compton scattering
6.366;0.0019223741999692308;Fe ka
17.125;0.0019210992009663908;Mo compton scattering
3.244;0.0019208124491274764;Ca ka
17.04;0.0019184089868709072;Mo compton scattering
17.005;0.0019172425793232309;Mo compton scattering
