Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K > 252.13;16.801085171551435;K;252.13;>;10612.220970907118;18.0;16.364741765558932;K > 10612.220971
K > -110.11;14.644326274606856;K;-110.11;>;-5332.716136632813;11.0;4.352975736681316;K > -5332.716137
Ca ka > 297.86;9.622107715028402;Ca ka;297.86;>;11304.652968598546;18.0;20.706830240283125;Ca ka > 11304.652969
K > -188.10;8.938348471606405;K;-188.10;>;-7893.203138950117;1.0;8.539068789126873;K > -7893.203139
K > -218.79;6.76419435142456;K;-218.79;>;-9987.5675132689;20.0;0.4782989653719767;K > -9987.567513
Ca ka > -117.62;6.658186607843886;Ca ka;-117.62;>;-4968.251357633554;13.0;0.8226884109106578;Ca ka > -4968.251358
Fe ka > 51.04;5.504981155278966;Fe ka;51.04;>;1329.0630404483163;1.0;13.426483712699806;Fe ka > 1329.063040
Mo rayleigh scattering > 437.35;4.789280285951428;Mo rayleigh scattering;437.35;>;49369.15965344044;13.0;41.28815375613897;Mo rayleigh scattering > 49369.159653
Ca ka > -200.83;4.55178659955412;Ca ka;-200.83;>;-8146.902345802228;1.0;3.655755595604745;Ca ka > -8146.902346
Fe ka > -51.08;3.52294317696143;Fe ka;-51.08;>;-1837.1577965885172;8.0;7.711041924966551;Fe ka > -1837.157797
Zn ka > 90.93;3.2636167499459345;Zn ka;90.93;>;2372.047367191978;20.0;11.862283938050908;Zn ka > 2372.047367
Ca ka > -234.53;2.6399032893152437;Ca ka;-234.53;>;-9996.713760327852;2.0;1.1673009196886142;Ca ka > -9996.713760
Mo rayleigh scattering > -54.62;2.1261810068227587;Mo rayleigh scattering;-54.62;>;-9584.077560185397;6.0;27.924869031484043;Mo rayleigh scattering > -9584.077560
K <= 252.13;1.7769141593480833;K;252.13;<=;10612.220970907118;18.0;16.364741765558932;K <= 10612.220971
Mo compton scattering > -261.91;1.6908198039091191;Mo compton scattering;-261.91;>;-36408.161742049604;17.0;70.83240948137285;Mo compton scattering > -36408.161742
Mo compton scattering > 878.85;1.6847421822974282;Mo compton scattering;878.85;>;90700.40337878914;7.0;26.65848622830879;Mo compton scattering > 90700.403379
Fe ka > -94.62;1.569912836595412;Fe ka;-94.62;>;-3178.193446248035;15.0;3.4499559971782077;Fe ka > -3178.193446
Cu > -68.44;1.5660710769036392;Cu;-68.44;>;-1398.0483202207236;20.0;0.35703060625910155;Cu > -1398.048320
Mo rayleigh scattering > -381.81;1.5384455735072682;Mo rayleigh scattering;-381.81;>;-44434.05084833142;12.0;14.92077127471174;Mo rayleigh scattering > -44434.050848
Si > 245.93;1.5111021389230914;Si;245.93;>;21357.824649198526;11.0;0.27045747276420684;Si > 21357.824649
K <= -218.79;1.5076520061853587;K;-218.79;<=;-9987.5675132689;20.0;0.4782989653719767;K <= -9987.567513
Fe ka > -134.39;1.408172782515024;Fe ka;-134.39;>;-4247.475385930489;6.0;2.9945087984635563;Fe ka > -4247.475386
Zn ka > -109.96;1.3894034107031286;Zn ka;-109.96;>;-3260.7893892046814;5.0;5.496047313849175;Zn ka > -3260.789389
Mo rayleigh scattering > -635.69;1.3407856177618904;Mo rayleigh scattering;-635.69;>;-78774.95910145967;19.0;10.095937660955428;Mo rayleigh scattering > -78774.959101
