model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.209265;Si
pls;SMX;2;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.333235;"Si; Ca ka"
pls;SMX;3;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.355151;"Si; Ca ka; Ca kb"
pls;SMX;4;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.366043;"Si; Ca ka; Ca kb; Rh L + Ar"
pls;SMX;5;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.363522;"Si; Ca ka; Ca kb; Rh L + Ar; K"
pls;SMX;6;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.374743;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka"
pls;SMX;7;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.378475;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka"
pls;SMX;8;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.37971;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P"
pls;SMX;9;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.380098;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S"
pls;SMX;10;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.380984;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn"
pls;SMX;11;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.381659;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb"
pls;SMX;12;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.38183;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn"
pls;SMX;13;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.383201;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni"
pls;SMX;14;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.383518;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe"
pls;SMX;15;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.383862;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al"
pls;SMX;16;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384543;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering"
pls;SMX;17;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384594;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1"
pls;SMX;18;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384193;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1; background3"
pls;SMX;19;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.38437;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1; background3; Fe kb"
pls;SMX;20;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384361;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1; background3; Fe kb; Rayleight scattering"
pls;SMX;21;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384415;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1; background3; Fe kb; Rayleight scattering; Cu"
pls;SMX;22;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384637;"Si; Ca ka; Ca kb; Rh L + Ar; K; Fe ka; Ti ka; P; S; Mn; Ti kb; Zn; Ni; sum Fe; Al; Compton scattering; background1; background3; Fe kb; Rayleight scattering; Cu; background2"
pls;SHAP;1;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.209265;Si
pls;SHAP;2;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.333235;"Si; Ca ka"
pls;SHAP;3;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.344326;"Si; Ca ka; Rh L + Ar"
pls;SHAP;4;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.342178;"Si; Ca ka; Rh L + Ar; K"
pls;SHAP;5;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.363522;"Si; Ca ka; Rh L + Ar; K; Ca kb"
pls;SHAP;6;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.374743;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka"
pls;SHAP;7;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.375086;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al"
pls;SHAP;8;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.376321;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P"
pls;SHAP;9;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.376312;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering"
pls;SHAP;10;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.376701;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S"
pls;SHAP;11;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.377382;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering"
pls;SHAP;12;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.378268;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn"
pls;SHAP;13;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.382;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka"
pls;SHAP;14;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.382675;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb"
pls;SHAP;15;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.382726;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1"
pls;SHAP;16;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.382947;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2"
pls;SHAP;17;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.383138;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb"
pls;SHAP;18;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384495;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb; Ni"
pls;SHAP;19;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384545;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb; Ni; Cu"
pls;SHAP;20;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384142;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb; Ni; Cu; background3"
pls;SHAP;21;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384317;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb; Ni; Cu; background3; Zn"
pls;SHAP;22;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384637;"Si; Ca ka; Rh L + Ar; K; Ca kb; Fe ka; Al; P; Rayleight scattering; S; Compton scattering; Mn; Ti ka; Ti kb; background1; background2; Fe kb; Ni; Cu; background3; Zn; sum Fe"
pls;Permutation;1;zero;1.0;0.983193;0.016807;1.0;0.983333;0.016667;0.209265;Si
pls;Permutation;2;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.333235;"Si; Ca ka"
pls;Permutation;3;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.330926;"Si; Ca ka; K"
pls;Permutation;4;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.342178;"Si; Ca ka; K; Rh L + Ar"
pls;Permutation;5;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.363522;"Si; Ca ka; K; Rh L + Ar; Ca kb"
pls;Permutation;6;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.374743;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka"
pls;Permutation;7;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.375978;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P"
pls;Permutation;8;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.376864;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn"
pls;Permutation;9;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.377252;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S"
pls;Permutation;10;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.380984;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka"
pls;Permutation;11;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.381328;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al"
pls;Permutation;12;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.382698;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al; Ni"
pls;Permutation;13;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.38292;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al; Ni; background2"
pls;Permutation;14;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.383595;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al; Ni; background2; Ti kb"
pls;Permutation;15;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384275;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al; Ni; background2; Ti kb; Compton scattering"
pls;Permutation;16;zero;1.0;0.576471;0.423529;1.0;0.7;0.3;0.384453;"Si; Ca ka; K; Rh L + Ar; Ca kb; Fe ka; P; Mn; S; Ti ka; Al; Ni; background2; Ti kb; Compton scattering; Fe kb"
