Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Si > -0.72;12.819478771875623;Si;-0.72;>;-2.08704351887285;129.0;0.03892620473939157;Si > -2.087044
Si > -1.67;9.08023849817769;Si;-1.67;>;-4.20092197137499;133.0;0.02352670165131321;Si > -4.200922
Si > -2.51;6.530609866916906;Si;-2.51;>;-6.726366570294854;45.0;0.014243412985783799;Si > -6.726367
Ca ka <= -1.50;4.291024244591598;Ca ka;-1.50;<=;-9.476438845769698;94.0;0.08308610644550729;Ca ka <= -9.476439
Si <= 3.71;3.848398116400378;Si;3.71;<=;9.80345067911598;38.0;0.002001928733585956;Si <= 9.803451
Ca ka > 1.77;3.67954126056334;Ca ka;1.77;>;11.95326604704246;82.0;0.01340814147351943;Ca ka > 11.953266
Si <= -1.67;3.475665811039095;Si;-1.67;<=;-4.20092197137499;133.0;0.02352670165131321;Si <= -4.200922
Ca ka <= 1.77;2.571024591830197;Ca ka;1.77;<=;11.95326604704246;82.0;0.01340814147351943;Ca ka <= 11.953266
Ca ka > -4.65;2.297918344133288;Ca ka;-4.65;>;-28.611834952528678;28.0;0.009804402998742745;Ca ka > -28.611835
Ca ka > -1.50;1.9938018133246012;Ca ka;-1.50;>;-9.476438845769698;94.0;0.08308610644550729;Ca ka > -9.476439
Ca ka <= 3.95;1.981088176805538;Ca ka;3.95;<=;24.763583327192777;89.0;0.04588513780791725;Ca ka <= 24.763583
Si <= -0.72;1.548195527624245;Si;-0.72;<=;-2.08704351887285;129.0;0.03892620473939157;Si <= -2.087044
Ca kb <= -0.59;0.6331661167243903;Ca kb;-0.59;<=;-1.5932654398903068;75.0;0.011377930620377619;Ca kb <= -1.593265
Rh L + Ar > -0.16;0.555332539281339;Rh L + Ar;-0.16;>;-0.6959020233851827;50.0;0.01049666460330137;Rh L + Ar > -0.695902
Ca kb > 0.62;0.48227544843647985;Ca kb;0.62;>;1.534383033566584;125.0;0.036219162736439436;Ca kb > 1.534383
Ca kb > -0.59;0.37863346825135435;Ca kb;-0.59;>;-1.5932654398903068;75.0;0.011377930620377619;Ca kb > -1.593265
K <= -1.46;0.376093873968282;K;-1.46;<=;-12.506148277232212;111.0;0.014009806674556202;K <= -12.506148
Rh L + Ar > -0.77;0.3703833514212459;Rh L + Ar;-0.77;>;-2.9160345662522085;119.0;0.0028541040834669795;Rh L + Ar > -2.916035
Ca kb <= 0.62;0.36979947676379654;Ca kb;0.62;<=;1.534383033566584;125.0;0.036219162736439436;Ca kb <= 1.534383
Rh L + Ar > -1.66;0.3649116675341825;Rh L + Ar;-1.66;>;-6.732787180350089;125.0;0.011318382273834304;Rh L + Ar > -6.732787
Ca kb <= 1.57;0.36272292698808967;Ca kb;1.57;<=;4.061054967503731;89.0;0.027373954966408487;Ca kb <= 4.061055
K <= 2.15;0.36214859148628153;K;2.15;<=;20.67648529677476;90.0;0.022977462102161006;K <= 20.676485
Ca kb > -1.81;0.35901340439931717;Ca kb;-1.81;>;-4.698081232668004;5.0;0.006701619175047746;Ca kb > -4.698081
K > -1.46;0.35814848984596775;K;-1.46;>;-12.506148277232212;111.0;0.014009806674556202;K > -12.506148
K > 2.15;0.3579463979887069;K;2.15;>;20.67648529677476;90.0;0.022977462102161006;K > 20.676485
Rh L + Ar <= -0.77;0.35567258632276244;Rh L + Ar;-0.77;<=;-2.9160345662522085;119.0;0.0028541040834669795;Rh L + Ar <= -2.916035
K > -6.69;0.3450754594937224;K;-6.69;>;-65.67127243680328;79.0;0.023761074077500943;K > -65.671272
K <= 6.26;0.3408266332530149;K;6.26;<=;61.252409982286686;132.0;0.032623268699308205;K <= 61.252410
Fe ka > -2.26;0.3205442535674724;Fe ka;-2.26;>;-8.585460500977106;77.0;0.009247464592412769;Fe ka > -8.585461
Ti ka > -0.52;0.3083655479529595;Ti ka;-0.52;>;-0.9504818431833442;46.0;0.003641478610981186;Ti ka > -0.950482
Fe ka > -3.05;0.27116069747336663;Fe ka;-3.05;>;-11.993966880702645;102.0;0.01249939322380289;Fe ka > -11.993967
P > 0.08;0.25977904712049943;P;0.08;>;0.0840773679800662;17.0;0.028244473300735956;P > 0.084077
S > 0.55;0.24694007732969184;S;0.55;>;1.0177419806862404;129.0;0.00017133735719399024;S > 1.017742
Rh L + Ar <= 1.37;0.2386134404565045;Rh L + Ar;1.37;<=;5.446537216965358;7.0;0.000935932998315403;Rh L + Ar <= 5.446537
Rh L + Ar <= -0.16;0.18667273685886115;Rh L + Ar;-0.16;<=;-0.6959020233851827;50.0;0.01049666460330137;Rh L + Ar <= -0.695902
Fe ka > -3.74;0.15964358471195128;Fe ka;-3.74;>;-14.39418125184009;68.0;0.01716195630394246;Fe ka > -14.394181
S > 0.09;0.15163614575870277;S;0.09;>;0.27599992342647145;56.0;0.0009275218920755252;S > 0.276000
P > -0.59;0.14039399737332733;P;-0.59;>;-1.3194620225167286;26.0;0.004480719681389189;P > -1.319462
Ti ka > -0.70;0.13466922620243843;Ti ka;-0.70;>;-1.2555888977833012;69.0;0.000298890817404196;Ti ka > -1.255589
Mn > 0.23;0.1325194314522978;Mn;0.23;>;0.5411343087571164;44.0;9.984208036389886e-05;Mn > 0.541134
Ti ka > -0.86;0.1274706873053253;Ti ka;-0.86;>;-1.533623719504778;84.0;0.003583558257918451;Ti ka > -1.533624
P > -1.23;0.12328957960866925;P;-1.23;>;-2.5403286675679237;54.0;0.0007267226568026253;P > -2.540329
S > -0.55;0.11769408055683939;S;-0.55;>;-1.0580910709463294;103.0;0.014153589906226283;S > -1.058091
Mn > -0.41;0.11766010476955449;Mn;-0.41;>;-1.1294262453443222;57.0;0.008943642964015952;Mn > -1.129426
Mn <= -0.41;0.11763934097662879;Mn;-0.41;<=;-1.1294262453443222;57.0;0.008943642964015952;Mn <= -1.129426
