energy;Permutation_importance;Zone
1.74;0.04828991482361154;Si
3.7;0.044434300256815634;Ca ka
1.72;0.04412437505799362;Si
1.76;0.04286253783805973;Si
3.68;0.03966472264577367;Ca ka
3.72;0.03879831821901002;Ca ka
1.7;0.03148373707671909;Si
1.78;0.029748606724676312;Si
3.66;0.027524518080561288;Ca ka
3.74;0.02696793053154835;Ca ka
1.68;0.01795118910813883;Si
1.8;0.01689959929600295;Si
3.76;0.01573276401452036;Ca ka
3.64;0.013382743324731817;Ca ka
3.3;0.011805081438645563;K
3.28;0.011624056873479631;K
3.26;0.009223689028425165;K
3.38;0.008247326779929069;K
2.62;0.008049350988348468;Rh L + Ar
2.6;0.007769786210458446;Rh L + Ar
3.4;0.007597680232190991;K
3.78;0.007597610157075607;Ca ka
1.82;0.007242664632489784;Si
3.32;0.0069862117204155015;K
1.66;0.006816368942281983;Si
4;0.00629322479041986;Ca kb
4.02;0.006188760671008565;Ca kb
3.36;0.006056832753771212;K
2.58;0.00576515475302776;Rh L + Ar
2.64;0.005469894486993335;Rh L + Ar
4.04;0.005310555702676143;Ca kb
3.42;0.005222143313618338;K
3.62;0.005133550156733226;Ca ka
3.24;0.005006526432232811;K
3.98;0.004744721737184566;Ca kb
4.06;0.0038724290873177842;Ca kb
6.46;0.0037309962015861357;Fe ka
6.44;0.0036599811014675276;Fe ka
3.6;0.003615682653162291;Ca ka
2.56;0.0033494671034163285;Rh L + Ar
3.96;0.0031177831379260966;Ca kb
2.66;0.0030322250985722297;Rh L + Ar
6.42;0.0030093675174281535;Fe ka
3.58;0.0029541666965723344;Ca ka
3.8;0.0029259172592520444;Ca ka
1.84;0.0028446440822335545;Si
6.48;0.002600561171745662;Fe ka
6.4;0.002174485621055773;Fe ka
3.22;0.002127644374302877;K
3.44;0.0021143055407476905;K
1.64;0.002073860115225927;Si
3.56;0.0020695182296571035;Ca ka
4.08;0.002012088811590593;Ca kb
3.94;0.001827409327503519;Ca kb
3.54;0.0016121850519949885;Ca ka
6.5;0.001569444127760726;Fe ka
2.54;0.0014059596291983959;Rh L + Ar
2.04;0.0013909567286072714;P
5.92;0.0012687781413932447;Mn
2.02;0.0012272888303452864;P
2.3;0.0012099905465877382;S
3.34;0.0012062620935441957;K
1.86;0.001167318126209332;P
5.9;0.0011458074511293901;Mn
5.88;0.0011175526683985487;Mn
2;0.0011153842892865971;P
2.32;0.0010947027528495454;S
2.06;0.0009924887571257782;P
2.28;0.0009818732716686137;S
3.52;0.0009634061486970922;Ca ka
2.68;0.0009395933384295912;Rh L + Ar
4.5;0.0009360472970736848;Ti ka
4.48;0.0009290708113929753;Ti ka
