energy;VIP_Score;Zone
6.4;7.006022446684517;Fe ka
6.42;6.998470781247991;Fe ka
6.44;6.544725266233199;Fe ka
6.38;6.519833638455707;Fe ka
3.32;6.2607192846663455;K
3.34;6.133800599105947;K
3.3;5.910234231514354;K
6.46;5.6840155619883665;Fe ka
6.36;5.642785869291605;Fe ka
3.36;5.544733022830921;K
1.74;5.3505454581066765;Si
3.7;5.338158384132185;Ca ka
3.28;5.153282695396105;K
1.72;5.126241975030138;Si
1.76;5.0879869993706714;Si
3.68;5.036240354334559;Ca ka
3.72;5.007949205089091;Ca ka
3.38;4.624440033497841;K
6.48;4.590406895356698;Fe ka
6.34;4.535674606304273;Fe ka
1.7;4.315604593747104;Si
3.74;4.236335441119039;Ca ka
1.78;4.203491087743102;Si
3.26;4.153337033887828;K
3.66;4.0349683294725;Ca ka
3.4;3.5787980182676424;K
6.5;3.3506862277344625;Fe ka
6.32;3.30313391593665;Fe ka
3.76;3.238593229544669;Ca ka
1.68;3.2347725953488577;Si
1.8;3.171365134997928;Si
3.24;3.080327094375047;K
3.64;2.5975419094636436;Ca ka
3.42;2.5496148309309334;K
3.78;2.2370138089597984;Ca ka
6.52;2.2071396764916065;Fe ka
6.3;2.1914358907774383;Fe ka
1.82;2.098087972606937;Si
3.22;2.083351717499487;K
1.66;2.028098737155536;Si
4.02;2.0141038966952074;Ca kb
4;2.003984921558731;Ca kb
4.04;1.862965506215879;Ca kb
4.52;1.777784712751303;Ti ka
3.98;1.7703197614721482;Ca kb
4.5;1.7315695278565062;Ti ka
7.06;1.707771308177092;Fe kb
7.08;1.6649607617864988;Fe kb
3.56;1.658294707817552;Ca ka
3.44;1.6208813995319231;K
4.54;1.6168935571196479;Ti ka
7.04;1.60534018863401;Fe kb
2.62;1.6005008116028923;Rh L + Ar
2.6;1.5686777984354008;Rh L + Ar
3.58;1.5672798250904216;Ca ka
4.06;1.5666511760327466;Ca kb
4.48;1.5007904101204612;Ti ka
7.1;1.4758348672689465;Fe kb
3.96;1.4577008438021293;Ca kb
3.54;1.4525972471595983;Ca ka
7.02;1.4000519319918088;Fe kb
