energy;Mean_Abs_SHAP
2.99;0.03767734542820749
22.23;0.02811192495903081
21.98;0.02417156957024235
3.07;0.022268759943406043
22.28;0.019274572683847656
21.95;0.016004908145197665
3.02;0.015373169186267976
3.22;0.013511392727802163
2.94;0.012655176595587545
22.08;0.012323875378014151
3.15;0.012131653125361503
22.26;0.011135449712160987
22.21;0.010730844754464095
3.17;0.010339215288358622
22.00;0.009503195206574132
22.05;0.008871830974063216
22.03;0.008641217581025833
22.10;0.005861913171656453
22.16;0.005435145676397779
22.31;0.005235281884012203
3.20;0.004861177419922455
3.25;0.004702234372760548
21.82;0.004483380129455865
22.18;0.0035471488594324765
21.87;0.0033812344818513005
22.13;0.0033255496744941803
3.10;0.003269812409158284
22.36;0.0031641833134149824
2.97;0.0026736444826253947
8.73;0.002083349422180391
3.05;0.001992313818855732
6.35;0.0019249523671767356
8.75;0.0016068000356376261
21.41;0.001577655109324125
2.89;0.0015335730891407923
2.92;0.0013618560584048056
8.67;0.001025416742392237
19.80;0.0008846606821044278
21.16;0.0008844990921794231
18.45;0.0008831710952959938
6.42;0.0008365911488976538
21.85;0.0007726968459714372
21.90;0.0007524727251249897
20.44;0.0007265915819735346
18.27;0.0007114769486290162
6.45;0.0006949101296015158
12.31;0.0006734635986155455
14.66;0.0005676130776017542
16.40;0.0005231554218296161
6.40;0.0004814109189327077
17.99;0.00047446060261757125
8.70;0.0004384198846202576
13.51;0.00043270825573153905
18.93;0.00042623079410844213
7.80;0.00040912546494834034
11.23;0.00039689533057873217
18.86;0.00038181544069802856
22.41;0.0003626526116219291
10.11;0.00035416360431015585
21.18;0.00035359676479087285
14.89;0.00033041775240504116
18.55;0.0003207602726966098
13.15;0.0003162711283537327
18.24;0.00030062095251386653
12.66;0.00028599838089169723
3.30;0.0002735157503034943
17.60;0.0002699110607808896
8.65;0.00026439822844885087
17.65;0.0002529496184761181
18.57;0.0002359734348842553
8.60;0.0002358226374494691
20.57;0.00023277783890108476
18.96;0.00023153784915614547
13.07;0.00023075532926065758
12.72;0.00021278993124853126
19.65;0.0002125280131253009
4.84;0.00019614850489206437
21.13;0.0001955758302182525
12.10;0.00019543542729770816
3.84;0.0001947541003082682
11.28;0.00019120524099404908
13.69;0.00018842905535681315
14.56;0.00018081601553663392
10.75;0.0001785574861827023
8.24;0.00017768427715577208
12.97;0.00017581148440912975
6.50;0.00016781128155075412
13.41;0.00016376754614792725
17.63;0.00016100278101033379
19.21;0.00016002299510359583
19.19;0.00015589148221807712
6.47;0.0001428824350421221
22.44;0.00014201714455896913
16.91;0.00013872013434674323
21.21;0.0001365082810999074
15.71;0.0001301241390577923
14.12;0.00011828816863427567
3.74;0.00011716974502304646
11.72;0.00011319985180646527
18.88;0.00011215921677742685
7.34;0.00011035563566298016
14.79;0.00010229575269887494
13.76;9.957154633413971e-05
20.47;9.888449088729702e-05
12.89;9.789045909045906e-05
16.25;9.755217414119786e-05
6.93;8.780431223080095e-05
13.66;7.982404381379657e-05
3.94;7.831663017342157e-05
4.43;7.782701104708959e-05
12.28;7.149991078770491e-05
11.95;6.974772448508542e-05
15.50;6.9135027417374e-05
6.32;6.903707015854546e-05
18.63;6.834752436694475e-05
22.33;6.154431041730414e-05
19.34;6.0909668256782886e-05
21.26;6.07594444659837e-05
18.29;5.9688234442982255e-05
18.80;5.819572490263282e-05
13.38;5.765333513143708e-05
15.30;5.6426417017079835e-05
12.13;5.446828904741656e-05
14.35;5.083979860405001e-05
5.91;4.9728522739222746e-05
21.46;4.8680755436880085e-05
11.77;4.8292607725269425e-05
17.40;4.7998976842951936e-05
15.43;4.779727874146318e-05
21.23;4.6789356951249444e-05
17.58;4.569947457893385e-05
16.89;4.4994064544801534e-05
11.92;4.456649675415184e-05
6.04;4.3751350352481776e-05
18.65;4.2644668895769394e-05
5.32;4.215924673900156e-05
13.36;3.780249482648869e-05
8.26;3.468715824351522e-05
8.39;3.4378270833012885e-05
7.55;3.0053793931465646e-05
17.24;2.9505928164165493e-05
20.39;2.7567778283130497e-05
11.59;2.7241379472474838e-05
2.71;2.7045481653400726e-05
18.91;2.692010964206422e-05
12.41;2.6684970420381965e-05
20.65;2.5935888625016813e-05
12.23;2.4702198643501562e-05
3.33;2.4457154309872358e-05
20.83;2.433081821681465e-05
14.07;2.2061860053475382e-05
15.79;2.1137983776163056e-05
16.50;2.0473598354744433e-05
4.30;2.0089922631396627e-05
5.37;1.9376092902183402e-05
10.54;1.5521407996620676e-05
9.77;1.5492766412076974e-05
19.93;1.547197369531269e-05
11.10;1.533734857464304e-05
10.23;1.4839480423281972e-05
16.14;1.3685696475673385e-05
4.07;1.0973496946521085e-05
9.67;9.997510298121241e-06
15.81;9.640939686446577e-06
15.94;7.806594595225562e-06
5.17;6.6841156404458215e-06
18.75;3.1891955000691967e-06
16.32;0.0
13.94;0.0
13.92;0.0
14.05;0.0
13.97;0.0
16.04;0.0
16.30;0.0
16.27;0.0
16.07;0.0
16.22;0.0
16.19;0.0
16.17;0.0
13.89;0.0
14.99;0.0
15.02;0.0
14.02;0.0
16.12;0.0
16.09;0.0
13.99;0.0
14.94;0.0
16.86;0.0
16.83;0.0
16.81;0.0
16.78;0.0
16.76;0.0
16.73;0.0
16.71;0.0
16.68;0.0
16.66;0.0
16.63;0.0
16.60;0.0
16.58;0.0
16.02;0.0
13.71;0.0
16.53;0.0
13.74;0.0
16.48;0.0
16.45;0.0
16.43;0.0
13.79;0.0
13.82;0.0
13.84;0.0
14.97;0.0
16.37;0.0
16.35;0.0
13.87;0.0
16.55;0.0
15.53;0.0
14.51;0.0
15.48;0.0
14.53;0.0
14.58;0.0
15.45;0.0
14.86;0.0
14.61;0.0
15.40;0.0
15.38;0.0
15.35;0.0
15.33;0.0
15.27;0.0
14.17;0.0
15.22;0.0
15.20;0.0
15.07;0.0
15.17;0.0
15.15;0.0
14.63;0.0
15.12;0.0
14.69;0.0
14.84;0.0
14.71;0.0
14.74;0.0
15.09;0.0
14.76;0.0
14.81;0.0
15.25;0.0
15.99;0.0
15.96;0.0
14.10;0.0
14.15;0.0
15.91;0.0
15.89;0.0
15.86;0.0
14.20;0.0
15.84;0.0
14.23;0.0
14.25;0.0
14.28;0.0
15.76;0.0
15.56;0.0
15.04;0.0
15.73;0.0
14.33;0.0
14.92;0.0
15.68;0.0
15.66;0.0
14.38;0.0
15.63;0.0
14.40;0.0
14.43;0.0
14.46;0.0
14.48;0.0
15.61;0.0
15.58;0.0
14.30;0.0
20.21;0.0
20.24;0.0
20.26;0.0
20.29;0.0
20.31;0.0
20.34;0.0
20.36;0.0
20.42;0.0
18.16;0.0
20.52;0.0
20.54;0.0
20.60;0.0
20.62;0.0
20.67;0.0
20.70;0.0
20.72;0.0
20.75;0.0
20.77;0.0
20.49;0.0
19.62;0.0
19.67;0.0
19.70;0.0
19.73;0.0
19.75;0.0
19.78;0.0
19.83;0.0
19.85;0.0
19.88;0.0
20.19;0.0
19.96;0.0
19.98;0.0
20.01;0.0
20.03;0.0
20.06;0.0
20.08;0.0
20.11;0.0
20.13;0.0
20.16;0.0
19.90;0.0
21.54;0.0
21.57;0.0
21.59;0.0
21.62;0.0
21.64;0.0
21.67;0.0
21.70;0.0
21.72;0.0
21.75;0.0
20.80;0.0
21.93;0.0
21.80;0.0
22.39;0.0
22.46;0.0
22.49;0.0
22.51;0.0
22.54;0.0
22.56;0.0
22.59;0.0
21.77;0.0
20.85;0.0
20.88;0.0
20.90;0.0
20.93;0.0
20.95;0.0
20.98;0.0
21.00;0.0
21.03;0.0
21.06;0.0
21.52;0.0
21.11;0.0
3.79;0.0
21.29;0.0
21.31;0.0
21.34;0.0
21.36;0.0
21.39;0.0
21.44;0.0
21.49;0.0
21.08;0.0
17.50;0.0
17.53;0.0
17.55;0.0
17.68;0.0
17.70;0.0
17.73;0.0
17.76;0.0
17.78;0.0
19.60;0.0
17.83;0.0
17.86;0.0
17.88;0.0
17.91;0.0
17.93;0.0
17.96;0.0
18.01;0.0
18.04;0.0
18.06;0.0
17.81;0.0
16.94;0.0
16.96;0.0
16.99;0.0
17.01;0.0
17.04;0.0
17.06;0.0
17.09;0.0
17.12;0.0
17.14;0.0
17.47;0.0
17.19;0.0
17.22;0.0
17.27;0.0
17.30;0.0
17.32;0.0
17.35;0.0
17.37;0.0
17.42;0.0
17.45;0.0
17.17;0.0
19.03;0.0
19.06;0.0
19.09;0.0
19.11;0.0
19.14;0.0
19.16;0.0
19.24;0.0
19.26;0.0
19.29;0.0
18.09;0.0
19.37;0.0
19.39;0.0
19.42;0.0
19.44;0.0
19.47;0.0
19.50;0.0
19.52;0.0
19.55;0.0
19.57;0.0
19.32;0.0
18.11;0.0
18.14;0.0
18.19;0.0
18.22;0.0
18.32;0.0
18.34;0.0
18.37;0.0
18.40;0.0
18.42;0.0
19.01;0.0
18.50;0.0
18.52;0.0
18.60;0.0
18.68;0.0
18.70;0.0
18.73;0.0
18.78;0.0
18.83;0.0
18.98;0.0
18.47;0.0
6.24;0.0
6.27;0.0
6.29;0.0
6.37;0.0
6.52;0.0
6.55;0.0
6.58;0.0
6.60;0.0
6.63;0.0
12.64;0.0
6.68;0.0
6.70;0.0
6.73;0.0
6.76;0.0
6.78;0.0
6.81;0.0
6.83;0.0
6.86;0.0
6.88;0.0
6.91;0.0
6.65;0.0
5.63;0.0
5.66;0.0
5.68;0.0
5.71;0.0
5.73;0.0
5.76;0.0
5.78;0.0
5.81;0.0
5.83;0.0
5.86;0.0
6.22;0.0
5.94;0.0
5.96;0.0
5.99;0.0
6.01;0.0
6.06;0.0
6.09;0.0
6.12;0.0
6.14;0.0
6.17;0.0
6.19;0.0
5.89;0.0
7.60;0.0
7.63;0.0
7.65;0.0
7.68;0.0
7.70;0.0
7.73;0.0
7.75;0.0
7.78;0.0
7.83;0.0
7.86;0.0
6.96;0.0
7.91;0.0
7.93;0.0
7.96;0.0
7.98;0.0
8.01;0.0
8.03;0.0
8.06;0.0
8.09;0.0
8.11;0.0
8.14;0.0
7.88;0.0
6.99;0.0
7.01;0.0
7.04;0.0
7.06;0.0
7.09;0.0
7.11;0.0
7.14;0.0
7.16;0.0
7.19;0.0
7.22;0.0
7.57;0.0
7.27;0.0
7.29;0.0
7.32;0.0
7.37;0.0
7.39;0.0
7.42;0.0
7.45;0.0
7.47;0.0
7.50;0.0
7.52;0.0
7.24;0.0
3.66;0.0
3.69;0.0
3.71;0.0
3.76;0.0
3.81;0.0
3.86;0.0
3.89;0.0
3.92;0.0
3.97;0.0
3.99;0.0
5.60;0.0
4.04;0.0
4.09;0.0
4.12;0.0
4.15;0.0
4.17;0.0
4.20;0.0
4.22;0.0
4.25;0.0
4.27;0.0
4.32;0.0
4.02;0.0
2.69;0.0
2.74;0.0
2.76;0.0
2.79;0.0
2.82;0.0
2.84;0.0
2.87;0.0
3.12;0.0
22.62;0.0
3.28;0.0
3.63;0.0
3.38;0.0
3.40;0.0
3.43;0.0
3.46;0.0
3.48;0.0
3.51;0.0
3.53;0.0
3.56;0.0
3.58;0.0
3.61;0.0
3.35;0.0
4.99;0.0
5.02;0.0
5.04;0.0
5.07;0.0
5.09;0.0
5.12;0.0
5.14;0.0
5.19;0.0
5.22;0.0
5.25;0.0
4.35;0.0
5.30;0.0
5.35;0.0
5.40;0.0
5.42;0.0
5.45;0.0
5.48;0.0
5.50;0.0
5.53;0.0
5.55;0.0
5.58;0.0
5.27;0.0
4.38;0.0
4.40;0.0
4.45;0.0
4.48;0.0
4.50;0.0
4.53;0.0
4.56;0.0
4.58;0.0
4.61;0.0
4.63;0.0
4.96;0.0
4.68;0.0
4.71;0.0
4.73;0.0
4.76;0.0
4.79;0.0
4.81;0.0
4.86;0.0
4.89;0.0
4.91;0.0
4.94;0.0
4.66;0.0
11.46;0.0
11.49;0.0
11.51;0.0
11.54;0.0
11.56;0.0
11.62;0.0
11.64;0.0
11.67;0.0
11.69;0.0
11.74;0.0
8.16;0.0
11.82;0.0
11.85;0.0
11.87;0.0
11.90;0.0
11.97;0.0
12.00;0.0
12.03;0.0
12.05;0.0
12.08;0.0
12.15;0.0
11.79;0.0
10.82;0.0
10.85;0.0
10.87;0.0
10.90;0.0
10.93;0.0
10.95;0.0
10.98;0.0
11.00;0.0
11.03;0.0
11.05;0.0
11.44;0.0
11.13;0.0
11.16;0.0
11.18;0.0
11.21;0.0
11.26;0.0
11.31;0.0
11.33;0.0
11.36;0.0
11.39;0.0
11.41;0.0
11.08;0.0
12.95;0.0
13.00;0.0
13.02;0.0
13.05;0.0
13.10;0.0
13.13;0.0
13.18;0.0
13.20;0.0
13.23;0.0
13.25;0.0
12.18;0.0
13.30;0.0
13.33;0.0
13.43;0.0
13.46;0.0
13.48;0.0
13.53;0.0
13.56;0.0
13.59;0.0
13.61;0.0
13.64;0.0
13.28;0.0
12.20;0.0
12.26;0.0
12.33;0.0
12.36;0.0
12.38;0.0
12.43;0.0
12.46;0.0
12.49;0.0
12.51;0.0
12.54;0.0
12.92;0.0
12.59;0.0
12.61;0.0
2.66;0.0
12.69;0.0
12.74;0.0
12.77;0.0
12.79;0.0
12.82;0.0
12.84;0.0
12.87;0.0
12.56;0.0
8.98;0.0
9.01;0.0
9.03;0.0
9.06;0.0
9.08;0.0
