Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -0.88;12.248621906599574;Fe ka;-0.88;>;-0.9914985234559685;13.0;0.017103770620658043;Fe ka > -0.991499
Fe ka > -1.45;9.292243664686845;Fe ka;-1.45;>;-1.5543745741332347;5.0;0.042477290622409125;Fe ka > -1.554375
Fe ka > 1.58;5.984568553368514;Fe ka;1.58;>;1.4515920140113336;14.0;0.25111332559149147;Fe ka > 1.451592
Fe ka > -0.08;5.775084024229132;Fe ka;-0.08;>;-0.08129041035646481;10.0;0.011114489601946123;Fe ka > -0.081290
Fe kb > -0.34;4.545188840372836;Fe kb;-0.34;>;-0.15598691417664745;13.0;0.009647793164168972;Fe kb > -0.155987
Fe kb > -0.56;3.00419948215761;Fe kb;-0.56;>;-0.24300188045949933;5.0;0.015457762388983332;Fe kb > -0.243002
Fe kb > -0.03;2.5409098315470997;Fe kb;-0.03;>;-0.012516620305442497;10.0;0.003213837769753383;Fe kb > -0.012517
Fe ka <= -0.08;2.133360881498569;Fe ka;-0.08;<=;-0.08129041035646481;10.0;0.011114489601946123;Fe ka <= -0.081290
Ti ka > -0.08;1.8155361708631568;Ti ka;-0.08;>;-0.025819890358524663;13.0;0.003216237986019263;Ti ka > -0.025820
Fe kb > 0.62;1.7753104697914508;Fe kb;0.62;>;0.23330833055269384;14.0;0.09554818238783613;Fe kb > 0.233308
Ti ka > 0.04;1.4540963352138485;Ti ka;0.04;>;0.014014316269441222;31.0;0.0007554219525063369;Ti ka > 0.014014
Fe ka <= -0.88;1.2868799878554857;Fe ka;-0.88;<=;-0.9914985234559685;13.0;0.017103770620658043;Fe ka <= -0.991499
Ti ka > -0.32;1.152075159206436;Ti ka;-0.32;>;-0.09842963818100778;21.0;0.031936564174732396;Ti ka > -0.098430
Fe ka <= 1.58;1.130447616527798;Fe ka;1.58;<=;1.4515920140113336;14.0;0.25111332559149147;Fe ka <= 1.451592
Fe kb <= -0.03;1.100003190835717;Fe kb;-0.03;<=;-0.012516620305442497;10.0;0.003213837769753383;Fe kb <= -0.012517
Ca ka > -0.10;0.8610590360315924;Ca ka;-0.10;>;-0.015957888877808506;11.0;0.0019950138580509397;Ca ka > -0.015958
background 3 <= 0.05;0.8150988750486525;background 3;0.05;<=;0.005307998908647305;22.0;0.0009194719190122394;background 3 <= 0.005308
Ti kb > -0.04;0.7685552917767939;Ti kb;-0.04;>;-0.007292621905651023;13.0;0.0019006350484586376;Ti kb > -0.007293
K <= 0.12;0.754493866286334;K;0.12;<=;0.026878222835637126;27.0;0.0023345226311138473;K <= 0.026878
K > -0.13;0.7278803189883554;K;-0.13;>;-0.029632668147739592;3.0;0.005290740340023081;K > -0.029633
Ti ka <= 0.04;0.7172800101141776;Ti ka;0.04;<=;0.014014316269441222;31.0;0.0007554219525063369;Ti ka <= 0.014014
Ca ka > -0.15;0.6853362887739886;Ca ka;-0.15;>;-0.024299125933842505;12.0;0.00460769305994943;Ca ka > -0.024299
Ti kb > -0.16;0.6790927204283367;Ti kb;-0.16;>;-0.032183260690578384;29.0;0.01522052659363013;Ti kb > -0.032183
Fe ka <= -1.45;0.675154432673475;Fe ka;-1.45;<=;-1.5543745741332347;5.0;0.042477290622409125;Fe ka <= -1.554375
background 3 <= 0.11;0.6647288474978168;background 3;0.11;<=;0.01221591401733369;29.0;0.0033851022717376472;background 3 <= 0.012216
Fe kb <= 0.62;0.6368355571813494;Fe kb;0.62;<=;0.23330833055269384;14.0;0.09554818238783613;Fe kb <= 0.233308
Ca ka > 0.12;0.6280995498910946;Ca ka;0.12;>;0.020927824124105317;0.0;0.00019234492631897693;Ca ka > 0.020928
