VIP_Score;Reg_Coefficient;Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;Mn;Ca ka;Ca ka;Ca ka;Ca ka
Fe ka;Si;Fe ka;Si;Mn;Fe ka
Mn;Ca ka;Mn;Fe ka;Si;Ti ka
Si;Ti ka;Si;Mn;Fe ka;Mn
Fe kb;Fe ka;Ti ka;Ti ka;Ti ka;Ca kb
Ca kb;P;Fe kb;Fe kb;K;Si
Ti ka;K;Ti kb;Al;Al;Fe kb
Al;Al;Al;Ti kb;Fe kb;K
K;Ca kb;K;K;Ca kb;Al
sum Fe;sum Fe;P;Ca kb;P;Ti kb
P;Ti kb;background2;P;Ti kb;sum Fe
Ti kb;background2;Cu;sum Fe;S;P
Cr;S;background1;S;Cu;Cr
S;Fe kb;background3;Cu;sum Fe;S
background2;Rh L + Ar;sum Fe;Rh L + Ar;background3;background2
Rh L + Ar;background3;Fe ka + Ti ka;background2;Fe ka + Ti ka;background1
background3;Cu;Rh L + Ar;Cr;background2;background3
Cu;background1;Ca kb;background1;Rh L + Ar;Rh L + Ar
background1;Cr;S;background3;Cr;Cu
Fe ka + Ti ka;Fe ka + Ti ka;;Fe ka + Ti ka;background1;Fe ka + Ti ka
;;Cr;;;
