Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Ca ka > -0.36;9.40253199155899;Ca ka;-0.36;>;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka > -0.641296
Ca ka > -1.02;6.754026350399172;Ca ka;-1.02;>;-1.6352669315110873;143.0;0.000757203099233994;Ca ka > -1.635267
Mn > 0.64;6.200536553298555;Mn;0.64;>;1.2936068069556366;104.0;0.014335926949453848;Mn > 1.293607
Si <= -0.66;5.895058785004004;Si;-0.66;<=;-2.1248918569066433;130.0;0.003022556711247959;Si <= -2.124892
Ca ka > -1.73;5.5133641083740415;Ca ka;-1.73;>;-2.806273061787936;140.0;0.001954092204244473;Ca ka > -2.806273
Si > 0.13;5.069814510706842;Si;0.13;>;0.3010256789296193;126.0;0.0025855372145599798;Si > 0.301026
Mn > -0.15;4.173995077634192;Mn;-0.15;>;-0.3572258050728523;56.0;0.0030961815206880794;Mn > -0.357226
Si <= -0.20;3.8661888983411705;Si;-0.20;<=;-0.15872939255057972;122.0;0.00020185527359870004;Si <= -0.158729
Ca ka <= -1.02;3.3771737068892573;Ca ka;-1.02;<=;-1.6352669315110873;143.0;0.000757203099233994;Ca ka <= -1.635267
Si > -0.66;3.33966145755645;Si;-0.66;>;-2.1248918569066433;130.0;0.003022556711247959;Si > -2.124892
Si > -0.20;3.212071451787784;Si;-0.20;>;-0.15872939255057972;122.0;0.00020185527359870004;Si > -0.158729
Si <= 0.13;3.210951613100667;Si;0.13;<=;0.3010256789296193;126.0;0.0025855372145599798;Si <= 0.301026
Si <= 0.69;3.11367573160497;Si;0.69;<=;2.26936798111927;40.0;0.01178593215068735;Si <= 2.269368
Mn > -0.65;3.094859881295206;Mn;-0.65;>;-1.2971387802801488;34.0;0.0025777000379457737;Mn > -1.297139
Mn > -0.38;2.9883695238951935;Mn;-0.38;>;-0.7410635608597472;81.0;0.009562175901591197;Mn > -0.741064
Ca ka <= 1.21;2.9586871771105097;Ca ka;1.21;<=;2.034067187445811;2.0;0.019671358755505963;Ca ka <= 2.034067
Ca ka <= -0.36;2.712062166554741;Ca ka;-0.36;<=;-0.6412961601123368;49.0;0.0041413887316003595;Ca ka <= -0.641296
Mn <= -0.38;1.9817218481771515;Mn;-0.38;<=;-0.7410635608597472;81.0;0.009562175901591197;Mn <= -0.741064
Mn <= 0.64;1.3294717339462727;Mn;0.64;<=;1.2936068069556366;104.0;0.014335926949453848;Mn <= 1.293607
Fe ka <= -2.66;1.079503459225585;Fe ka;-2.66;<=;-16.127618706674063;78.0;0.036462387774448324;Fe ka <= -16.127619
Mn <= -0.15;0.9598594440028823;Mn;-0.15;<=;-0.3572258050728523;56.0;0.0030961815206880794;Mn <= -0.357226
Ti ka > -0.57;0.8383603714469755;Ti ka;-0.57;>;-3.2656066475860364;42.0;0.007224309386449468;Ti ka > -3.265607
