energy;Permutation_importance;Zone
3.7;0.03309330318007451;Ca ka
3.72;0.030154762469248732;Ca ka
3.68;0.029629699973576763;Ca ka
3.66;0.024033410832947112;Ca ka
1.74;0.02036619164279537;Si
6.42;0.019398374146620632;Fe ka
5.9;0.018688687578594328;Mn
4.46;0.0185591793689217;Ti ka
3.64;0.018406573528165306;Ca ka
3.74;0.01798132209965177;Ca ka
5.92;0.017935811230308688;Mn
6.44;0.01781276314936044;Fe ka
4.48;0.01714979608617328;Ti ka
6.4;0.016835313368837555;Fe ka
5.88;0.015598684946320693;Mn
1.76;0.015476201599205411;Si
1.72;0.014752086686256249;Si
5.86;0.01451928927097292;Mn
5.94;0.014280350156266192;Mn
6.46;0.014207867633134669;Fe ka
1.7;0.013952862931611082;Si
4.44;0.013294267264686046;Ti ka
4.5;0.013291244657791615;Ti ka
4.58;0.013185543258044293;Ti ka
1.78;0.013121885029221295;Si
6.48;0.012480895099755009;Fe ka
3.76;0.012252296255607498;Ca ka
6.52;0.011838816178707658;Fe ka
3.62;0.010635957555229796;Ca ka
4.56;0.010606141376954144;Ti ka
6.36;0.009990671851218215;Fe ka
5.84;0.009795788992940355;Mn
1.8;0.009346387951723396;Si
5.96;0.009185170782865213;Mn
4.6;0.00917099256593856;Ti ka
6.5;0.008730711007615567;Fe ka
1.82;0.006937769496422821;Si
1.68;0.006876347559891481;Si
6.32;0.006690141818602597;Fe ka
6.38;0.006619644901776231;Fe ka
5.98;0.00651797503604213;Mn
4.42;0.005968394938008435;Ti ka
6.28;0.005838012626845373;Fe ka
4.62;0.005631329057314994;Ti ka
4.54;0.0056106901110258975;Ti ka
7.02;0.00512289386013831;Fe kb
4.64;0.00501581259452283;Ti ka
5.82;0.004615671417036166;Mn
3.78;0.004213662043715742;Ca ka
4.4;0.004081249438633389;Ti ka
7.04;0.0036117539664470275;Fe kb
1.66;0.0035767740070846562;Si
6.58;0.0034003095800444034;Fe ka
1.84;0.0033452664498893276;Si
6.3;0.0033269240192388147;Fe ka
7.14;0.003150207410519064;Fe kb
7.08;0.003148919071277166;Fe kb
1.48;0.0030357514244393185;Al
6;0.003033742360844681;Mn
6.24;0.00302638564031606;Fe ka
1.46;0.0028963873723661304;Al
7.12;0.002892132380904182;Fe kb
3.6;0.0028556840694899427;Ca ka
5.02;0.002825814751852694;Ti kb
3.3;0.0028010367586904787;K
3.8;0.0026987656449511373;Ca ka
4;0.002579621117260942;Ca kb
3.28;0.0025337236263340626;K
3.36;0.00239661392182815;K
7.1;0.0023530390952318735;Fe kb
4.02;0.0021256942752716805;Ca kb
4.98;0.0021104758081760926;Ti kb
2.02;0.0020752887540017835;P
1.64;0.002062386041614308;Si
3.32;0.0019669783887905695;K
4.88;0.001955383120131886;Ti kb
4.9;0.001883559835596526;Ti kb
4.52;0.0018503127973711658;Ti ka
1.54;0.001846579422189049;Al
4.92;0.0018429593248230028;Ti kb
12.84;0.0018426203808249574;sum Fe
4.86;0.001813503187083026;Ti kb
7.06;0.0018070288398229085;Fe kb
7;0.0017520518675916562;Fe kb
1.86;0.0016959689589269467;P
4.06;0.0016948226572651155;Ca kb
4.38;0.001690112608888765;Ti ka
3.34;0.0016492396142718676;K
7.18;0.0016121621703781151;Fe kb
5.8;0.0015675728358284606;Mn
3.98;0.0015023983425662025;Ca kb
5;0.0014621601215206537;Ti kb
6.22;0.0014573145539175092;Fe ka
1.44;0.0012963072513011964;Al
6.9;0.0012478768813024932;Fe kb
12.8;0.0012452889559920756;sum Fe
1.5;0.0012373633581967602;Al
4.84;0.0012278577762961918;Ti kb
6.26;0.0012181872643245227;Fe ka
7.2;0.0011793313485941256;Fe kb
6.54;0.0011479249154339164;Fe ka
3.58;0.0011084841820104229;Ca ka
6.02;0.0010877736978609335;Mn
4.04;0.001072468711136943;Ca kb
2.04;0.0010112442993763858;P
6.98;0.0009842804789748573;Fe kb
3.26;0.0009740615938169239;K
6.94;0.0009678306829218348;Fe kb
2.28;0.0009368982890914284;S
4.7;0.0009262265583115398;Ti ka
3.4;0.0008870463849557735;K
6.62;0.0008742510173790187;Fe ka
2.32;0.0008592767448999093;S
8.04;0.0008552224820144637;Cu
5.78;0.0008380686138244105;Mn
6.56;0.0008329391068582885;Fe ka
1.56;0.0008276519195470757;Al
4.82;0.0008246631818498518;Ti kb
2.26;0.0008173883524748897;S
4.96;0.0007995080650951989;Ti kb
3.96;0.0007940940605570407;Ca kb
7.22;0.0007652269636722345;Fe kb
2.68;0.0007541936773707463;Rh L + Ar
2.62;0.0007509550965132865;Rh L + Ar
3.06;0.0007457013353483687;Rh L + Ar
4.08;0.0007431210913856922;Ca kb
9.38;0.0007247077125006843;background2
5.22;0.0007027475043202278;Cr
7.4;0.0006661024118380245;background1
6.96;0.000664161654788304;Fe kb
5.48;0.0006629797654244785;Cr
5.06;0.0006363533418144262;Ti kb
4.66;0.0006242192042027392;Ti ka
1.62;0.0006176718083981029;Al
2.06;0.0006038126822234039;P
7.48;0.0005787842381365642;background1
12.12;0.0005758941778908012;background3
2.8;0.0005748704653755741;Rh L + Ar
3.24;0.0005740528276648293;K
1.52;0.000573123595876513;Al
3.2;0.0005720819140614841;Rh L + Ar
8.12;0.0005682464542773078;Cu
12.16;0.0005651562835155029;background3
3.04;0.0005620752537545224;Rh L + Ar
9.84;0.000555943471045541;background2
10.46;0.0005500293877050665;background2
2.64;0.0005458274609409918;Rh L + Ar
8.34;0.0005359928190160371;background2
9.34;0.0005283832251816667;background2
6.14;0.000515378307550111;Fe ka
11.86;0.0005144355478790857;background3
12.92;0.0005141800560998302;sum Fe
3.38;0.000510801042682939;K
7.98;0.0005094633657094965;Cu
12.9;0.0005093002787808782;sum Fe
1.88;0.000508364221607022;P
11.64;0.0005062559037156459;background3
3.82;0.0005050472616193937;Ca ka
1.9;0.0005047885813137406;P
12.4;0.000502892092559929;background3
4.94;0.0005021911958864062;Ti kb
2.9;0.0004974934544131853;Rh L + Ar
1.38;0.0004968461722520359;Al
9.36;0.0004950057434228189;background2
11.4;0.0004909651100822355;background3
1.96;0.0004894734078658973;P
9.96;0.00048652004701616526;background2
4.34;0.0004856044682844989;Ca kb
10.9;0.00047855728180944325;Fe ka + Ti ka
8.02;0.0004668815445158109;Cu
11.52;0.0004618198654421422;background3
11.32;0.0004614858371192244;background3
11.88;0.00046045373816167094;background3
6.88;0.00045910659484020013;Fe kb
12.04;0.00045848898000620835;background3
8.3;0.0004567294385248081;background2
11.84;0.0004519121223661267;background3
10.96;0.00044843719938751517;Fe ka + Ti ka
11.56;0.00044610518119407464;background3
10.86;0.00044550147620229673;Fe ka + Ti ka
11.62;0.0004428277733390403;background3
10.92;0.0004409402703166278;Fe ka + Ti ka
11.6;0.00043791817698339536;background3
12.64;0.0004342884550757408;sum Fe
8.38;0.0004328206672380089;background2
5.14;0.00043202312887551857;Cr
5.3;0.00043133778676674014;Cr
11.38;0.0004309452299291115;background3
2.1;0.0004267922115933735;P
10.98;0.00042392382951079565;Fe ka + Ti ka
4.36;0.0004229531699626404;Ca kb
5.5;0.0004218638378312619;Cr
3.92;0.00042046140218300403;Ca kb
3.42;0.0004183596880236312;K
12.94;0.00041787487222665645;sum Fe
1.92;0.0004174118683150603;P
11.7;0.00041547150947862947;background3
8.44;0.00041493748240971465;background2
7.8;0.0004148453475955875;background1
11.22;0.00041316225345542853;background3
4.1;0.0004107173352905074;Ca kb
11.06;0.0004097867376482327;Fe ka + Ti ka
1.36;0.0004044525923380017;Al
6.66;0.00040394013561535606;Fe ka
5.52;0.0004019918750926352;Cr
10.1;0.00039919542341316334;background2
12.26;0.0003988049081568963;background3
2.34;0.0003975807635286004;S
8.14;0.00039588176247844513;Cu
2.6;0.000395779451431708;Rh L + Ar
13;0.0003888764279575246;sum Fe
7.84;0.0003881345268483523;background1
6.18;0.000385026927526389;Fe ka
9.98;0.00037565636440794824;background2
12.1;0.0003725120322748565;background3
10.56;0.00037138069774680986;background2
2.92;0.00037096297999948707;Rh L + Ar
2.56;0.00036954373538794494;Rh L + Ar
11.2;0.0003678090806446008;background3
7.54;0.00036635052344697564;background1
9.32;0.0003653503804317603;background2
1.98;0.0003638210299805217;P
9;0.0003625902205888575;background2
11;0.00036145712474510805;Fe ka + Ti ka
5.46;0.00036029037905170407;Cr
2.88;0.0003596940802956073;Rh L + Ar
10.16;0.00035541820310880373;background2
8.58;0.0003545032212327123;background2
1.4;0.00035440609367433525;Al
12.86;0.00035407056419488667;sum Fe
1.42;0.00035306549656627807;Al
8.78;0.00035148055656803037;background2
2.82;0.0003510583102929446;Rh L + Ar
7.88;0.0003503598683478724;background1
2.2;0.00034927510278495434;S
9.6;0.00034641721146449214;background2
6.1;0.0003441435433903364;Mn
10.3;0.0003353554047657509;background2
12.74;0.00033368741136464823;sum Fe
11.16;0.0003316720247893663;background3
12.22;0.00033165981604388686;background3
12.76;0.00033144816455621867;sum Fe
2.96;0.0003293612061166638;Rh L + Ar
7.66;0.000328553976033066;background1
4.32;0.00032651851166284505;Ca kb
9.46;0.00032280194459296076;background2
6.84;0.0003217564205035195;Fe kb
5.36;0.0003194016848351021;Cr
7.74;0.0003191576165597438;background1
6.2;0.00031693740119764834;Fe ka
4.2;0.0003128030597009055;Ca kb
3.84;0.00031231833317591493;Ca kb
8.48;0.0003111402830248925;background2
10.5;0.00031007148928379326;background2
8.9;0.0003068115699661548;background2
11.92;0.0003063358729107676;background3
3.14;0.00030510220619878566;Rh L + Ar
7.32;0.00029743464317961093;background1
2.84;0.00029366236118187015;Rh L + Ar
4.72;0.0002928780429788651;Ti ka
5.66;0.00029274257338138255;Cr
11.66;0.00029071903265051445;background3
10.64;0.00029041236617144845;background2
9.1;0.00029008316022512294;background2
8.08;0.0002896149230819186;Cu
12.54;0.00028916786874033537;background3
4.78;0.0002885867419344179;Ti kb
8.92;0.0002877470616165724;background2
9.12;0.0002850923492722286;background2
2.98;0.0002849443767328425;Rh L + Ar
3.48;0.0002844942421342946;K
10.38;0.0002815669431941667;background2
7.38;0.0002804066411641741;background1
2.3;0.00027835364811677266;S
12.44;0.00027680837432085277;background3
9.26;0.00027672486540401256;background2
10.22;0.00027671065361972014;background2
4.18;0.0002767026227073851;Ca kb
3.56;0.0002748503143166577;Ca ka
10.68;0.000272604006474324;background2
6.6;0.0002723184993479278;Fe ka
12.3;0.00027015223260926807;background3
11.8;0.00027005494501981385;background3
6.06;0.00026951757216169507;Mn
7.34;0.0002675826606346569;background1
10.44;0.00026527447394812523;background2
12.52;0.0002619072707452753;background3
11.46;0.00026130100329052597;background3
11.24;0.00026091109639389055;background3
8.94;0.0002581730781377875;background2
12.78;0.00025317184582963794;sum Fe
13.08;0.0002531651684714526;sum Fe
7.7;0.00025284843789384663;background1
10.76;0.000250548141056722;Fe ka + Ti ka
10.2;0.0002499953565301289;background2
7.16;0.0002486793563272789;Fe kb
7.64;0.00024855242766060726;background1
9.74;0.0002482467830749788;background2
11.72;0.0002464263649626996;background3
11.76;0.0002460821388718086;background3
3.52;0.00024577075076394377;K
2;0.0002454172954957932;P
10.02;0.00024340303552175747;background2
8.24;0.00024166366585445554;background2
11.82;0.00024150992982082195;background3
2.08;0.00024095341209941175;P
3;0.00024006556342609153;Rh L + Ar
12.56;0.00023814942680656714;sum Fe
2.7;0.00023724562950330148;Rh L + Ar
9.94;0.0002367277000607354;background2
10.08;0.0002363344912151536;background2
12.46;0.00023494929115261686;background3
8.62;0.00023453323185393328;background2
3.1;0.00023339347591440444;Rh L + Ar
10.58;0.0002326416022593958;background2
7.6;0.00023175428484911107;background1
6.12;0.00023137079281479724;Mn
1.32;0.0002307446138221272;
8.32;0.0002277851521781706;background2
6.86;0.00022574214048212007;Fe kb
6.78;0.00022396555580624075;Fe ka
9.4;0.00022154393408052494;background2
5.34;0.00022090033463542297;Cr
9.42;0.000220463803210834;background2
5.38;0.00022002958812069332;Cr
8.74;0.00021809363836730838;background2
8.54;0.00021722183066364372;background2
7.76;0.00021461642455622779;background1
3.54;0.00021367553184185178;Ca ka
12.18;0.00021282021323993142;background3
6.34;0.00021178958767303457;Fe ka
11.12;0.00021112398490238758;Fe ka + Ti ka
2.42;0.00021077129260425688;S
11.42;0.00021031588632642573;background3
5.72;0.00021001469969293061;Cr
1.6;0.00020726927648043696;Al
7.9;0.00020634888983026857;background1
9.54;0.00020556441204620714;background2
6.82;0.00020504220626818377;Fe kb
8.5;0.000203089066822692;background2
2.14;0.00020154386857215655;P
9.2;0.00020048380549824284;background2
4.14;0.00019979203347113096;Ca kb
7.68;0.00019921597270438425;background1
10.88;0.0001977293359633263;Fe ka + Ti ka
8.66;0.00019768138279154792;background2
2.22;0.00019600711933560303;S
9.9;0.00019394705183921232;background2
11.68;0.00019271222356994822;background3
9.68;0.00019235078481818547;background2
5.54;0.00019079870922951659;Cr
4.8;0.00019047689952653512;Ti kb
8.36;0.0001903738523131038;background2
8.06;0.00018959977971173817;Cu
5.2;0.00018927438549568089;Cr
8;0.0001890347765215555;Cu
6.76;0.0001878494501074868;Fe ka
9.58;0.00018770001967836466;background2
11.58;0.00018518014460725785;background3
11.94;0.000184453720419461;background3
7.24;0.00018382466431417894;Fe kb
9.52;0.00018254200832527165;background2
12.82;0.0001805307616053016;sum Fe
12;0.00017585025019993986;background3
12.96;0.00017556399219332931;sum Fe
11.02;0.0001749553231789847;Fe ka + Ti ka
4.22;0.00017425972425567145;Ca kb
11.34;0.0001732392269852754;background3
11.1;0.0001713064045676755;Fe ka + Ti ka
10.74;0.000167059417526105;Fe ka + Ti ka
9.3;0.00016678663315101028;background2
10.72;0.00016536179246624653;Fe ka + Ti ka
7.96;0.0001653277605878971;Cu
11.3;0.0001649500042415351;background3
12.28;0.0001647933347184989;background3
4.12;0.00016465836557262445;Ca kb
10.52;0.00016390123999260304;background2
12.62;0.0001614027934898347;sum Fe
2.52;0.00016135092455276436;S
12.6;0.00016007588053352782;sum Fe
5.56;0.00015990793381565107;Cr
12.2;0.00015835442218177262;background3
7.28;0.00015683733545752084;Fe kb
10.42;0.00015646370827366495;background2
7.5;0.00015592499603716512;background1
8.46;0.00015554366144506467;background2
12.58;0.0001533247198097857;sum Fe
12.48;0.000152970438692502;background3
10.48;0.00015183276953822374;background2
10.78;0.00015101735948827195;Fe ka + Ti ka
8.28;0.0001501635178182962;background2
11.78;0.0001498721111976126;background3
3.22;0.0001488930747628585;K
9.04;0.00014762200149696523;background2
12.14;0.0001470589043061286;background3
9.16;0.00014691594371697673;background2
3.5;0.00014607839305444758;K
9.28;0.0001460690635964764;background2
9.44;0.00014539142379135255;background2
8.6;0.00014404845600784645;background2
8.96;0.00014342622674052354;background2
2.44;0.00014176525736651733;S
8.7;0.00014163629473942365;background2
5.1;0.0001411546300737422;Ti kb
8.52;0.00014053149820411587;background2
9.86;0.00013961368994367114;background2
2.54;0.00013848515658694945;S
9.14;0.00013732665910406888;background2
10.62;0.00013668153679030994;background2
11.28;0.0001357440918153306;background3
2.78;0.00013565107853886135;Rh L + Ar
10.66;0.00013539021452273718;background2
9.8;0.00013443900925573355;background2
2.36;0.0001342848301808642;S
10.84;0.0001336973488982462;Fe ka + Ti ka
6.92;0.00013234724359618397;Fe kb
9.88;0.00013222927749783958;background2
9.76;0.00013145136272742165;background2
2.58;0.0001310197925144761;Rh L + Ar
5.68;0.00013097447856468426;Cr
3.18;0.00013036365350877903;Rh L + Ar
3.12;0.00012722141001054985;Rh L + Ar
9.08;0.00012588929168520806;background2
7.3;0.00012541738859298565;background1
13.1;0.00012485214384379463;sum Fe
7.62;0.00012447814397371503;background1
8.68;0.00012180211312132593;background2
11.08;0.00012134512606507995;Fe ka + Ti ka
2.38;0.00012071209075556748;S
12.98;0.00011998938635025122;sum Fe
9.56;0.00011937572009248418;background2
7.46;0.00011869699878637348;background1
8.22;0.00011828173071025286;background2
12.08;0.00011764698600737718;background3
9.64;0.00011755565407256538;background2
7.86;0.00011715829379310128;background1
9.78;0.00011628635882322994;background2
3.16;0.00011550817625899544;Rh L + Ar
7.82;0.00011355885289025254;background1
8.84;0.00011343797505455205;background2
12.02;0.00011195116282652334;background3
11.44;0.00011089862659577076;background3
5.16;0.00011043625359975162;Cr
5.58;0.00010874155969353184;Cr
10.54;0.00010762224263608468;background2
5.4;0.00010756014984545277;Cr
13.02;0.00010653098239399663;sum Fe
5.32;0.00010554958591969753;Cr
12.7;0.00010508929967812625;sum Fe
2.18;0.00010443085847282484;P
10.36;0.0001038957086554688;background2
2.46;0.00010286710474910158;S
4.16;0.0001020537191921596;Ca kb
10.7;0.00010201271098859604;Fe ka + Ti ka
12.88;0.00010107337279515205;sum Fe
12.34;0.00010068056337519252;background3
13.06;0.00010066403301771174;sum Fe
6.64;9.855654932741341e-05;Fe ka
3.08;9.671087443002344e-05;Rh L + Ar
9.5;9.654310751569056e-05;background2
10.12;9.641402919559646e-05;background2
10.32;9.57658198585008e-05;background2
11.48;9.494696448408344e-05;background3
7.78;9.421873262556839e-05;background1
5.6;9.395760161993708e-05;Cr
9.18;9.258178041103808e-05;background2
7.44;9.204983964334571e-05;background1
10.18;9.153123520739545e-05;background2
10.82;9.110012481970698e-05;Fe ka + Ti ka
10.4;9.086927487936543e-05;background2
11.54;9.045749515189228e-05;background3
7.56;9.003204005626674e-05;background1
12.5;8.981671294995567e-05;background3
2.74;8.967816172275612e-05;Rh L + Ar
7.58;8.830629735000781e-05;background1
1.58;8.824854435984894e-05;Al
9.82;8.797917671389415e-05;background2
2.5;8.788979376228634e-05;S
10.24;8.647167865524267e-05;background2
10.34;8.485260761492024e-05;background2
9.66;8.475565435302151e-05;background2
8.4;8.242179500241343e-05;background2
10;8.140470756913286e-05;background2
10.6;8.134200767739546e-05;background2
11.5;8.111857504266948e-05;background3
7.42;7.994572048822212e-05;background1
12.32;7.979542789506221e-05;background3
10.14;7.946979814989732e-05;background2
5.12;7.895068993606204e-05;Cr
7.92;7.694226366307695e-05;Cu
7.72;7.564200802414136e-05;background1
5.62;7.506007180232792e-05;Cr
5.44;7.366157622699872e-05;Cr
6.74;7.336934025926431e-05;Fe ka
5.7;7.215649426838236e-05;Cr
8.18;7.138692226764256e-05;Cu
9.02;7.122903950784099e-05;background2
7.94;7.112533784942344e-05;Cu
9.7;7.076930431501341e-05;background2
5.76;7.0067586658754e-05;Cr
12.68;6.892748381968706e-05;sum Fe
10.94;6.886132380624608e-05;Fe ka + Ti ka
7.26;6.739815349739427e-05;Fe kb
5.74;6.609631560570785e-05;Cr
2.72;6.602098301135411e-05;Rh L + Ar
4.74;6.559462735631658e-05;Ti ka
8.86;6.286137093126709e-05;background2
10.28;6.251765372788278e-05;background2
9.22;6.237676467276056e-05;background2
3.9;6.148750654760135e-05;Ca kb
2.16;6.03587290223235e-05;P
11.14;6.024841162220326e-05;background3
8.8;6.018859229915333e-05;background2
3.44;5.7533107551950784e-05;K
5.08;5.602759744151519e-05;Ti kb
8.16;5.5197443294295186e-05;Cu
8.56;5.471083476821833e-05;background2
2.24;5.449261632979685e-05;S
6.04;5.424595443884559e-05;Mn
