energy;Mean_Abs_SHAP;Zone
3.7;0.0266565496916244;Ca ka
3.72;0.0236254315217977;Ca ka
3.68;0.0233976234017367;Ca ka
3.66;0.0177929123384196;Ca ka
5.9;0.0131128548631273;Mn
6.42;0.0123195348224849;Fe ka
3.64;0.012222760048507;Ca ka
3.74;0.0111276472598455;Ca ka
5.92;0.0110914689328376;Mn
1.74;0.0106989747984855;Si
6.44;0.0106105265509619;Fe ka
6.4;0.0095788661684896;Fe ka
5.88;0.008984833911391;Mn
5.94;0.0084537232578768;Mn
6.46;0.0067739692264837;Fe ka
5.86;0.0064211986200163;Mn
1.7;0.0061452801743934;Si
4.46;0.006074387531003;Ti ka
1.76;0.0060216885208088;Si
1.72;0.0054730985255077;Si
1.78;0.0051300448448597;Si
6.52;0.0044338268733213;Fe ka
6.48;0.0042830367265146;Fe ka
4.48;0.0042137326681353;Ti ka
3.76;0.0037319485739948;Ca ka
4.58;0.0034157660476323;Ti ka
4.44;0.0028874902094828;Ti ka
3.62;0.0027354624289506;Ca ka
6.36;0.0024454860530508;Fe ka
6.5;0.0023409590874045;Fe ka
5.96;0.0018002745767151;Mn
5.84;0.0014336276709781;Mn
4.5;0.0013911030997759;Ti ka
1.8;0.0011992142242621;Si
4.56;0.0010976002227797;Ti ka
6.32;0.0009691200250522;Fe ka
4.6;0.0008276810938404;Ti ka
1.82;0.0006982418634117;Si
1.68;0.0006815747714914;Si
6.28;0.0005528334374046;Fe ka
7.02;0.0005178747293418;Fe kb
5.98;0.0004224659730661;Mn
6.38;0.0003806653095565;Fe ka
3.78;0.0003594676703363;Ca ka
3.6;0.0002894518713198;Ca ka
3.3;5.354313279893715e-05;K
12.96;2.6608539783658123e-05;sum Fe
2.02;2.558451189687681e-05;P
4.62;2.2171982352156243e-05;Ti ka
4.4;1.5556928997158228e-05;Ti ka
3.32;1.3068156388729358e-05;K
4.64;1.10934174763179e-05;Ti ka
9.26;0.0;background2
9.24;0.0;background2
9.22;0.0;background2
9.28;0.0;background2
9.2;0.0;background2
9.18;0.0;background2
9.3;0.0;background2
9.32;0.0;background2
9.34;0.0;background2
9.36;0.0;background2
9.8;0.0;background2
9.82;0.0;background2
9.84;0.0;background2
9.86;0.0;background2
9.88;0.0;background2
9.9;0.0;background2
9.92;0.0;background2
9.94;0.0;background2
9.96;0.0;background2
9.58;0.0;background2
10.0;0.0;background2
10.02;0.0;background2
9.32;0.0;background2
9.86;0.0;background2
9.3;0.0;background2
9.28;0.0;background2
10.04;0.0;background2
10.06;0.0;background2
10.08;0.0;background2
10.1;0.0;background2
10.12;0.0;background2
10.14;0.0;background2
10.16;0.0;background2
9.98;0.0;background2
9.38;0.0;background2
9.4;0.0;background2
9.42;0.0;background2
9.44;0.0;background2
9.46;0.0;background2
9.48;0.0;background2
9.5;0.0;background2
9.52;0.0;background2
9.54;0.0;background2
9.78;0.0;background2
9.6;0.0;background2
9.62;0.0;background2
9.64;0.0;background2
9.66;0.0;background2
9.68;0.0;background2
9.7;0.0;background2
9.72;0.0;background2
9.74;0.0;background2
9.76;0.0;background2
9.56;0.0;background2
8.1;0.0;Cu
8.12;0.0;Cu
8.14;0.0;Cu
8.16;0.0;Cu
8.18;0.0;Cu
8.2;0.0;background2
8.22;0.0;background2
8.24;0.0;background2
9.02;0.0;background2
8.28;0.0;background2
8.3;0.0;background2
8.32;0.0;background2
8.34;0.0;background2
8.36;0.0;background2
8.38;0.0;background2
8.4;0.0;background2
8.42;0.0;background2
8.26;0.0;background2
7.7;0.0;background1
7.74;0.0;background1
7.76;0.0;background1
7.78;0.0;background1
7.8;0.0;background1
7.82;0.0;background1
7.84;0.0;background1
7.86;0.0;background1
8.08;0.0;Cu
7.9;0.0;background1
7.92;0.0;Cu
7.94;0.0;Cu
7.96;0.0;Cu
7.98;0.0;Cu
8.0;0.0;Cu
8.02;0.0;Cu
8.04;0.0;Cu
8.06;0.0;Cu
7.88;0.0;background1
8.84;0.0;background2
8.86;0.0;background2
8.88;0.0;background2
8.9;0.0;background2
8.92;0.0;background2
8.94;0.0;background2
8.96;0.0;background2
8.98;0.0;background2
8.44;0.0;background2
10.18;0.0;background2
9.04;0.0;background2
9.06;0.0;background2
9.08;0.0;background2
9.1;0.0;background2
9.12;0.0;background2
9.14;0.0;background2
9.16;0.0;background2
9.0;0.0;background2
8.46;0.0;background2
8.48;0.0;background2
8.5;0.0;background2
8.52;0.0;background2
8.54;0.0;background2
8.56;0.0;background2
8.58;0.0;background2
8.6;0.0;background2
8.82;0.0;background2
8.64;0.0;background2
8.66;0.0;background2
8.68;0.0;background2
8.7;0.0;background2
8.72;0.0;background2
8.74;0.0;background2
8.76;0.0;background2
8.78;0.0;background2
8.8;0.0;background2
8.62;0.0;background2
12.0;0.0;background3
12.02;0.0;background3
12.04;0.0;background3
12.06;0.0;background3
12.08;0.0;background3
12.1;0.0;background3
12.12;0.0;background3
12.14;0.0;background3
7.72;0.0;background1
12.18;0.0;background3
12.2;0.0;background3
12.22;0.0;background3
12.24;0.0;background3
12.26;0.0;background3
12.28;0.0;background3
12.3;0.0;background3
12.32;0.0;background3
12.16;0.0;background3
11.64;0.0;background3
11.66;0.0;background3
11.68;0.0;background3
11.7;0.0;background3
11.72;0.0;background3
11.74;0.0;background3
11.76;0.0;background3
11.78;0.0;background3
12.62;0.0;sum Fe
11.82;0.0;background3
11.84;0.0;background3
11.86;0.0;background3
12.0;0.0;background3
11.88;0.0;background3
11.9;0.0;background3
11.92;0.0;background3
11.94;0.0;background3
11.96;0.0;background3
11.8;0.0;background3
12.74;0.0;sum Fe
12.76;0.0;sum Fe
12.78;0.0;sum Fe
12.8;0.0;sum Fe
12.82;0.0;sum Fe
12.84;0.0;sum Fe
12.86;0.0;sum Fe
12.88;0.0;sum Fe
12.34;0.0;background3
12.92;0.0;sum Fe
12.94;0.0;sum Fe
12.98;0.0;sum Fe
13.0;0.0;sum Fe
13.02;0.0;sum Fe
13.04;0.0;sum Fe
13.06;0.0;sum Fe
13.08;0.0;sum Fe
12.9;0.0;sum Fe
12.36;0.0;background3
12.38;0.0;background3
12.4;0.0;background3
12.42;0.0;background3
12.44;0.0;background3
12.58;0.0;sum Fe
12.46;0.0;background3
12.48;0.0;background3
12.5;0.0;background3
12.72;0.0;sum Fe
12.54;0.0;background3
12.56;0.0;sum Fe
12.6;0.0;sum Fe
12.74;0.0;sum Fe
12.62;0.0;sum Fe
12.64;0.0;sum Fe
12.66;0.0;sum Fe
12.68;0.0;sum Fe
12.7;0.0;sum Fe
12.52;0.0;background3
10.56;0.0;background2
10.58;0.0;background2
10.6;0.0;background2
10.62;0.0;background2
10.64;0.0;background2
10.66;0.0;background2
10.68;0.0;background2
10.7;0.0;Fe ka + Ti ka
11.62;0.0;background3
10.74;0.0;Fe ka + Ti ka
10.76;0.0;Fe ka + Ti ka
10.78;0.0;Fe ka + Ti ka
10.8;0.0;Fe ka + Ti ka
10.82;0.0;Fe ka + Ti ka
