Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -36.27;9.813756475002648;Pb-212;-36.27;<=;-39.31279160486993;1.0;3.4686539838211488;Pb-212 <= -39.312792
Pb-212 <= -145.59;8.654516559507918;Pb-212;-145.59;<=;-139.63764702107983;52.0;1.7889909908920174;Pb-212 <= -139.637647
Pb-212 > 47.36;7.578111112635952;Pb-212;47.36;>;49.44228424761153;47.0;1.8947423578557405;Pb-212 > 49.442284
Pb-212 > 132.38;7.146691774315803;Pb-212;132.38;>;134.4972157216444;19.0;0.005998081503634012;Pb-212 > 134.497216
Pb-212 <= 47.36;5.713142239880122;Pb-212;47.36;<=;49.44228424761153;47.0;1.8947423578557405;Pb-212 <= 49.442284
Pb-212 <= 132.38;4.097141611181134;Pb-212;132.38;<=;134.4972157216444;19.0;0.005998081503634012;Pb-212 <= 134.497216
Pb-212 > -36.27;3.154619946872933;Pb-212;-36.27;>;-39.31279160486993;1.0;3.4686539838211488;Pb-212 > -39.312792
Pb-212 > -145.59;1.4890106416434237;Pb-212;-145.59;>;-139.63764702107983;52.0;1.7889909908920174;Pb-212 > -139.637647
Pb-214 > 15.76;0.7692270639985871;Pb-214;15.76;>;16.888351027544964;23.0;0.9006858816422731;Pb-214 > 16.888351
Pb-214 > 75.33;0.7558978695695497;Pb-214;75.33;>;77.71036060213996;19.0;0.8691621201424482;Pb-214 > 77.710361
Pb-214 <= -80.74;0.6802994020127127;Pb-214;-80.74;<=;-78.3798675910515;45.0;2.4124962969791426;Pb-214 <= -78.379868
Pb-214 <= -17.81;0.5719110536278313;Pb-214;-17.81;<=;-12.14823304865967;0.0;1.5820387635226005;Pb-214 <= -12.148233
Pb-214 <= 15.76;0.41905220526539255;Pb-214;15.76;<=;16.888351027544964;23.0;0.9006858816422731;Pb-214 <= 16.888351
Pb-214 > -17.81;0.3807619409980977;Pb-214;-17.81;>;-12.14823304865967;0.0;1.5820387635226005;Pb-214 > -12.148233
Pb-214 <= 75.33;0.3388126922395814;Pb-214;75.33;<=;77.71036060213996;19.0;0.8691621201424482;Pb-214 <= 77.710361
Pb-214 > -80.74;0.3120795863347884;Pb-214;-80.74;>;-78.3798675910515;45.0;2.4124962969791426;Pb-214 > -78.379868
Tl-208 > 36.67;0.23828103075016757;Tl-208;36.67;>;39.52521703121957;10.0;0.006701492199972847;Tl-208 > 39.525217
Tl-208 > 13.32;0.18642486094234628;Tl-208;13.32;>;12.779676632624184;41.0;0.9020762183992339;Tl-208 > 12.779677
Tl-208 <= -12.79;0.18482021299822343;Tl-208;-12.79;<=;-15.98841691298058;15.0;0.161929219203504;Tl-208 <= -15.988417
Tl-208 <= -40.40;0.1395379719055383;Tl-208;-40.40;<=;-40.983454853838815;39.0;0.8512060582920853;Tl-208 <= -40.983455
Tl-208 <= 13.32;0.1385101271214086;Tl-208;13.32;<=;12.779676632624184;41.0;0.9020762183992339;Tl-208 <= 12.779677
Tl-208 > -12.79;0.12286127300578709;Tl-208;-12.79;>;-15.98841691298058;15.0;0.161929219203504;Tl-208 > -15.988417
Ac-228 + Tl-208 <= -24.91;0.1032036146047242;Ac-228 + Tl-208;-24.91;<=;-24.451894271408168;13.0;0.3476198144029716;Ac-228 + Tl-208 <= -24.451894
Tl-208 > -40.40;0.10015301968458344;Tl-208;-40.40;>;-40.983454853838815;39.0;0.8512060582920853;Tl-208 > -40.983455
Tl-208 <= 36.67;0.09783131762571844;Tl-208;36.67;<=;39.52521703121957;10.0;0.006701492199972847;Tl-208 <= 39.525217
Ac-228 + Tl-208 <= -7.97;0.05508162584751384;Ac-228 + Tl-208;-7.97;<=;-8.123050710348997;1.0;0.37805545229565407;Ac-228 + Tl-208 <= -8.123051
Ac-228 + Tl-208 > 8.65;0.04707784610032341;Ac-228 + Tl-208;8.65;>;5.72281802267332;3.0;0.1698172554638191;Ac-228 + Tl-208 > 5.722818
Ac-228 + Tl-208 <= 8.65;0.0449618126527325;Ac-228 + Tl-208;8.65;<=;5.72281802267332;3.0;0.1698172554638191;Ac-228 + Tl-208 <= 5.722818
Ac-228 + Tl-208 > 26.56;0.04479195216080327;Ac-228 + Tl-208;26.56;>;24.401271587471225;30.0;1.1899362264248516;Ac-228 + Tl-208 > 24.401272
Ac-228 <= -22.48;0.043179696246729744;Ac-228;-22.48;<=;-24.907756053920572;4.0;0.17284401674913497;Ac-228 <= -24.907756
Ac-228 > 23.26;0.03830318141580627;Ac-228;23.26;>;25.824476559272874;12.0;0.5254579684502687;Ac-228 > 25.824477
