energy;Permutation_importance;Zone
104;0.009014625254553372;Pb-212
105;0.008395457785063572;Pb-212
103;0.00809802397850502;Pb-212
106;0.007100935367763232;Pb-212
107;0.006499761361670453;Pb-212
102;0.006419091015365239;Pb-212
101;0.006141110183119579;Pb-212
100;0.005211519625447928;Pb-212
99;0.00461617365418152;Pb-212
108;0.004396563782666913;Pb-212
98;0.0035377001636958992;Pb-212
109;0.0029411446508787226;Pb-212
97;0.002559251029687473;Pb-212
96;0.0016730639509113011;Pb-212
110;0.0013887179640065192;Pb-212
149;0.0013582398499303078;Pb-214
148;0.001324277587335563;Pb-214
147;0.0012223047098424912;Pb-214
150;0.0012122089485204636;Pb-214
151;0.0011449670965750802;Pb-214
146;0.0011339462125597968;Pb-214
125;0.001063875811754215;Pb-214
127;0.0010422928057706917;Pb-214
152;0.0010227888586396324;Pb-214
95;0.001007183005653478;Pb-212
126;0.0010060752530522564;Pb-214
128;0.0009849250143745248;Pb-214
124;0.0009737412551015472;Pb-214
129;0.000964974670719151;Pb-214
130;0.0008941655865473885;Pb-214
123;0.000881962492828604;Pb-214
145;0.0008764398131469306;Pb-214
153;0.0008684697286968012;Pb-214
144;0.0008415181905602079;Pb-214
111;0.0008230055808295446;Pb-212
121;0.0007950500137774207;Pb-214
133;0.000787993816431945;Pb-214
134;0.0007786780659903367;Pb-214
132;0.000766843809423058;Pb-214
122;0.0007452627925246884;Pb-214
143;0.0007344892150271275;Pb-214
135;0.0007301658336552007;Pb-214
142;0.0007291461113623299;Pb-214
137;0.0007085130492134799;Pb-214
131;0.0007074609353125135;Pb-214
154;0.0006992717492128436;Pb-214
138;0.0006793989762122839;Pb-214
136;0.0006688930924357401;Pb-214
139;0.0006508559414818688;Pb-214
141;0.0006357625762911872;Pb-214
120;0.0006348909780455801;Pb-214
140;0.0006011861678642024;Pb-214
155;0.000579260754389001;Pb-214
119;0.0005649136984072411;Pb-214
118;0.0004855499910486938;Pb-214
112;0.00048202940088282436;Pb-212
156;0.00045397686662027297;Pb-214
117;0.00045150887325413815;Pb-214
157;0.00044822779456657426;Pb-214
116;0.0004410860048574171;Pb-214
115;0.0004122916588597351;Pb-214
158;0.0003739343703882113;Pb-214
251;0.0003369554410751985;Tl-208
113;0.00032815235839837165;Pb-212
244;0.0003272646309126214;Tl-208
238;0.00032409956594783016;Tl-208
249;0.0003050750740998402;Tl-208
114;0.00030141069663233537;Pb-212
237;0.0002970523611764158;Tl-208
243;0.00029578619065372477;Tl-208
240;0.00029210907611807124;Tl-208
248;0.00029042448378541706;Tl-208
252;0.0002863730284769507;Tl-208
239;0.00028616232148194205;Tl-208
245;0.00027345819596602024;Tl-208
247;0.00027165739772625375;Tl-208
241;0.00026781821300315896;Tl-208
188;0.0002638825648297441;Pb-214
242;0.00024484926924001033;Tl-208
235;0.00024178648676074398;Tl-208
160;0.00024177140821483853;Pb-214
246;0.0002404965680566033;Tl-208
189;0.0002334833130056392;Pb-214
159;0.00022941835791588926;Pb-214
250;0.00021996866010974697;Tl-208
187;0.00021945177236155065;Pb-214
236;0.00020863063221508927;Tl-208
211;0.00020110632283264936;Ac-228 + Tl-208
190;0.00019934813829837039;Ac-228 + Tl-208
234;0.0001966242728795252;Tl-208
255;0.00019301401726367937;Tl-208
209;0.0001863023076629293;Ac-228 + Tl-208
253;0.00018444069191281607;Tl-208
212;0.00018295527218548745;Ac-228 + Tl-208
254;0.00017737387113265948;Tl-208
256;0.00017205445888164556;Tl-208
233;0.0001673995317798748;Tl-208
175;0.00016657004082097393;Pb-214
375;0.00016516928472997924;Ac-228
191;0.00016119606574246977;Ac-228 + Tl-208
161;0.00016023421022981886;Pb-214
210;0.0001583990302085145;Ac-228 + Tl-208
174;0.00015677445674956912;Pb-214
162;0.0001552440747326076;Pb-214
186;0.00015379957869116601;Pb-214
374;0.0001525305226181701;Ac-228
376;0.0001494854722059734;Ac-228
377;0.0001452203042329024;Ac-228
176;0.00014379862283968347;Pb-214
208;0.0001412654238293712;Ac-228 + Tl-208
379;0.00013715169696337388;Ac-228
192;0.00013253300560766307;Ac-228 + Tl-208
378;0.0001310869942699173;Ac-228
380;0.00012921944499148314;Ac-228
381;0.00012645626852058668;Ac-228
213;0.00012640242232040403;Ac-228 + Tl-208
257;0.00011807874592015746;Tl-208
177;0.0001172641270927529;Pb-214
232;0.00011712557272830181;Tl-208
185;0.00011489459029025349;Pb-214
372;0.00011257530199700629;Ac-228
373;0.00011080466175130805;Ac-228
207;0.00010946499148236009;Ac-228 + Tl-208
164;0.0001083934472243573;Pb-214
163;0.00010619216416906086;Pb-214
371;0.0001049386227479339;Ac-228
206;0.00010459830082145363;Ac-228 + Tl-208
204;0.00010421268731760464;Ac-228 + Tl-208
214;0.0001024652800929208;Ac-228 + Tl-208
193;0.00010237572970425535;Ac-228 + Tl-208
370;0.00010003925029904911;Ac-228
387;9.848265087005865e-05;Ac-228
369;9.69471287386616e-05;Ac-228
201;9.624188361263367e-05;Ac-228 + Tl-208
388;9.61044963087399e-05;Ac-228
166;9.245783537211035e-05;Pb-214
202;9.04371722981633e-05;Ac-228 + Tl-208
200;9.040470372031681e-05;Ac-228 + Tl-208
368;8.825372493159068e-05;Ac-228
205;8.807687826607353e-05;Ac-228 + Tl-208
198;8.804545048694988e-05;Ac-228 + Tl-208
172;8.773707362430907e-05;Pb-214
165;8.734855652982397e-05;Pb-214
215;8.713313440402901e-05;Ac-228 + Tl-208
203;8.596424992643731e-05;Ac-228 + Tl-208
367;8.530260090723138e-05;Ac-228
230;8.354699615547643e-05;Ac-228 + Tl-208
382;8.281067750900242e-05;Ac-228
258;8.210479523420425e-05;Tl-208
385;8.197444580649678e-05;Ac-228
386;8.089126833850717e-05;Ac-228
197;8.026434033513825e-05;Ac-228 + Tl-208
383;7.899182400018426e-05;Ac-228
171;7.809952263235368e-05;Pb-214
216;7.78477479222416e-05;Ac-228 + Tl-208
178;7.59341851535515e-05;Pb-214
231;7.545441871319472e-05;Ac-228 + Tl-208
389;7.455083452018054e-05;Ac-228
384;7.409226216995265e-05;Ac-228
194;7.395809959632535e-05;Ac-228 + Tl-208
363;7.192455818585211e-05;Ac-228
296;7.147445498462734e-05;background 1
365;7.0677836789731e-05;Ac-228
297;7.005176483567774e-05;background 1
364;6.982940011972557e-05;Ac-228
184;6.98195573167406e-05;Pb-214
366;6.97120964236687e-05;Ac-228
362;6.932786431824494e-05;Ac-228
316;6.926728167553667e-05;background 1
173;6.90110677066096e-05;Pb-214
295;6.811358344779442e-05;background 1
259;6.795052804493464e-05;Tl-208
292;6.722650422701613e-05;background 1
199;6.720763003524729e-05;Ac-228 + Tl-208
167;6.548523130861389e-05;Pb-214
298;6.236628589373652e-05;background 1
390;6.22429570077776e-05;Ac-228
265;6.193906973528675e-05;Tl-208
289;6.144095198089882e-05;background 1
401;6.075194010800931e-05;Ac-228
315;6.055609237547887e-05;background 1
287;5.9909455082752195e-05;background 1
288;5.7297004132558584e-05;background 1
290;5.708505447831953e-05;background 1
317;5.6524326119710504e-05;background 1
285;5.613304968387679e-05;background 1
291;5.584229599402413e-05;background 1
168;5.492462076447284e-05;Pb-214
263;5.378443540363275e-05;Tl-208
169;5.375817846099554e-05;Pb-214
180;5.30071646675204e-05;Pb-214
268;5.27666161651114e-05;Tl-208
361;5.27290669266253e-05;Ac-228
183;5.2574999973559186e-05;Pb-214
299;5.223504589037828e-05;background 1
286;5.190180379878905e-05;background 1
223;5.1859665201075754e-05;Ac-228 + Tl-208
294;5.1849803019892726e-05;background 1
284;5.182864828845572e-05;background 1
399;5.063850574363679e-05;Ac-228
341;4.991522801389788e-05;background 1
179;4.928286931697905e-05;Pb-214
303;4.882920435125241e-05;background 1
400;4.879268373202376e-05;Ac-228
293;4.8604609640565675e-05;background 1
417;4.8169769363389436e-05;Ac-228
328;4.805596414027558e-05;background 1
170;4.7398571644923586e-05;Pb-214
196;4.735553398961781e-05;Ac-228 + Tl-208
301;4.6225373675039085e-05;background 1
403;4.6027653410450446e-05;Ac-228
340;4.592080131305763e-05;background 1
404;4.292756620267048e-05;Ac-228
338;4.2899543947848614e-05;background 1
314;4.249546125370217e-05;background 1
329;4.2402259290806164e-05;background 1
339;4.223183444718291e-05;background 1
391;4.212392094148759e-05;Ac-228
300;4.198181551406646e-05;background 1
217;4.100604074172429e-05;Ac-228 + Tl-208
416;4.069309175829978e-05;Ac-228
302;3.989403898824664e-05;background 1
264;3.9377779723009275e-05;Tl-208
415;3.9377610981888705e-05;Ac-228
262;3.919538444855158e-05;Tl-208
229;3.887946706292141e-05;Ac-228 + Tl-208
402;3.831534690257886e-05;Ac-228
418;3.7613357334445596e-05;Ac-228
267;3.731917088545483e-05;Tl-208
304;3.708835008802607e-05;background 1
327;3.70348725880747e-05;background 1
220;3.670871404195097e-05;Ac-228 + Tl-208
266;3.648716402639802e-05;Tl-208
283;3.550531947246552e-05;background 1
419;3.4321456870726085e-05;Ac-228
282;3.227381379229193e-05;background 1
360;3.2231678994168355e-05;Ac-228
452;3.221677331501279e-05;Bi-214
221;3.158807531637149e-05;Ac-228 + Tl-208
