energy;VIP_Score;Zone
103;5.871653226526899;Pb-212
104;5.716491769719646;Pb-212
102;5.555450158461287;Pb-212
101;5.469057593980198;Pb-212
100;5.23435792474715;Pb-212
105;5.2327749306642435;Pb-212
99;4.851351150762136;Pb-212
106;4.329096662743646;Pb-212
98;4.3200372720251465;Pb-212
107;3.8946668692494497;Pb-212
97;3.6404162885361897;Pb-212
108;2.8474070122272708;Pb-212
96;2.81248820029526;Pb-212
148;2.4262446789045335;Pb-214
146;2.321544213769957;Pb-214
147;2.315186716870589;Pb-214
125;2.292990293026538;Pb-214
149;2.2668773606612276;Pb-214
124;2.2057085139180423;Pb-214
109;2.1465137369985325;Pb-212
126;2.133602486440197;Pb-214
150;2.0724882752784395;Pb-214
127;2.0670056665711396;Pb-214
137;2.034282188297745;Pb-214
144;1.9821620002838343;Pb-214
138;1.9677852940315599;Pb-214
123;1.9670890498129756;Pb-214
128;1.959741642444854;Pb-214
129;1.9513072745620226;Pb-214
145;1.9330341886869107;Pb-214
136;1.9101576956319344;Pb-214
135;1.9019440267425014;Pb-214
121;1.8816357654592208;Pb-214
134;1.8654726194721212;Pb-214
143;1.857193891107433;Pb-214
95;1.8362530073023566;Pb-212
139;1.8254229410628706;Pb-214
130;1.8229722476801686;Pb-214
142;1.815941511017555;Pb-214
133;1.7910553631220574;Pb-214
151;1.7870216756564221;Pb-214
122;1.7672881663119715;Pb-214
141;1.705002525151061;Pb-214
132;1.6899949936000718;Pb-214
152;1.6424149505138403;Pb-214
140;1.624863988869565;Pb-214
131;1.5863771756448268;Pb-214
120;1.5421489535902377;Pb-214
188;1.4743476348174749;Pb-214
119;1.3780405608796578;Pb-214
153;1.3490761543863057;Pb-214
189;1.3105990461661643;Pb-214
238;1.3006794531355856;Tl-208
237;1.2922389746943048;Tl-208
187;1.2497407595700385;Pb-214
118;1.2226350411790574;Pb-214
235;1.2160399513894051;Tl-208
190;1.211558755378527;Ac-228 + Tl-208
154;1.1996507147396893;Pb-214
117;1.1940290009665173;Pb-214
110;1.1936062940996803;Pb-212
116;1.1812974727155063;Pb-214
239;1.1604770028563467;Tl-208
240;1.145327131237954;Tl-208
234;1.1047508664682384;Tl-208
211;1.0925811501499323;Ac-228 + Tl-208
244;1.0741193558521265;Tl-208
236;1.0617318160973415;Tl-208
209;1.0424077141689811;Ac-228 + Tl-208
243;1.0140223729498368;Tl-208
251;1.0088801582926104;Tl-208
155;1.0069319684811904;Pb-214
241;0.9942680158177384;Tl-208
212;0.9715392544993862;Ac-228 + Tl-208
157;0.9657428506434915;Pb-214
210;0.9610431123069036;Ac-228 + Tl-208
115;0.959355160396495;Pb-214
191;0.9581513803820219;Ac-228 + Tl-208
233;0.9537187093941202;Tl-208
249;0.950164521044433;Tl-208
248;0.9358467637089601;Tl-208
158;0.9282933945766421;Pb-214
374;0.923549803997067;Ac-228
245;0.9177436951365774;Tl-208
375;0.914207479017621;Ac-228
186;0.9035603700869854;Pb-214
242;0.8820037576570179;Tl-208
376;0.8793891575300308;Ac-228
247;0.8778794901484883;Tl-208
156;0.8707128834215384;Pb-214
246;0.8391895907164721;Tl-208
175;0.8292962371427625;Pb-214
252;0.8223071960554493;Tl-208
174;0.8060358572393399;Pb-214
111;0.790535167677044;Pb-212
176;0.7835015554575145;Pb-214
208;0.7818139629917191;Ac-228 + Tl-208
371;0.7815954206660104;Ac-228
377;0.7732128128076885;Ac-228
192;0.7694616488091699;Ac-228 + Tl-208
160;0.764456741994741;Pb-214
379;0.7583379163195046;Ac-228
369;0.7521166489290909;Ac-228
372;0.7516321175885382;Ac-228
370;0.7313673491036329;Ac-228
380;0.7183820529546796;Ac-228
373;0.7183565323870393;Ac-228
378;0.7122632272794417;Ac-228
381;0.7020291202110426;Ac-228
185;0.696139620199953;Pb-214
367;0.6736833178995085;Ac-228
250;0.673087718173028;Tl-208
213;0.6729558019994512;Ac-228 + Tl-208
232;0.6611541569665492;Tl-208
368;0.6565615331251283;Ac-228
162;0.6558775100234442;Pb-214
177;0.6463892505304493;Pb-214
363;0.6289597811659262;Ac-228
207;0.6190024464508092;Ac-228 + Tl-208
388;0.6170697127578206;Ac-228
365;0.6074851221080992;Ac-228
387;0.6069074946123523;Ac-228
255;0.5991826703988443;Tl-208
254;0.5978214536431544;Tl-208
253;0.5922863660221126;Tl-208
362;0.5907407541791045;Ac-228
193;0.5867642184071983;Ac-228 + Tl-208
112;0.5850654831583496;Pb-212
159;0.5839465320729349;Pb-214
287;0.575592679783784;background 1
364;0.5755207908608538;Ac-228
204;0.5725111611023643;Ac-228 + Tl-208
289;0.5674911576141204;background 1
297;0.5648549908102557;background 1
161;0.5636357546773528;Pb-214
366;0.5624459930028517;Ac-228
