Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -36.27;9.813756475002648;Pb-212;-36.27;<=;-39.31279160486989;1.0;3.46865398382095;Pb-212 <= -39.312792
Pb-212 <= -145.59;8.654516559507917;Pb-212;-145.59;<=;-139.63764702107989;52.0;1.788990990892131;Pb-212 <= -139.637647
Pb-212 > 47.36;7.578111112635954;Pb-212;47.36;>;49.442284247611504;47.0;1.8947423578556126;Pb-212 > 49.442284
Pb-212 > 132.38;7.146691774315804;Pb-212;132.38;>;134.49721572164444;19.0;0.005998081503491903;Pb-212 > 134.497216
Pb-212 <= 47.36;5.713142239880121;Pb-212;47.36;<=;49.442284247611504;47.0;1.8947423578556126;Pb-212 <= 49.442284
Pb-212 <= 132.38;4.097141611181135;Pb-212;132.38;<=;134.49721572164444;19.0;0.005998081503491903;Pb-212 <= 134.497216
Pb-212 > -36.27;3.154619946872935;Pb-212;-36.27;>;-39.31279160486989;1.0;3.46865398382095;Pb-212 > -39.312792
Pb-212 > -145.59;1.4890106416434248;Pb-212;-145.59;>;-139.63764702107989;52.0;1.788990990892131;Pb-212 > -139.637647
Pb-214 > 15.76;0.7692270639985872;Pb-214;15.76;>;16.888351027544978;23.0;0.900685881642282;Pb-214 > 16.888351
Pb-214 > 75.33;0.7558978695695502;Pb-214;75.33;>;77.71036060213997;19.0;0.8691621201424056;Pb-214 > 77.710361
Pb-214 <= -80.74;0.6802994020127126;Pb-214;-80.74;<=;-78.37986759105145;45.0;2.4124962969790147;Pb-214 <= -78.379868
Pb-214 <= -17.81;0.5719110536278313;Pb-214;-17.81;<=;-12.148233048659588;0.0;1.5820387635225899;Pb-214 <= -12.148233
Pb-214 <= 15.76;0.41905220526539244;Pb-214;15.76;<=;16.888351027544978;23.0;0.900685881642282;Pb-214 <= 16.888351
Pb-214 > -17.81;0.3807619409980978;Pb-214;-17.81;>;-12.148233048659588;0.0;1.5820387635225899;Pb-214 > -12.148233
Pb-214 <= 75.33;0.3388126922395814;Pb-214;75.33;<=;77.71036060213997;19.0;0.8691621201424056;Pb-214 <= 77.710361
Pb-214 > -80.74;0.3120795863347886;Pb-214;-80.74;>;-78.37986759105145;45.0;2.4124962969790147;Pb-214 > -78.379868
Tl-208 > 36.67;0.23828103075016782;Tl-208;36.67;>;39.52521703121956;10.0;0.006701492200008374;Tl-208 > 39.525217
Tl-208 > 13.32;0.18642486094234645;Tl-208;13.32;>;12.779676632624188;41.0;0.902076218399241;Tl-208 > 12.779677
Tl-208 <= -12.79;0.18482021299822357;Tl-208;-12.79;<=;-15.98841691298058;15.0;0.16192921920350223;Tl-208 <= -15.988417
Tl-208 <= -40.40;0.13953797190553832;Tl-208;-40.40;<=;-40.98345485383881;39.0;0.8512060582920782;Tl-208 <= -40.983455
Tl-208 <= 13.32;0.1385101271214087;Tl-208;13.32;<=;12.779676632624188;41.0;0.902076218399241;Tl-208 <= 12.779677
Tl-208 > -12.79;0.12286127300578721;Tl-208;-12.79;>;-15.98841691298058;15.0;0.16192921920350223;Tl-208 > -15.988417
Ac-228 + Tl-208 <= -24.91;0.1032036146047243;Ac-228 + Tl-208;-24.91;<=;-24.451894271408175;13.0;0.3476198144029716;Ac-228 + Tl-208 <= -24.451894
Tl-208 > -40.40;0.10015301968458351;Tl-208;-40.40;>;-40.98345485383881;39.0;0.8512060582920782;Tl-208 > -40.983455
Tl-208 <= 36.67;0.0978313176257185;Tl-208;36.67;<=;39.52521703121956;10.0;0.006701492200008374;Tl-208 <= 39.525217
Ac-228 + Tl-208 <= -7.97;0.055081625847513915;Ac-228 + Tl-208;-7.97;<=;-8.123050710348998;1.0;0.3780554522957038;Ac-228 + Tl-208 <= -8.123051
Ac-228 + Tl-208 > 8.65;0.047077846100323506;Ac-228 + Tl-208;8.65;>;5.722818022673326;3.0;0.16981725546382087;Ac-228 + Tl-208 > 5.722818
Ac-228 + Tl-208 <= 8.65;0.04496181265273254;Ac-228 + Tl-208;8.65;<=;5.722818022673326;3.0;0.16981725546382087;Ac-228 + Tl-208 <= 5.722818
Ac-228 + Tl-208 > 26.56;0.04479195216080334;Ac-228 + Tl-208;26.56;>;24.401271587471236;30.0;1.1899362264248552;Ac-228 + Tl-208 > 24.401272
Ac-228 <= -22.48;0.04317969624672976;Ac-228;-22.48;<=;-24.907756053920572;4.0;0.17284401674911365;Ac-228 <= -24.907756
Ac-228 > 23.26;0.03830318141580634;Ac-228;23.26;>;25.82447655927288;12.0;0.5254579684502616;Ac-228 > 25.824477
Ac-228 + Tl-208 <= 26.56;0.03418551914564366;Ac-228 + Tl-208;26.56;<=;24.401271587471236;30.0;1.1899362264248552;Ac-228 + Tl-208 <= 24.401272
Ac-228 <= -8.82;0.033372196072004055;Ac-228;-8.82;<=;-11.303233112620036;0.0;0.26307801046464796;Ac-228 <= -11.303233
Ac-228 + Tl-208 > -24.91;0.032292242651947065;Ac-228 + Tl-208;-24.91;>;-24.451894271408175;13.0;0.3476198144029716;Ac-228 + Tl-208 > -24.451894
Ac-228 > 9.13;0.03177368198998467;Ac-228;9.13;>;5.713763993331599;44.0;0.9216305630107993;Ac-228 > 5.713764
Ac-228 + Tl-208 > -7.97;0.029556145451725684;Ac-228 + Tl-208;-7.97;>;-8.123050710348998;1.0;0.3780554522957038;Ac-228 + Tl-208 > -8.123051
Ac-228 <= 9.13;0.02360077116081072;Ac-228;9.13;<=;5.713763993331599;44.0;0.9216305630107993;Ac-228 <= 5.713764
Ac-228 > -8.82;0.022754778040519476;Ac-228;-8.82;>;-11.303233112620036;0.0;0.26307801046464796;Ac-228 > -11.303233
Ac-228 <= 23.26;0.020176427710879213;Ac-228;23.26;<=;25.82447655927288;12.0;0.5254579684502616;Ac-228 <= 25.824477
Ac-228 > -22.48;0.01916113560438894;Ac-228;-22.48;>;-24.907756053920572;4.0;0.17284401674911365;Ac-228 > -24.907756
background 1 <= -19.36;0.0152385850187783;background 1;-19.36;<=;-22.163884657005713;18.0;0.34307027743465923;background 1 <= -22.163885
background 1 > 17.18;0.014513449754645857;background 1;17.18;>;17.97505795129861;9.0;0.1085803171256714;background 1 > 17.975058
background 1 > 7.74;0.012025954074323254;background 1;7.74;>;5.8661258997671855;16.0;0.7478443268292034;background 1 > 5.866126
background 1 <= -5.46;0.01200512266645113;background 1;-5.46;<=;-0.6095813550438365;13.0;0.2565166930369136;background 1 <= -0.609581
background 1 > -5.46;0.007707146460143419;background 1;-5.46;>;-0.6095813550438365;13.0;0.2565166930369136;background 1 > -0.609581
background 1 <= 7.74;0.007139672308374345;background 1;7.74;<=;5.8661258997671855;16.0;0.7478443268292034;background 1 <= 5.866126
background 1 > -19.36;0.004289200279385881;background 1;-19.36;>;-22.163884657005713;18.0;0.34307027743465923;background 1 > -22.163885
background 1 <= 17.18;0.003975860781708947;background 1;17.18;<=;17.97505795129861;9.0;0.1085803171256714;background 1 <= 17.975058
background 2 > 1.22;0.0013887021325340622;background 2;1.22;>;-0.8070473424518124;0.0;0.23753203178922533;background 2 > -0.807047
