model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;1.0;0.85952;0.14048;1.0;0.861111;0.138889;0.380823;Fe ka
pls;SMX;2;zero;1.0;0.851699;0.148301;1.0;0.851852;0.148148;0.40107;"Fe ka; Ca ka"
pls;SMX;3;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.377304;"Fe ka; Ca ka; Ti ka"
pls;SMX;4;zero;1.0;0.893071;0.106929;1.0;0.893519;0.106481;0.42431;"Fe ka; Ca ka; Ti ka; Fe kb"
pls;SMX;5;zero;1.0;0.698848;0.301152;1.0;0.699074;0.300926;0.436733;"Fe ka; Ca ka; Ti ka; Fe kb; Mn"
pls;SMX;6;zero;1.0;0.805522;0.194478;1.0;0.805556;0.194444;0.43514;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al"
pls;SMX;7;zero;1.0;0.953656;0.046344;1.0;0.953704;0.046296;0.430857;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb"
pls;SMX;8;zero;1.0;0.935152;0.064848;1.0;0.935185;0.064815;0.431864;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si"
pls;SMX;9;zero;1.0;0.823893;0.176107;1.0;0.824074;0.175926;0.436386;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar"
pls;SMX;10;zero;1.0;0.740474;0.259526;1.0;0.740741;0.259259;0.44;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe"
pls;SMX;11;zero;1.0;0.726834;0.273166;1.0;0.726852;0.273148;0.441492;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb"
pls;SMX;12;zero;1.0;0.671275;0.328725;1.0;0.671296;0.328704;0.442966;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu"
pls;SMX;13;zero;1.0;0.656524;0.343476;1.0;0.657407;0.342593;0.443954;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K"
pls;SMX;14;zero;1.0;0.614127;0.385873;1.0;0.615741;0.384259;0.446509;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1"
pls;SMX;15;zero;1.0;0.604939;0.395061;1.0;0.611111;0.388889;0.446263;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka"
pls;SMX;16;zero;1.0;0.562581;0.437419;1.0;0.574074;0.425926;0.446758;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P"
pls;SMX;17;zero;1.0;0.519633;0.480367;1.0;0.555556;0.444444;0.447166;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P; Zn"
pls;SMX;18;zero;1.0;0.444936;0.555064;1.0;0.541667;0.458333;0.447411;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P; Zn; Ni"
pls;SMX;19;zero;1.0;0.33849;0.66151;1.0;0.50463;0.49537;0.448806;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P; Zn; Ni; background2"
pls;SMX;20;zero;1.0;0.33849;0.66151;1.0;0.50463;0.49537;0.448524;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P; Zn; Ni; background2; Cr"
pls;SMX;21;zero;1.0;0.33849;0.66151;1.0;0.50463;0.49537;0.448634;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ti kb; Si; Rh L + Ar; sum Fe; Ca kb; Cu; K; background1; Fe ka + Ti ka; P; Zn; Ni; background2; Cr; S"
pls;SHAP;1;zero;1.0;0.85952;0.14048;1.0;0.861111;0.138889;0.380823;Fe ka
pls;SHAP;2;zero;1.0;0.851699;0.148301;1.0;0.851852;0.148148;0.40107;"Fe ka; Ca ka"
pls;SHAP;3;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.377304;"Fe ka; Ca ka; Ti ka"
pls;SHAP;4;zero;1.0;0.893071;0.106929;1.0;0.893519;0.106481;0.42431;"Fe ka; Ca ka; Ti ka; Fe kb"
pls;SHAP;5;zero;1.0;0.698848;0.301152;1.0;0.699074;0.300926;0.436733;"Fe ka; Ca ka; Ti ka; Fe kb; Mn"
pls;SHAP;6;zero;1.0;0.805522;0.194478;1.0;0.805556;0.194444;0.43514;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al"
pls;SHAP;7;zero;1.0;0.805455;0.194545;1.0;0.805556;0.194444;0.436631;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb"
pls;SHAP;8;zero;1.0;0.759011;0.240989;1.0;0.759259;0.240741;0.437638;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si"
pls;SHAP;9;zero;1.0;0.773134;0.226866;1.0;0.773148;0.226852;0.439059;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2"
pls;SHAP;10;zero;1.0;0.773134;0.226866;1.0;0.773148;0.226852;0.439169;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S"
pls;SHAP;11;zero;1.0;0.763813;0.236187;1.0;0.763889;0.236111;0.439665;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P"
pls;SHAP;12;zero;1.0;0.675926;0.324074;1.0;0.675926;0.324074;0.444187;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar"
pls;SHAP;13;zero;1.0;0.595985;0.404015;1.0;0.597222;0.402778;0.445175;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K"
pls;SHAP;14;zero;1.0;0.824074;0.175926;1.0;0.824074;0.175926;0.440892;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb"
pls;SHAP;15;zero;1.0;0.856435;0.143565;1.0;0.856481;0.143519;0.440621;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka"
pls;SHAP;16;zero;1.0;0.907169;0.092831;1.0;0.907407;0.092593;0.440338;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr"
pls;SHAP;17;zero;1.0;0.925568;0.074432;1.0;0.925926;0.074074;0.440583;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr; Ni"
pls;SHAP;18;zero;1.0;0.850154;0.149846;1.0;0.851852;0.148148;0.442057;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr; Ni; Cu"
pls;SHAP;19;zero;1.0;0.803437;0.196563;1.0;0.810185;0.189815;0.442463;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr; Ni; Cu; Zn"
pls;SHAP;20;zero;1.0;0.368664;0.631336;1.0;0.518519;0.481481;0.44502;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr; Ni; Cu; Zn; background1"
pls;SHAP;21;zero;1.0;0.33849;0.66151;1.0;0.50463;0.49537;0.448634;"Fe ka; Ca ka; Ti ka; Fe kb; Mn; Al; Ca kb; Si; background2; S; P; Rh L + Ar; K; Ti kb; Fe ka + Ti ka; Cr; Ni; Cu; Zn; background1; sum Fe"
pls;Permutation;1;zero;1.0;0.85952;0.14048;1.0;0.861111;0.138889;0.380823;Fe ka
pls;Permutation;2;zero;1.0;0.851699;0.148301;1.0;0.851852;0.148148;0.40107;"Fe ka; Ca ka"
pls;Permutation;3;zero;1.0;1.0;0.0;1.0;1.0;0.0;0.377304;"Fe ka; Ca ka; Ti ka"
pls;Permutation;4;zero;1.0;0.893071;0.106929;1.0;0.893519;0.106481;0.42431;"Fe ka; Ca ka; Ti ka; Fe kb"
