Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Fe ka;Fe ka;Fe ka
Ca ka;Ca ka;Ca ka;Fe kb
Ti ka;Ti ka;Ti ka;Mn
Fe kb;Fe kb;Fe kb;sum Fe
Mn;Mn;Mn;Ca ka
Al;Al;Al;Cr
Ca kb;Ti kb;Ti kb;Si
Si;Ca kb;Si;Ti kb
background2;sum Fe;Rh L + Ar;Rh L + Ar
S;Rh L + Ar;sum Fe;Ti ka
;K;Ca kb;Cu
P;Cu;Cu;Al
Rh L + Ar;Cr;K;Ca kb
K;Si;background1;background1
Ti kb;P;Fe ka + Ti ka;background2
Fe ka + Ti ka;background1;P;K
Cr;Fe ka + Ti ka;Zn;Fe ka + Ti ka
Ni;Zn;Ni;P
Cu;Ni;background2;Zn
Zn;background2;Cr;Ni
background1;S;S;S
sum Fe;;;
