Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 4.25;8.429654487368891;Fe ka;4.25;>;87.0453868816328;38.0;0.001078999799444702;Fe ka > 87.045387
Fe ka > -5.77;7.076917784603401;Fe ka;-5.77;>;-103.04657895105754;408.0;0.0047633967181361925;Fe ka > -103.046579
Fe ka <= -5.77;6.879466963364954;Fe ka;-5.77;<=;-103.04657895105754;408.0;0.0047633967181361925;Fe ka <= -103.046579
Fe ka > -9.83;5.93592149114864;Fe ka;-9.83;>;-178.95297536586668;247.0;0.0017309071849567204;Fe ka > -178.952975
Fe ka <= 11.65;4.5802846587044;Fe ka;11.65;<=;188.78650221401608;94.0;0.0011584427647175488;Fe ka <= 188.786502
Fe ka <= 4.25;3.1829809883631364;Fe ka;4.25;<=;87.0453868816328;38.0;0.001078999799444702;Fe ka <= 87.045387
Ca ka > -0.35;1.6250560204368625;Ca ka;-0.35;>;-0.6037273653374369;107.0;0.004659354829044171;Ca ka > -0.603727
Ti ka <= -0.55;1.346114472807086;Ti ka;-0.55;<=;-1.7345456752534005;359.0;0.004612427712980316;Ti ka <= -1.734546
Ti ka > 0.61;1.3322509437278105;Ti ka;0.61;>;4.748205218535233;452.0;0.0002793503980763612;Ti ka > 4.748205
Fe kb > 1.44;1.2690255367599679;Fe kb;1.44;>;8.701135138862298;202.0;0.0021945242928163022;Fe kb > 8.701135
Ca ka > -1.23;1.2033154228132297;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
Ca ka > -1.89;1.1540285570682591;Ca ka;-1.89;>;-3.1813250127012918;275.0;0.0007309831903119512;Ca ka > -3.181325
Fe kb <= -2.08;1.0955177259063946;Fe kb;-2.08;<=;-13.041087943859736;405.0;0.00017172530202191894;Fe kb <= -13.041088
Fe kb > -2.08;1.0211730997214756;Fe kb;-2.08;>;-13.041087943859736;405.0;0.00017172530202191894;Fe kb > -13.041088
Ti ka > -0.55;0.9938658356848202;Ti ka;-0.55;>;-1.7345456752534005;359.0;0.004612427712980316;Ti ka > -1.734546
Ti ka <= 0.61;0.97115803459931;Ti ka;0.61;<=;4.748205218535233;452.0;0.0002793503980763612;Ti ka <= 4.748205
Fe kb > -3.67;0.9341219507769141;Fe kb;-3.67;>;-25.194168020836003;311.0;0.0018423701153169603;Fe kb > -25.194168
Ti ka <= 1.87;0.9304477877632924;Ti ka;1.87;<=;12.579804118748328;397.0;0.0015466032120510231;Ti ka <= 12.579804
Ti ka > -1.99;0.9278606417604492;Ti ka;-1.99;>;-11.457269112520393;270.0;0.0030973185980507356;Ti ka > -11.457269
Fe kb <= 4.31;0.8915538113180834;Fe kb;4.31;<=;30.9065519169572;219.0;0.002148977370048044;Fe kb <= 30.906552
Fe kb <= 1.44;0.8080887333010255;Fe kb;1.44;<=;8.701135138862298;202.0;0.0021945242928163022;Fe kb <= 8.701135
Ca ka <= -1.23;0.6767415699599426;Ca ka;-1.23;<=;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka <= -2.171794
Ca ka <= 1.70;0.5584668466001198;Ca ka;1.70;<=;2.8954399392892505;57.0;0.0006906184210269117;Ca ka <= 2.895440
Ca ka <= -0.35;0.4769123773178407;Ca ka;-0.35;<=;-0.6037273653374369;107.0;0.004659354829044171;Ca ka <= -0.603727
Mn > 0.30;0.42024048568800254;Mn;0.30;>;0.46506037875553474;12.0;0.0002528425071676166;Mn > 0.465060
Mn > -0.74;0.3523557133819142;Mn;-0.74;>;-1.3413183023672737;453.0;0.00027521617845438495;Mn > -1.341318
Mn > -1.21;0.2951358310752349;Mn;-1.21;>;-2.2057814319545788;388.0;0.0007100217233659833;Mn > -2.205781
Mn <= -0.74;0.2431213208753243;Mn;-0.74;<=;-1.3413183023672737;453.0;0.00027521617845438495;Mn <= -1.341318
Mn <= 1.02;0.20626606156531702;Mn;1.02;<=;1.6999069683857755;245.0;0.0029224419069935337;Mn <= 1.699907
Mn <= 0.30;0.1689049785969728;Mn;0.30;<=;0.46506037875553474;12.0;0.0002528425071676166;Mn <= 0.465060
Ti kb > 0.24;0.15253029601751739;Ti kb;0.24;>;0.7544269993281993;467.0;0.0044343303579015;Ti kb > 0.754427
Ti kb <= -0.36;0.15003386266110585;Ti kb;-0.36;<=;-0.8394490761626763;388.0;0.001717635639484516;Ti kb <= -0.839449
background1 > 0.08;0.14657118485028306;background1;0.08;>;0.06329291827842112;442.0;0.0013527718482898438;background1 > 0.063293
Al > 0.14;0.14446797730226282;Al;0.14;>;0.38109714639239023;450.0;0.0013570322274719937;Al > 0.381097
background1 <= -0.15;0.1399789381260547;background1;-0.15;<=;-0.13851797382387676;459.0;0.00025489138175904813;background1 <= -0.138518
Rh L + Ar > 0.33;0.13815225704419465;Rh L + Ar;0.33;>;0.8422626400728674;173.0;0.0036000002031936207;Rh L + Ar > 0.842263
Al <= -0.20;0.12433192600916831;Al;-0.20;<=;-0.38650004135221927;229.0;0.0033277177364893495;Al <= -0.386500
sum Fe > 0.39;0.10413119078788491;sum Fe;0.39;>;0.506287936145668;5.0;0.00031148800657410103;sum Fe > 0.506288
Ti kb > -0.36;0.08315553952765002;Ti kb;-0.36;>;-0.8394490761626763;388.0;0.001717635639484516;Ti kb > -0.839449
Ti kb > -1.01;0.0817105434869873;Ti kb;-1.01;>;-2.8694954177935585;6.0;0.000706780576590571;Ti kb > -2.869495
Rh L + Ar > -0.44;0.08159121304718163;Rh L + Ar;-0.44;>;-1.2339020432937176;479.0;0.0016081363879096866;Rh L + Ar > -1.233902
Ti kb <= 0.24;0.08033597519478354;Ti kb;0.24;<=;0.7544269993281993;467.0;0.0044343303579015;Ti kb <= 0.754427
Rh L + Ar > -0.69;0.07905988481464951;Rh L + Ar;-0.69;>;-1.7593511638405133;415.0;0.001907875240119039;Rh L + Ar > -1.759351
background1 > -0.15;0.07891242230074567;background1;-0.15;>;-0.13851797382387676;459.0;0.00025489138175904813;background1 > -0.138518
Al > -0.20;0.07846696199496804;Al;-0.20;>;-0.38650004135221927;229.0;0.0033277177364893495;Al > -0.386500
background1 <= 0.08;0.07842017397604935;background1;0.08;<=;0.06329291827842112;442.0;0.0013527718482898438;background1 <= 0.063293
Ca kb > 0.02;0.07811907064633672;Ca kb;0.02;>;0.01979243394150476;192.0;0.0006765864628402833;Ca kb > 0.019792
Ti kb <= 1.01;0.07781202216775202;Ti kb;1.01;<=;3.422818262839492;63.0;0.0002676352753401279;Ti kb <= 3.422818
background1 <= 0.48;0.07766085031181302;background1;0.48;<=;0.4077628140349009;249.0;0.0010984183925362712;background1 <= 0.407763
Al > -0.53;0.07698600449053676;Al;-0.53;>;-1.0353427961836132;325.0;0.0008346540740421515;Al > -1.035343
background1 > -0.46;0.07678446264666941;background1;-0.46;>;-0.3806298597030194;241.0;0.0006701709970649561;background1 > -0.380630
sum Fe > -0.60;0.07594168435454002;sum Fe;-0.60;>;-0.7248397859917555;262.0;0.0010048313568463696;sum Fe > -0.724840
Al <= 0.14;0.0720077150159914;Al;0.14;<=;0.38109714639239023;450.0;0.0013570322274719937;Al <= 0.381097
Al <= 0.58;0.06671867916286;Al;0.58;<=;0.9909340518495515;55.0;0.0009122477838876542;Al <= 0.990934
sum Fe <= -0.60;0.06522558215191257;sum Fe;-0.60;<=;-0.7248397859917555;262.0;0.0010048313568463696;sum Fe <= -0.724840
sum Fe > -1.11;0.06301494654715994;sum Fe;-1.11;>;-1.4021191802413089;321.0;0.0025293816844513817;sum Fe > -1.402119
Rh L + Ar <= 0.76;0.0567580113225508;Rh L + Ar;0.76;<=;2.0492315557751333;213.0;0.0009307681984351834;Rh L + Ar <= 2.049232
background2 > 0.08;0.05638322571424084;background2;0.08;>;0.05924219002219031;209.0;0.0014461773872970901;background2 > 0.059242
background2 <= -0.12;0.048624736627593944;background2;-0.12;<=;-0.07212742153952101;193.0;0.000631192780498363;background2 <= -0.072127
sum Fe <= 1.27;0.047362827915297445;sum Fe;1.27;<=;1.6038338333385171;114.0;0.002695510981332472;sum Fe <= 1.603834
Rh L + Ar <= 0.33;0.045025156610515225;Rh L + Ar;0.33;<=;0.8422626400728674;173.0;0.0036000002031936207;Rh L + Ar <= 0.842263
Ca kb > -0.25;0.04239622070860085;Ca kb;-0.25;>;-0.2780096980463953;491.0;0.001081065047198626;Ca kb > -0.278010
Rh L + Ar <= -0.44;0.04210449428076936;Rh L + Ar;-0.44;<=;-1.2339020432937176;479.0;0.0016081363879096866;Rh L + Ar <= -1.233902
sum Fe <= 0.39;0.03970451287113219;sum Fe;0.39;<=;0.506287936145668;5.0;0.00031148800657410103;sum Fe <= 0.506288
Zn > 0.10;0.033707242105384796;Zn;0.10;>;0.08459725278901509;428.0;0.0016778968260588445;Zn > 0.084597
Ca kb > -0.51;0.03365176530504495;Ca kb;-0.51;>;-0.5241164152657989;384.0;0.002163251679282774;Ca kb > -0.524116
background2 <= 0.08;0.03348135560706301;background2;0.08;<=;0.05924219002219031;209.0;0.0014461773872970901;background2 <= 0.059242
background2 > -0.34;0.03339255396995919;background2;-0.34;>;-0.24255741937055555;66.0;0.000728369693053954;background2 > -0.242557
Zn <= -0.08;0.03298796086998482;Zn;-0.08;<=;-0.07753811309453074;384.0;2.49317878846661e-05;Zn <= -0.077538
K > -0.01;0.032747302629933764;K;-0.01;>;-0.050970416715621525;35.0;0.0013489872954698303;K > -0.050970
background2 > -0.12;0.03245590279999706;background2;-0.12;>;-0.07212742153952101;193.0;0.000631192780498363;background2 > -0.072127
background2 <= 0.35;0.03202642117117112;background2;0.35;<=;0.24294662382265508;333.0;0.0011794420881254264;background2 <= 0.242947
Cu > 0.18;0.027948176671994823;Cu;0.18;>;0.19541636873883617;22.0;0.0016749927165317369;Cu > 0.195416
Si > 0.21;0.021660560075360828;Si;0.21;>;1.0110274266135875;498.0;0.0006026136629396217;Si > 1.011027
Zn <= 0.10;0.01908198567760291;Zn;0.10;<=;0.08459725278901509;428.0;0.0016778968260588445;Zn <= 0.084597
Zn > -0.08;0.01891790198647668;Zn;-0.08;>;-0.07753811309453074;384.0;2.49317878846661e-05;Zn > -0.077538
Ca kb <= -0.25;0.0188737787405351;Ca kb;-0.25;<=;-0.2780096980463953;491.0;0.001081065047198626;Ca kb <= -0.278010
Zn > -0.31;0.018748502242378205;Zn;-0.31;>;-0.2812919403285745;395.0;0.0008554638457373698;Zn > -0.281292
Ni <= -0.06;0.018711256898471043;Ni;-0.06;<=;-0.09437008973877159;282.0;0.00017834914785863631;Ni <= -0.094370
Cu > -0.21;0.018237345536258182;Cu;-0.21;>;-0.2303589368300969;372.0;0.0002994733777752778;Cu > -0.230359
K > -0.19;0.01820980244461301;K;-0.19;>;-0.26653333188795436;231.0;0.0006573719296162905;K > -0.266533
Fe ka + Ti ka <= -0.06;0.018115017990925783;Fe ka + Ti ka;-0.06;<=;-0.08542619961673603;243.0;0.00020126538297846747;Fe ka + Ti ka <= -0.085426
Ni > 0.09;0.017960422615346423;Ni;0.09;>;0.09898288096943109;19.0;0.0003440644711744101;Ni > 0.098983
Ca kb <= 0.45;0.017890022917855082;Ca kb;0.45;<=;0.4718857765088762;115.0;0.001703149820043992;Ca kb <= 0.471886
Cu > -0.46;0.017686260370227292;Cu;-0.46;>;-0.4889160763356135;439.0;0.0002488807254821812;Cu > -0.488916
Zn <= 0.32;0.017575329021673237;Zn;0.32;<=;0.29089734614604446;271.0;9.362279727026523e-05;Zn <= 0.290897
K > -0.35;0.017078969401982294;K;-0.35;>;-0.4658744706447804;169.0;0.001102474845523227;K > -0.465874
Ca kb <= 0.02;0.01658215165411857;Ca kb;0.02;<=;0.01979243394150476;192.0;0.0006765864628402833;Ca kb <= 0.019792
Cu <= -0.21;0.016203598705024178;Cu;-0.21;<=;-0.2303589368300969;372.0;0.0002994733777752778;Cu <= -0.230359
Si <= -0.46;0.015553057336602403;Si;-0.46;<=;-1.0490541528708874;480.0;0.0009934217406322166;Si <= -1.049054
Cr <= 0.18;0.015544592240084112;Cr;0.18;<=;0.24620512749545576;40.0;0.0020363929145515713;Cr <= 0.246205
K <= -0.19;0.015139259395828003;K;-0.19;<=;-0.26653333188795436;231.0;0.0006573719296162905;K <= -0.266533
