energy;VIP_Score;Zone
6.42;7.516407032737114;Fe ka
6.44;7.502217340467256;Fe ka
6.4;7.179504393943518;Fe ka
6.46;7.106861458859397;Fe ka
6.38;6.524733766566904;Fe ka
6.48;6.395247966523141;Fe ka
6.36;5.680327679142333;Fe ka
6.5;5.461514563690498;Fe ka
6.34;4.720082408697971;Fe ka
6.52;4.424746647973818;Fe ka
6.32;3.7408293998118096;Fe ka
6.54;3.402084274769781;Fe ka
6.3;2.832720439766092;Fe ka
7.08;2.71747563887606;Fe kb
7.1;2.702027330743795;Fe kb
7.06;2.6034398866053157;Fe kb
7.12;2.5567265182476517;Fe kb
6.56;2.48611867153685;Fe ka
7.04;2.4010882825480624;Fe kb
7.14;2.3122288065574423;Fe kb
7.02;2.123610033130792;Fe kb
6.28;2.063852732207524;Fe ka
7.16;1.9824864125003607;Fe kb
7;1.8208714313216097;Fe kb
4.52;1.7172578693497846;Ti ka
6.58;1.710054477172127;Fe ka
4.54;1.6609348606840038;Ti ka
4.5;1.6551848174191628;Ti ka
7.18;1.6098194348191184;Fe kb
4.56;1.5332732732636967;Ti ka
3.7;1.5231528325818138;Ca ka
3.68;1.4929819046151234;Ca ka
6.98;1.4821678995100616;Fe kb
4.48;1.4807098716266178;Ti ka
6.26;1.436961838785387;Fe ka
3.72;1.4180306424433418;Ca ka
3.66;1.3410140536646031;Ca ka
4.58;1.3316255189899857;Ti ka
4.46;1.2452299636833997;Ti ka
7.2;1.223886933748661;Fe kb
6.96;1.192312144126763;Fe kb
3.74;1.1532596656897323;Ca ka
4.6;1.110270259881021;Ti ka
6.6;1.1067003749120972;Fe ka
3.64;1.092245292616637;Ca ka
5.9;1.05775422312751;Mn
5.92;1.0540520840806968;Mn
5.88;0.9970367688040779;Mn
6.24;0.9882749219996483;Fe ka
4.44;0.9867081125629489;Ti ka
5.94;0.9460147814151658;Mn
6.94;0.932377489989029;Fe kb
5.86;0.8834331312794232;Mn
4.62;0.8786788149605568;Ti ka
3.76;0.8741533670983328;Ca ka
7.22;0.8614560804802527;Fe kb
5.96;0.8066413436321331;Mn
12.84;0.7824967949793361;sum Fe
