Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Pb-212 <= -1405.68;3.3240548981702345;Pb-212;-1405.68;<=;-1450.2765824155035;8.0;0.04749778909399538;Pb-212 <= -1450.276582
Pb-212 <= 1164.75;2.790962746615662;Pb-212;1164.75;<=;1229.8390433988718;56.0;2.833503229349162;Pb-212 <= 1229.839043
Pb-212 > 1164.75;2.5038375997363245;Pb-212;1164.75;>;1229.8390433988718;56.0;2.833503229349162;Pb-212 > 1229.839043
Pb-212 <= 1615.08;2.22237098509727;Pb-212;1615.08;<=;1713.586811281555;79.0;11.5050423742573;Pb-212 <= 1713.586811
Pb-212 > -1513.46;1.9012033248096647;Pb-212;-1513.46;>;-1567.7508061423741;5.0;1.5191465917525875;Pb-212 > -1567.750806
Pb-212 > -1405.68;1.3953613979494546;Pb-212;-1405.68;>;-1450.2765824155035;8.0;0.04749778909399538;Pb-212 > -1450.276582
Pb-214 <= -1096.65;0.7760236987902767;Pb-214;-1096.65;<=;-1106.9005326008248;12.0;0.04193709403830326;Pb-214 <= -1106.900533
Pb-214 <= 891.67;0.673875995148372;Pb-214;891.67;<=;896.2681603956686;59.0;0.26933087609791073;Pb-214 <= 896.268160
Pb-214 <= 1237.44;0.5921679870325824;Pb-214;1237.44;<=;1262.356901587008;100.0;4.016860972154291;Pb-214 <= 1262.356902
Pb-214 > -1159.98;0.5155337025953927;Pb-214;-1159.98;>;-1176.9294161118682;6.0;2.883181994490542;Pb-214 > -1176.929416
Pb-214 > 891.67;0.44092397055131455;Pb-214;891.67;>;896.2681603956686;59.0;0.26933087609791073;Pb-214 > 896.268160
Pb-214 > -1096.65;0.36128809311593263;Pb-214;-1096.65;>;-1106.9005326008248;12.0;0.04193709403830326;Pb-214 > -1106.900533
Tl-208 > 451.94;0.2736697430395897;Tl-208;451.94;>;451.49233042220663;59.0;1.8379272338938222;Tl-208 > 451.492330
Ac-228 + Tl-208 <= -395.83;0.24709953188159386;Ac-228 + Tl-208;-395.83;<=;-399.02059777162486;7.0;0.5896312873891247;Ac-228 + Tl-208 <= -399.020598
Ac-228 + Tl-208 <= -418.73;0.2445357726311787;Ac-228 + Tl-208;-418.73;<=;-420.1001580159571;3.0;0.07052914410871836;Ac-228 + Tl-208 <= -420.100158
Tl-208 > -550.81;0.2217728786628891;Tl-208;-550.81;>;-552.1020021803379;36.0;0.25728159973743914;Tl-208 > -552.102002
Tl-208 > -577.29;0.19670324007413528;Tl-208;-577.29;>;-580.0639474056678;9.0;0.43741651412312876;Tl-208 > -580.063947
