energy;Permutation_importance;Zone
63;0.03368877009420387;Pb-212
64;0.03355473307014959;Pb-212
62;0.031714830010177025;Pb-212
65;0.030547360425215588;Pb-212
61;0.028145770709848528;Pb-212
66;0.02580158440916532;Pb-212
60;0.02295579861759272;Pb-212
67;0.01886191936465595;Pb-212
59;0.016685658197780305;Pb-212
68;0.012917270341600989;Pb-212
58;0.010143354604137702;Pb-212
89;0.008848336102560911;Pb-214
90;0.008455863789592007;Pb-214
88;0.00833454435669734;Pb-214
69;0.008242866648366825;Pb-212
91;0.007950031751830018;Pb-214
87;0.007239431876634885;Pb-214
92;0.007028318828981407;Pb-214
86;0.006203642502410681;Pb-214
93;0.00600943082952646;Pb-214
77;0.005939290873504822;Pb-214
76;0.005927375129602791;Pb-214
75;0.005868143222505784;Pb-214
78;0.005633214939352551;Pb-214
70;0.005371368481713439;Pb-214
74;0.00523620693607945;Pb-214
85;0.005199240702368639;Pb-214
79;0.005069409348800118;Pb-214
57;0.0047365520188695715;Pb-212
73;0.0045111034776509394;Pb-214
80;0.004507559540644686;Pb-214
94;0.004348477654691247;Pb-214
84;0.0043400592762799905;Pb-214
71;0.004210548351011637;Pb-214
81;0.00418837855010743;Pb-214
82;0.004128847967095362;Pb-214
72;0.004128330340036665;Pb-214
83;0.004092441043238462;Pb-214
95;0.003111652465147683;Pb-214
149;0.0029063019550042454;Tl-208
150;0.002734783016125297;Tl-208
148;0.002689980794511535;Tl-208
151;0.002621278805591921;Tl-208
147;0.002612876832563453;Tl-208
146;0.0025604396168344085;Tl-208
152;0.002521353364454043;Tl-208
96;0.002353135042417304;Pb-214
145;0.0021703529097678205;Tl-208
153;0.0021160626999843332;Tl-208
154;0.0019239002842772214;Tl-208
144;0.0018075209470707347;Tl-208
97;0.0016362482568604672;Pb-214
143;0.0015577187474315815;Tl-208
155;0.001544990217255714;Tl-208
142;0.0013138997559018956;Tl-208
156;0.0012998693217301216;Tl-208
127;0.001256474541929518;Ac-228 + Tl-208
98;0.0012199574446831315;Pb-214
128;0.0012154150573670263;Ac-228 + Tl-208
126;0.0012118874509088203;Ac-228 + Tl-208
129;0.001142957649630799;Ac-228 + Tl-208
125;0.0011152575620974943;Ac-228 + Tl-208
130;0.0010709890116452204;Ac-228 + Tl-208
124;0.0010651991396852232;Ac-228 + Tl-208
141;0.0010265464390662974;Tl-208
