energy;VIP_Score;Zone
63;4.866903486773389;Pb-212
64;4.860649522262874;Pb-212
62;4.724426932332108;Pb-212
65;4.615546257166519;Pb-212
61;4.4332198589389975;Pb-212
66;4.181101491746371;Pb-212
60;3.9932822665940626;Pb-212
67;3.6009576509695207;Pb-212
59;3.4046141552973026;Pb-212
68;2.9579052805529886;Pb-212
58;2.6672155250487166;Pb-212
89;2.489107108254611;Pb-214
90;2.4861243591887403;Pb-214
88;2.4073430756148233;Pb-214
91;2.395854739309777;Pb-214
69;2.382246589990089;Pb-212
87;2.2599234287001213;Pb-214
92;2.227480357319525;Pb-214
86;2.0812114934495516;Pb-214
76;2.0563842932753573;Pb-214
77;2.0392026562525554;Pb-214
75;2.0170391034717996;Pb-214
93;2.003801891442677;Pb-214
78;1.9751966440640163;Pb-214
70;1.9591548954284104;Pb-214
74;1.9225831980915105;Pb-214
85;1.906131611358355;Pb-214
79;1.8893348116552933;Pb-214
73;1.799561997352416;Pb-214
80;1.7911675777279057;Pb-214
57;1.7810863758483064;Pb-212
84;1.7691230432982923;Pb-214
94;1.750566907635867;Pb-214
71;1.7455323926848465;Pb-214
72;1.7177700564193839;Pb-214
81;1.710277171188451;Pb-214
83;1.6847922008763214;Pb-214
82;1.6668672066026076;Pb-214
95;1.4971288751682068;Pb-214
149;1.4030552539503;Tl-208
150;1.3904110831445884;Tl-208
148;1.3895588386251327;Tl-208
151;1.355806331120141;Tl-208
147;1.3555365460098847;Tl-208
146;1.300586038833418;Tl-208
152;1.2946874180047119;Tl-208
96;1.2658318514873188;Pb-214
145;1.2270211433815923;Tl-208
153;1.2177479142432017;Tl-208
144;1.1400337703811199;Tl-208
154;1.1269085236430048;Tl-208
97;1.0780168249381308;Pb-214
143;1.0458541960981602;Tl-208
155;1.0257515809978055;Tl-208
142;0.9469843605467385;Tl-208
127;0.9416585024668798;Ac-228 + Tl-208
98;0.9399564375930559;Pb-214
128;0.938833008323073;Ac-228 + Tl-208
126;0.9307577526431275;Ac-228 + Tl-208
156;0.9259025206390727;Tl-208
129;0.9195056827326512;Ac-228 + Tl-208
125;0.9115478856352415;Ac-228 + Tl-208
124;0.8842254945598541;Ac-228 + Tl-208
130;0.8823570800675432;Ac-228 + Tl-208
123;0.8587756546254592;Ac-228 + Tl-208
141;0.852283906578496;Tl-208
99;0.8484998708707917;Pb-214
122;0.8349763923741543;Ac-228 + Tl-208
131;0.8332198215939274;Ac-228 + Tl-208
157;0.8290615526207394;Tl-208
121;0.8187070450315039;Ac-228 + Tl-208
120;0.8090392137102101;Ac-228 + Tl-208
100;0.8031810386303959;Pb-214
