Shap;Permutation;LRC_perturbation
Fe ka;Fe ka;Fe ka
Zn ka;Compton ka;Rayleigh ka
Compton ka;Zn ka;Zn ka
K;Rayleigh ka;K
Rayleigh ka;K;Ca ka
Sr;Sr;Compton kb
Ca ka;Compton kb;Sr
Fe kb;Ca ka;Mn
Rb;Fe kb;Compton ka
Mn;Mn;Zr
Ca kb;Rb;background2
Cu;background2;S
Compton kb;background3;Rayleigh kb
background2;Zr;Cu
S;Rh L + Ar;Si
P;Ca kb;Ca kb
background3;Zn kb;Zn kb
Zn kb;Rayleigh kb;Al
Rh L + Ar;Cu;Rb
Zr;Ti ka;Fe kb
Al;S;P
Si;P;Rh L + Ar
Ti ka;Ni;background1
;background1;background3
background1;;Ti ka
Ni;Al;Ni
Rayleigh kb;Si;
