Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -0.63;6.451476936342221;Fe ka;-0.63;>;-0.4434284101497057;20.0;0.000613611709449402;Fe ka > -0.443428
Fe ka > -0.76;5.188147110779267;Fe ka;-0.76;>;-0.5460325276530049;14.0;0.013758406281294877;Fe ka > -0.546033
Compton ka <= -0.14;5.042226777633641;Compton ka;-0.14;<=;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka <= -0.312689
Compton ka <= -0.95;3.71407290523131;Compton ka;-0.95;<=;-2.075831531982308;43.0;0.048053596486849814;Compton ka <= -2.075832
Fe ka > 0.20;3.7002733109348624;Fe ka;0.20;>;0.11459976627310216;9.0;0.03758666967722152;Fe ka > 0.114600
Compton ka <= 1.10;3.6126588650601295;Compton ka;1.10;<=;2.4587787078327388;53.0;0.04655213260193891;Compton ka <= 2.458779
Fe ka > -0.51;3.6048568097372886;Fe ka;-0.51;>;-0.3719135643890132;1.0;0.00018582743871109475;Fe ka > -0.371914
background3 <= -0.12;3.4053776470819215;background3;-0.12;<=;-0.16454326191117177;52.0;0.004214295495960876;background3 <= -0.164543
Compton ka <= 0.44;3.0254027318853387;Compton ka;0.44;<=;1.014362471577238;1.0;0.010087604607448397;Compton ka <= 1.014362
Compton ka > -0.14;2.8547637514252306;Compton ka;-0.14;>;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka > -0.312689
Compton kb <= -0.56;2.7680531604380807;Compton kb;-0.56;<=;-0.72600853741193;43.0;0.03919993405025335;Compton kb <= -0.726009
background3 <= 0.69;2.6412844411952943;background3;0.69;<=;0.8742837221183761;31.0;0.02113956624494462;background3 <= 0.874284
Compton kb <= -0.10;2.6384934306471424;Compton kb;-0.10;<=;-0.12960173349642254;6.0;0.001978735098321263;Compton kb <= -0.129602
background3 <= -0.60;2.6019976226489314;background3;-0.60;<=;-0.8031231644854945;19.0;0.01361012183909538;background3 <= -0.803123
Compton ka > -0.95;2.58136611003517;Compton ka;-0.95;>;-2.075831531982308;43.0;0.048053596486849814;Compton ka > -2.075832
Fe kb > -0.17;2.3990602824381364;Fe kb;-0.17;>;-0.050817774885046345;63.0;0.009927416751948887;Fe kb > -0.050818
