energy;VIP_Score;Zone
6.45;7.264713816518857;Fe ka
6.41;7.234624396213947;Fe ka
6.39;7.141251481298122;Fe ka
6.43;7.089634557690125;Fe ka
6.47;6.471920438733873;Fe ka
6.49;5.6580854579186575;Fe ka
6.37;5.206071810826108;Fe ka
6.51;5.120517598070709;Fe ka
6.35;4.717346043408864;Fe ka
8.61;4.024367831546897;Zn ka
6.33;3.7244664078118994;Fe ka
8.65;3.6165735468499265;Zn ka
7.11;3.6065594133452152;Fe kb
8.63;3.321181816413485;Zn ka
8.67;3.247922701312499;Zn ka
7.09;3.117092037086157;Fe kb
8.57;2.9927231746534173;Zn ka
6.53;2.9358013855700493;Fe ka
8.59;2.909864159381582;Zn ka
7.05;2.7874056654700863;Fe kb
8.69;2.659090151939754;Zn ka
8.75;2.5973679274028507;Zn ka
7.13;2.5920644685911327;Fe kb
7.03;2.567072541605987;Fe kb
6.31;2.5167510504354755;Fe ka
20.38;2.50657619446482;Rayleigh ka
5.85;2.5054450777029977;Mn
5.89;2.4212188818334535;Mn
7.07;2.3875274135406834;Fe kb
3.80;2.3579292423251434;Ca ka
6.25;2.3003068538756106;Fe ka
7.15;2.29297805893817;Fe kb
20.44;2.28846209011205;Rayleigh ka
14.21;2.286231323706399;Sr
6.55;2.2200746061290224;Fe ka
8.73;2.212591767580224;Zn ka
13.31;2.2002023493990164;Rb
19.14;2.189057829511447;Compton ka
20.30;2.123155154477283;Rayleigh ka
10.71;1.9956997295762038;background2
18.68;1.9622113596643636;Compton ka
18.02;1.9525448064595654;Compton ka
20.32;1.9365738927074774;Rayleigh ka
3.78;1.9344624734273654;Ca ka
20.34;1.928057194184907;Rayleigh ka
21.50;1.9205644912656468;Compton kb
3.42;1.890397397740491;K
8.71;1.8496914357042806;Zn ka
14.17;1.8271235264309325;Sr
14.15;1.8209113001104744;Sr
19.40;1.8200647695386944;Compton ka
12.33;1.8167215267844221;background2
7.17;1.8120379178414727;Fe kb
3.38;1.8046917050353677;K
18.66;1.7808517858325013;Compton ka
8.51;1.772009581694147;Zn ka
9.55;1.7488549530081317;Zn kb
14.11;1.7390754265229742;Sr
6.29;1.7241070757873387;Fe ka
19.34;1.7012391967883278;Compton ka
19.12;1.700931416231536;Compton ka
7.97;1.6928378829797721;Cu
5.97;1.6795615314173205;Mn
4.10;1.6789631028875187;Ca kb
2.50;1.6541992832241554;Rh L + Ar
8.55;1.6233398959750736;Zn ka
7.71;1.6060330823648774;Cu
3.26;1.6053661746196308;K
18.24;1.6006082717136123;Compton ka
7.01;1.5963428068948144;Fe kb
6.99;1.5823352222506544;Fe kb
13.33;1.581688046304741;Rb
3.72;1.561586098820567;Ca ka
11.21;1.497097768471798;background2
8.07;1.481995369774578;Cu
13.53;1.47995178878;Rb
19.20;1.4774527508287696;Compton ka
20.46;1.4554138225975033;Rayleigh ka
3.36;1.4490249578787675;K
8.93;1.4406798193778296;Zn ka
18.56;1.4397836977515701;Compton ka
19.36;1.436451664354147;Compton ka
19.32;1.429882995454667;Compton ka
5.93;1.4102915137674878;Mn
5.91;1.407204608902395;Mn
5.99;1.4067152014611664;Mn
7.67;1.3919432762402288;Ni
3.82;1.3768058618519863;Ca ka
6.57;1.3749296185639255;Fe ka
20.28;1.371098147090351;Rayleigh ka
7.19;1.368403792536725;Fe kb
8.03;1.362382906725832;Cu
8.09;1.3592391416534269;Cu
19.82;1.3586618875318397;Rayleigh ka
21.26;1.3555168803473248;Compton kb
8.43;1.3552296031765934;Zn ka
10.03;1.3453499059875782;background2
9.59;1.3448609736897839;Zn kb
15.64;1.3359392960107888;background3
18.58;1.3302586937072582;Compton ka
11.01;1.3267452084921407;background2
3.40;1.3255812495105175;K
20.86;1.3252786572777808;Compton kb
20.24;1.3222823907836774;Rayleigh ka
2.30;1.321948175427989;S
18.86;1.316770638813615;Compton ka
9.53;1.3115115319430173;Zn kb
5.81;1.3046087913264375;Mn
6.59;1.302335841313516;Fe ka
21.58;1.3020931253458885;Compton kb
11.51;1.2974479103357541;background2
11.23;1.2921657855430189;background2
21.66;1.2899480078261132;Compton kb
20.36;1.2883255863269478;Rayleigh ka
10.65;1.2875015838797619;background2
10.69;1.2850300179219123;background2
3.76;1.2835331665237193;Ca ka
14.29;1.270208399532162;Sr
4.50;1.2673424319211821;Ti ka
9.17;1.2565800693543927;Zn kb
19.42;1.2536051705121893;Compton ka
18.40;1.253267700186175;Compton ka
18.62;1.2493550858374745;Compton ka
8.53;1.2475583691291245;Zn ka
21.22;1.243753748884366;Compton kb
4.70;1.243528093172379;
9.41;1.2431077002946656;Zn kb
18.74;1.2420212891930298;Compton ka
