Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > 0.20;4.49603576629503;Fe ka;0.20;>;0.11459976627310216;9.0;0.03758666967722152;Fe ka > 0.114600
Rayleigh ka > 0.61;3.9681906971195535;Rayleigh ka;0.61;>;0.9285929650746525;31.0;0.005251394343385396;Rayleigh ka > 0.928593
Zn ka > 0.24;3.8642121953386557;Zn ka;0.24;>;0.1578672867285217;21.0;0.007782959691178454;Zn ka > 0.157867
Rayleigh ka <= -0.45;3.812978473198937;Rayleigh ka;-0.45;<=;-0.6543105708547629;43.0;0.018916308065030252;Rayleigh ka <= -0.654311
Zn ka > 0.09;3.7746825691573185;Zn ka;0.09;>;0.06791998407696054;41.0;0.011107733479876952;Zn ka > 0.067920
Fe ka > -0.51;3.5609654198403446;Fe ka;-0.51;>;-0.3719135643890132;1.0;0.00018582743871109475;Fe ka > -0.371914
Rayleigh ka > 0.17;3.5319150635237953;Rayleigh ka;0.17;>;0.27226737389634587;54.0;0.004117675099740925;Rayleigh ka > 0.272267
K > 0.10;3.5235365239354;K;0.10;>;0.1985946048103868;37.0;0.0039149498809672445;K > 0.198595
Zn ka <= -0.06;3.476365278167;Zn ka;-0.06;<=;-0.03710474264390225;54.0;0.0034102246793041163;Zn ka <= -0.037105
Rayleigh ka > -0.08;3.44404402863446;Rayleigh ka;-0.08;>;-0.1450185050374371;29.0;0.0049215121968703285;Rayleigh ka > -0.145019
K > 0.30;3.4333806285424116;K;0.30;>;0.4702376179585697;36.0;0.011168667910909202;K > 0.470238
Zn ka <= -0.29;3.391938818817926;Zn ka;-0.29;<=;-0.1784381575318568;43.0;0.0010085787058349838;Zn ka <= -0.178438
K <= -0.35;3.2796560054222814;K;-0.35;<=;-0.7575605327767745;3.0;0.0035524505100253956;K <= -0.757561
Ca ka > 0.23;3.140879715638567;Ca ka;0.23;>;0.2214775640623271;47.0;0.0054281827414740524;Ca ka > 0.221478
Rayleigh ka <= -0.08;3.0023551144584952;Rayleigh ka;-0.08;<=;-0.1450185050374371;29.0;0.0049215121968703285;Rayleigh ka <= -0.145019
Rayleigh ka > -0.45;2.9829824475874784;Rayleigh ka;-0.45;>;-0.6543105708547629;43.0;0.018916308065030252;Rayleigh ka > -0.654311
Zn ka > -0.06;2.8220643691513496;Zn ka;-0.06;>;-0.03710474264390225;54.0;0.0034102246793041163;Zn ka > -0.037105
K > -0.35;2.751898383995711;K;-0.35;>;-0.7575605327767745;3.0;0.0035524505100253956;K > -0.757561
Rayleigh ka <= 0.17;2.6853586175881463;Rayleigh ka;0.17;<=;0.27226737389634587;54.0;0.004117675099740925;Rayleigh ka <= 0.272267
Fe ka > -0.63;2.636658546008608;Fe ka;-0.63;>;-0.4434284101497057;20.0;0.000613611709449402;Fe ka > -0.443428
K <= 0.10;2.611651163071274;K;0.10;<=;0.1985946048103868;37.0;0.0039149498809672445;K <= 0.198595
Rayleigh ka <= 0.61;2.6074895460789667;Rayleigh ka;0.61;<=;0.9285929650746525;31.0;0.005251394343385396;Rayleigh ka <= 0.928593
K > -0.11;2.5974234500551616;K;-0.11;>;-0.2920301590129167;24.0;0.013610241799899808;K > -0.292030
Compton kb <= -0.56;2.5709370881434346;Compton kb;-0.56;<=;-0.72600853741193;43.0;0.03919993405025346;Compton kb <= -0.726009
Zn ka <= 0.24;2.5622162327579843;Zn ka;0.24;<=;0.1578672867285217;21.0;0.007782959691178454;Zn ka <= 0.157867
Ca ka > 0.01;2.5218110813461423;Ca ka;0.01;>;0.050896210723777514;17.0;0.009871184750026003;Ca ka > 0.050896
Zn ka <= 0.09;2.4813272814507292;Zn ka;0.09;<=;0.06791998407696054;41.0;0.011107733479876952;Zn ka <= 0.067920
K <= 0.30;2.4800710360508855;K;0.30;<=;0.4702376179585697;36.0;0.011168667910909202;K <= 0.470238
K <= -0.11;2.4609857236962074;K;-0.11;<=;-0.2920301590129167;24.0;0.013610241799899808;K <= -0.292030
Sr <= -0.34;2.4454286117567623;Sr;-0.34;<=;-0.4279864975972914;43.0;0.009756328811200699;Sr <= -0.427986
Ca ka > -0.09;2.4326316587658057;Ca ka;-0.09;>;-0.07012771463846655;10.0;0.0004802559904545922;Ca ka > -0.070128
Zn ka > -0.29;2.3891989044547564;Zn ka;-0.29;>;-0.1784381575318568;43.0;0.0010085787058349838;Zn ka > -0.178438
Sr <= -0.05;2.308874259831406;Sr;-0.05;<=;-0.053754095196916624;5.0;0.0016711003283690073;Sr <= -0.053754
Ca ka > -0.21;2.2500459415534046;Ca ka;-0.21;>;-0.5229945513965373;31.0;0.00972170001342429;Ca ka > -0.522995
Fe ka > -0.76;2.2462531807586585;Fe ka;-0.76;>;-0.5460325276530049;14.0;0.013758406281294877;Fe ka > -0.546033
Mn > 0.12;2.2452686097667804;Mn;0.12;>;0.04432592575023015;25.0;0.00048274132750977805;Mn > 0.044326
Ca ka <= -0.21;2.183727594283069;Ca ka;-0.21;<=;-0.5229945513965373;31.0;0.00972170001342429;Ca ka <= -0.522995
Mn <= -0.10;2.1592212133148716;Mn;-0.10;<=;-0.043886740231691174;32.0;0.002976204024411469;Mn <= -0.043887
Compton ka > 1.10;2.112159120162835;Compton ka;1.10;>;2.4587787078327388;53.0;0.04655213260193891;Compton ka > 2.458779
Compton ka > 0.44;2.035632343577491;Compton ka;0.44;>;1.014362471577238;1.0;0.010087604607448397;Compton ka > 1.014362
Compton kb > 0.64;2.024274009277506;Compton kb;0.64;>;0.8117371559045264;31.0;0.03105496253371054;Compton kb > 0.811737
Compton ka > -0.14;1.9751356805867357;Compton ka;-0.14;>;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka > -0.312689
Ca ka <= -0.09;1.844084396923493;Ca ka;-0.09;<=;-0.07012771463846655;10.0;0.0004802559904545922;Ca ka <= -0.070128
Mn > 0.04;1.8304434553051263;Mn;0.04;>;0.013701734337724883;1.0;0.004902973547572825;Mn > 0.013702
Compton ka <= -0.14;1.8028249789669095;Compton ka;-0.14;<=;-0.3126890698385879;44.0;0.0027412015007413915;Compton ka <= -0.312689
Sr > 0.42;1.8026162793400107;Sr;0.42;>;0.5221510018761242;37.0;0.021269689387503954;Sr > 0.522151
Compton kb <= -0.10;1.7372212768960673;Compton kb;-0.10;<=;-0.12960173349642254;6.0;0.0019787350983214713;Compton kb <= -0.129602
Sr <= 0.15;1.618256406815573;Sr;0.15;<=;0.19252184587759483;1.0;0.0033378820877004722;Sr <= 0.192522
Compton ka > -0.95;1.6130528502928707;Compton ka;-0.95;>;-2.075831531982308;43.0;0.048053596486849814;Compton ka > -2.075832
Compton ka <= 0.44;1.5946903192426336;Compton ka;0.44;<=;1.014362471577238;1.0;0.010087604607448397;Compton ka <= 1.014362
Ca ka <= 0.01;1.538698181023336;Ca ka;0.01;<=;0.050896210723777514;17.0;0.009871184750026003;Ca ka <= 0.050896
Mn <= -0.04;1.5187931372319723;Mn;-0.04;<=;-0.018734769154889912;12.0;0.0005701232728438782;Mn <= -0.018735
Ca ka <= 0.23;1.4956337299791496;Ca ka;0.23;<=;0.2214775640623271;47.0;0.0054281827414740524;Ca ka <= 0.221478
Sr > 0.15;1.4665719572030451;Sr;0.15;>;0.19252184587759483;1.0;0.0033378820877004722;Sr > 0.192522
Mn > -0.04;1.4162748918734862;Mn;-0.04;>;-0.018734769154889912;12.0;0.0005701232728438782;Mn > -0.018735
Compton kb > 0.26;1.3992081723943761;Compton kb;0.26;>;0.3769358449268959;21.0;0.005824361655385302;Compton kb > 0.376936
Compton ka <= -0.95;1.3951425529396326;Compton ka;-0.95;<=;-2.075831531982308;43.0;0.048053596486849814;Compton ka <= -2.075832
Compton ka <= 1.10;1.3794073979055717;Compton ka;1.10;<=;2.4587787078327388;53.0;0.04655213260193891;Compton ka <= 2.458779
Mn <= 0.04;1.3535882174588587;Mn;0.04;<=;0.013701734337724883;1.0;0.004902973547572825;Mn <= 0.013702
Compton kb <= 0.26;1.3137849405648856;Compton kb;0.26;<=;0.3769358449268959;21.0;0.005824361655385302;Compton kb <= 0.376936
Mn > -0.10;1.3122166341967796;Mn;-0.10;>;-0.043886740231691174;32.0;0.002976204024411469;Mn > -0.043887
Sr <= 0.42;1.3112250123352147;Sr;0.42;<=;0.5221510018761242;37.0;0.021269689387503954;Sr <= 0.522151
Compton kb > -0.10;1.278546109646253;Compton kb;-0.10;>;-0.12960173349642254;6.0;0.0019787350983214713;Compton kb > -0.129602
