model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;mean_abs_diff;zones_removed
pls;SMX;1;zero;0.616883;0.545455;0.071429;0.636364;0.545455;0.090909;0.042546;K ka
pls;SMX;2;zero;0.616883;0.493506;0.123377;0.636364;0.545455;0.090909;0.055554;"K ka; Rb ka + Br kb"
pls;SMX;3;zero;0.616883;0.493506;0.123377;0.636364;0.545455;0.090909;0.060901;"K ka; Rb ka + Br kb; K kb + Ca ka"
pls;SMX;4;zero;0.616883;0.560606;0.056277;0.636364;0.636364;0.0;0.066983;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl"
pls;SMX;5;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.070113;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh"
pls;SMX;6;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.069277;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka"
pls;SMX;7;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.067398;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka"
pls;SMX;8;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.07348;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2"
pls;SMX;9;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.074463;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh"
pls;SMX;10;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.075378;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb"
pls;SMX;11;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.076032;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S"
pls;SMX;12;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077603;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton"
pls;SMX;13;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.076195;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka"
pls;SMX;14;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.07757;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu"
pls;SMX;15;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.076788;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3"
pls;SMX;16;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.07725;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb"
pls;SMX;17;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077409;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb; Zn"
pls;SMX;18;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077723;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb; Zn; Ca kb"
pls;SMX;19;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077826;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb; Zn; Ca kb; Rh ka Compton"
pls;SMX;20;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077522;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb; Zn; Ca kb; Rh ka Compton; Mn"
pls;SMX;21;zero;0.616883;0.385027;0.231856;0.636364;0.545455;0.090909;0.077813;"K ka; Rb ka + Br kb; K kb + Ca ka; Cl; Rh ka Rayleigh; Br ka; Fe ka; background2; Rh kb Rayleigh; Rb kb; S; Rh kb Compton; Sr ka; Cu; background3; Fe kb; Zn; Ca kb; Rh ka Compton; Mn; background1"
pls;SHAP;1;zero;0.616883;0.545455;0.071429;0.636364;0.545455;0.090909;0.042546;K ka
pls;SHAP;2;zero;0.616883;0.493506;0.123377;0.636364;0.545455;0.090909;0.055554;"K ka; Rb ka + Br kb"
