VIP_Score;Reg_Coefficient;Shap;Permutation;LRC_perturbation;LRC_covariance
Rb ka + Br kb;Rb ka + Br kb;K ka;K ka;K ka;K ka
K ka;K ka;Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb;background3
Fe ka;Fe ka;K kb + Ca ka;K kb + Ca ka;K kb + Ca ka;background2
K kb + Ca ka;K kb + Ca ka;Rh ka Compton;Fe ka;Cl;Rh ka Compton
background2;background2;Fe ka;Cl;Rh ka Rayleigh;Rb ka + Br kb
Cl;Cl;background2;Rh ka Compton;Br ka;K kb + Ca ka
Cu;Cu;Rb kb;Rh ka Rayleigh;Fe ka;Rh ka Rayleigh
Ca kb;Ca kb;Cu;Rb kb;background2;Rh kb Compton
Rb kb;Rb kb;Ca kb;Ca kb;Rh kb Rayleigh;Br ka
Rh kb Rayleigh;Rh kb Rayleigh;Cl;background2;Rb kb;Cu
Br ka;Br ka;Rh kb Compton;Rh kb Compton;S;Fe kb
Rh ka Rayleigh;Rh ka Rayleigh;Br ka;Cu;Rh kb Compton;Cl
Sr ka;Sr ka;Rh kb Rayleigh;Rh kb Rayleigh;Sr ka;Rh kb Rayleigh
background1;background1;S;Sr ka;Cu;Sr ka
background3;background3;Fe kb;Br ka;background3;Rb kb
Rh kb Compton;Rh kb Compton;background1;background3;Fe kb;Mn
Fe kb;Fe kb;Mn;Zn;Zn;Zn
Zn;Zn;Zn;Fe kb;Ca kb;Fe ka
Rh ka Compton;Rh ka Compton;background3;background1;Rh ka Compton;S
Mn;Mn;Sr ka;Mn;Mn;background1
S;S;Rh ka Rayleigh;S;background1;
;;;;;
