Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka > 0.40;14.923953738331132;K ka;0.40;>;0.405902858169219;15.0;0.0018929843288971182;K ka > 0.405903
Rb ka + Br kb > 0.15;11.666253881328672;Rb ka + Br kb;0.15;>;0.0800914077382597;8.0;0.0008022663230624338;Rb ka + Br kb > 0.080091
K ka <= 0.03;9.277851523189057;K ka;0.03;<=;0.0220108671556799;11.0;0.0034984781981039006;K ka <= 0.022011
K ka > 0.03;8.792040291117246;K ka;0.03;>;0.0220108671556799;11.0;0.0034984781981039006;K ka > 0.022011
K ka <= -0.52;7.723446341871269;K ka;-0.52;<=;-0.529154120245581;18.0;0.004942708091810855;K ka <= -0.529154
K ka > -0.18;6.832324606765278;K ka;-0.18;>;-0.18011081698473244;9.0;0.0011205208241312492;K ka > -0.180111
Rb ka + Br kb > -0.08;5.854917207408878;Rb ka + Br kb;-0.08;>;-0.03963368577174566;17.0;0.004905499211687037;Rb ka + Br kb > -0.039634
K ka <= 0.40;5.30692477540353;K ka;0.40;<=;0.405902858169219;15.0;0.0018929843288971182;K ka <= 0.405903
K ka <= -0.18;4.934528409111516;K ka;-0.18;<=;-0.18011081698473244;9.0;0.0011205208241312492;K ka <= -0.180111
Rb ka + Br kb > -0.11;4.6623373301098665;Rb ka + Br kb;-0.11;>;-0.053766300778467266;2.0;0.004804012311701161;Rb ka + Br kb > -0.053766
Rb ka + Br kb <= -0.29;4.405810900334289;Rb ka + Br kb;-0.29;<=;-0.14655043380899582;3.0;0.0034151301898789344;Rb ka + Br kb <= -0.146550
K ka > -0.52;4.194037115550879;K ka;-0.52;>;-0.529154120245581;18.0;0.004942708091810855;K ka > -0.529154
Rb ka + Br kb > -0.29;3.9394158415346734;Rb ka + Br kb;-0.29;>;-0.14655043380899582;3.0;0.0034151301898789344;Rb ka + Br kb > -0.146550
Rb ka + Br kb <= -0.11;3.2398387446289982;Rb ka + Br kb;-0.11;<=;-0.053766300778467266;2.0;0.004804012311701161;Rb ka + Br kb <= -0.053766
background2 <= -0.10;2.1329766708322175;background2;-0.10;<=;-0.04089654331086817;14.0;0.0007625579731716653;background2 <= -0.040897
Rb ka + Br kb <= 0.15;2.0611576794331734;Rb ka + Br kb;0.15;<=;0.0800914077382597;8.0;0.0008022663230624338;Rb ka + Br kb <= 0.080091
Rb ka + Br kb <= -0.08;1.9423674486952964;Rb ka + Br kb;-0.08;<=;-0.03963368577174566;17.0;0.004905499211687037;Rb ka + Br kb <= -0.039634
background2 > 0.20;1.5858385203975398;background2;0.20;>;0.07929549208589484;19.0;0.003663697254945586;background2 > 0.079295
background2 <= -0.02;1.4664474806747576;background2;-0.02;<=;-0.004400898020973355;17.0;0.00012077522254736947;background2 <= -0.004401
Rh ka Rayleigh <= -0.20;1.4351126075559857;Rh ka Rayleigh;-0.20;<=;-0.1316716984619449;3.0;0.0047360345108573565;Rh ka Rayleigh <= -0.131672
K kb + Ca ka > 0.14;1.3708974439635806;K kb + Ca ka;0.14;>;0.06603656909561739;15.0;0.004631979412069165;K kb + Ca ka > 0.066037
Rh ka Rayleigh > 0.28;1.2908920708303413;Rh ka Rayleigh;0.28;>;0.17426739076039957;12.0;0.0007327827705881917;Rh ka Rayleigh > 0.174267
background2 <= 0.07;1.175198480535383;background2;0.07;<=;0.023420600788614517;18.0;0.0022820545303409295;background2 <= 0.023421
background2 > 0.07;1.1657801396822172;background2;0.07;>;0.023420600788614517;18.0;0.0022820545303409295;background2 > 0.023421
background2 > -0.02;1.0843853303108189;background2;-0.02;>;-0.004400898020973355;17.0;0.00012077522254736947;background2 > -0.004401
background2 <= 0.20;1.0623912268121443;background2;0.20;<=;0.07929549208589484;19.0;0.003663697254945586;background2 <= 0.079295
Rh ka Rayleigh > 0.08;0.9946530399926199;Rh ka Rayleigh;0.08;>;0.05257261865079478;7.0;0.0011251271903338078;Rh ka Rayleigh > 0.052573
K kb + Ca ka <= -0.21;0.9864532727027522;K kb + Ca ka;-0.21;<=;-0.09902856852902749;8.0;0.00024530500274613787;K kb + Ca ka <= -0.099029
Rh ka Rayleigh <= 0.08;0.953701377544513;Rh ka Rayleigh;0.08;<=;0.05257261865079478;7.0;0.0011251271903338078;Rh ka Rayleigh <= 0.052573
K kb + Ca ka > 0.06;0.9343830019462784;K kb + Ca ka;0.06;>;0.018223009446566324;11.0;0.0004104494653808452;K kb + Ca ka > 0.018223
Rh ka Rayleigh <= -0.10;0.9229788409850244;Rh ka Rayleigh;-0.10;<=;-0.05435122170920101;5.0;0.003308769637640846;Rh ka Rayleigh <= -0.054351
Br ka <= -0.14;0.8974980139744461;Br ka;-0.14;<=;-0.05952137343857534;14.0;0.002788959481879044;Br ka <= -0.059521
Cl > 0.07;0.8841762491382605;Cl;0.07;>;0.020733580926949338;0.0;0.0023879634509172826;Cl > 0.020734
Fe ka > 0.05;0.8724367205619867;Fe ka;0.05;>;0.014184657789846393;20.0;0.0030340521770912815;Fe ka > 0.014185
background2 > -0.10;0.8698398628624876;background2;-0.10;>;-0.04089654331086817;14.0;0.0007625579731716653;background2 > -0.040897
Rh ka Rayleigh <= 0.28;0.8382639236103998;Rh ka Rayleigh;0.28;<=;0.17426739076039957;12.0;0.0007327827705881917;Rh ka Rayleigh <= 0.174267
Rh ka Rayleigh > -0.10;0.8119951758010715;Rh ka Rayleigh;-0.10;>;-0.05435122170920101;5.0;0.003308769637640846;Rh ka Rayleigh > -0.054351
K kb + Ca ka > -0.04;0.8036603460346536;K kb + Ca ka;-0.04;>;-0.004473062311435819;7.0;0.002222959054720988;K kb + Ca ka > -0.004473
Br ka > 0.16;0.7918226907123281;Br ka;0.16;>;0.06784282683791813;12.0;0.002689927561657729;Br ka > 0.067843
K kb + Ca ka > -0.21;0.7837710753736987;K kb + Ca ka;-0.21;>;-0.09902856852902749;8.0;0.00024530500274613787;K kb + Ca ka > -0.099029
K kb + Ca ka <= -0.04;0.7681168332110305;K kb + Ca ka;-0.04;<=;-0.004473062311435819;7.0;0.002222959054720988;K kb + Ca ka <= -0.004473
Rh ka Rayleigh > -0.20;0.7555205528465742;Rh ka Rayleigh;-0.20;>;-0.1316716984619449;3.0;0.0047360345108573565;Rh ka Rayleigh > -0.131672
Rh kb Compton <= -0.33;0.7202513955731102;Rh kb Compton;-0.33;<=;-0.17067466542856488;0.0;0.004081480645374946;Rh kb Compton <= -0.170675
Rh kb Compton > 0.32;0.7057805009033182;Rh kb Compton;0.32;>;0.1603826331037896;4.0;0.0009594960526652097;Rh kb Compton > 0.160383
K kb + Ca ka <= 0.06;0.675605559498236;K kb + Ca ka;0.06;<=;0.018223009446566324;11.0;0.0004104494653808452;K kb + Ca ka <= 0.018223
Cl > 0.01;0.6748850743865269;Cl;0.01;>;0.004829984517522252;20.0;0.0012378061281483298;Cl > 0.004830
K kb + Ca ka <= 0.14;0.6498955054587147;K kb + Ca ka;0.14;<=;0.06603656909561739;15.0;0.004631979412069165;K kb + Ca ka <= 0.066037
background3 <= -0.22;0.6484732350706114;background3;-0.22;<=;-0.0962219123141714;0.0;0.0034010342704737517;background3 <= -0.096222
Rh kb Rayleigh <= -0.14;0.6381869808493005;Rh kb Rayleigh;-0.14;<=;-0.04987620522399044;10.0;0.0014345158197897612;Rh kb Rayleigh <= -0.049876
Br ka <= -0.01;0.6365731718448167;Br ka;-0.01;<=;-0.006313531210045723;17.0;0.0040660380090094435;Br ka <= -0.006314
Br ka > 0.07;0.6204166351909141;Br ka;0.07;>;0.030583664649299114;11.0;0.0016357000013449002;Br ka > 0.030584
Rb kb <= -0.16;0.6157660381707101;Rb kb;-0.16;<=;-0.07181714397455435;5.0;0.0034326043683338414;Rb kb <= -0.071817
Rh ka Compton <= -0.57;0.6070688841469272;Rh ka Compton;-0.57;<=;-0.5389781837825094;0.0;0.003003959547338564;Rh ka Compton <= -0.538978
Rh kb Rayleigh > 0.15;0.6044057181718245;Rh kb Rayleigh;0.15;>;0.051262112490760424;4.0;0.002343546023809512;Rh kb Rayleigh > 0.051262
Rh kb Compton <= -0.14;0.6016242203162169;Rh kb Compton;-0.14;<=;-0.07349702606761128;18.0;0.001898362168405665;Rh kb Compton <= -0.073497
Rb kb > 0.19;0.5943916882471427;Rb kb;0.19;>;0.08224688139527057;12.0;0.00019663953644072363;Rb kb > 0.082247
Rh ka Compton > 0.64;0.5923893002964049;Rh ka Compton;0.64;>;0.5869908011829031;13.0;0.004384937066273298;Rh ka Compton > 0.586991
Rh kb Compton > -0.14;0.5901217177269563;Rh kb Compton;-0.14;>;-0.07349702606761128;18.0;0.001898362168405665;Rh kb Compton > -0.073497
Fe ka > 0.01;0.5817770633716056;Fe ka;0.01;>;0.0026160286559657876;3.0;0.0038708753314018202;Fe ka > 0.002616
Rh ka Compton > 0.20;0.581463209162622;Rh ka Compton;0.20;>;0.1760689500064933;16.0;0.003928077853834672;Rh ka Compton > 0.176069
Rh kb Compton > 0.08;0.5814252040195211;Rh kb Compton;0.08;>;0.04295683719669624;7.0;0.002702085056437639;Rh kb Compton > 0.042957
Br ka <= 0.07;0.5796991059806111;Br ka;0.07;<=;0.030583664649299114;11.0;0.0016357000013449002;Br ka <= 0.030584
background3 <= -0.07;0.5770391282878812;background3;-0.07;<=;-0.03169425282193171;18.0;0.003735835714509181;background3 <= -0.031694
Cl > -0.06;0.5763685889989147;Cl;-0.06;>;-0.016116695162556174;15.0;0.0006534021183492167;Cl > -0.016117
Fe ka <= -0.06;0.5706266691003152;Fe ka;-0.06;<=;-0.020094726201523114;19.0;0.001276855851786371;Fe ka <= -0.020095
Rh kb Rayleigh > 0.04;0.5684769324325937;Rh kb Rayleigh;0.04;>;0.013561170705898814;7.0;0.001419602903695423;Rh kb Rayleigh > 0.013561
Cu <= -0.08;0.5680377587177203;Cu;-0.08;<=;-0.02610573746995699;7.0;0.0008381755669711194;Cu <= -0.026106
background3 > 0.30;0.5643240404454412;background3;0.30;>;0.12994385895198038;12.0;0.0014301786258277827;background3 > 0.129944
Rb kb <= -0.04;0.5636979782932281;Rb kb;-0.04;<=;-0.017178213362807643;11.0;0.0013747030557683046;Rb kb <= -0.017178
Rb kb > 0.08;0.5594635552063538;Rb kb;0.08;>;0.033425193328160185;16.0;0.002514629656081846;Rb kb > 0.033425
Br ka > -0.01;0.5541375560619688;Br ka;-0.01;>;-0.006313531210045723;17.0;0.0040660380090094435;Br ka > -0.006314
Rh kb Compton <= 0.08;0.5535880480394543;Rh kb Compton;0.08;<=;0.04295683719669624;7.0;0.002702085056437639;Rh kb Compton <= 0.042957
Rh kb Compton <= 0.32;0.5531757884159619;Rh kb Compton;0.32;<=;0.1603826331037896;4.0;0.0009594960526652097;Rh kb Compton <= 0.160383
background3 <= 0.10;0.5499909453241889;background3;0.10;<=;0.043124653408298165;16.0;0.0003119065800907955;background3 <= 0.043125
Rh ka Compton <= -0.21;0.5490434584807857;Rh ka Compton;-0.21;<=;-0.19898862422605954;18.0;0.002422335047787133;Rh ka Compton <= -0.198989
Rh kb Rayleigh <= -0.05;0.5435413452754488;Rh kb Rayleigh;-0.05;<=;-0.017691689569712534;5.0;0.0025896451132033926;Rh kb Rayleigh <= -0.017692
Br ka > -0.14;0.5334375754165276;Br ka;-0.14;>;-0.05952137343857534;14.0;0.002788959481879044;Br ka > -0.059521
Br ka <= 0.16;0.5325018907391633;Br ka;0.16;<=;0.06784282683791813;12.0;0.002689927561657729;Br ka <= 0.067843
Rh kb Compton > -0.33;0.5313962316721068;Rh kb Compton;-0.33;>;-0.17067466542856488;0.0;0.004081480645374946;Rh kb Compton > -0.170675
Cu <= 0.02;0.5301989031985977;Cu;0.02;<=;0.00630222593131235;19.0;0.0028988263579112945;Cu <= 0.006302
Rh ka Compton <= 0.20;0.5296623142295901;Rh ka Compton;0.20;<=;0.1760689500064933;16.0;0.003928077853834672;Rh ka Compton <= 0.176069
Rh ka Compton <= 0.64;0.5264390479936841;Rh ka Compton;0.64;<=;0.5869908011829031;13.0;0.004384937066273298;Rh ka Compton <= 0.586991
Fe ka <= -0.04;0.5252807984984108;Fe ka;-0.04;<=;-0.012466156878401033;11.0;0.0007158032426648961;Fe ka <= -0.012466
Rh ka Compton > -0.21;0.5250294407074556;Rh ka Compton;-0.21;>;-0.19898862422605954;18.0;0.002422335047787133;Rh ka Compton > -0.198989
Fe ka > -0.04;0.5238444071337606;Fe ka;-0.04;>;-0.012466156878401033;11.0;0.0007158032426648961;Fe ka > -0.012466
Rh kb Rayleigh <= 0.04;0.5215322198309734;Rh kb Rayleigh;0.04;<=;0.013561170705898814;7.0;0.001419602903695423;Rh kb Rayleigh <= 0.013561
Fe ka > -0.06;0.5202859354459619;Fe ka;-0.06;>;-0.020094726201523114;19.0;0.001276855851786371;Fe ka > -0.020095
Rh kb Rayleigh > -0.05;0.5153264752527092;Rh kb Rayleigh;-0.05;>;-0.017691689569712534;5.0;0.0025896451132033926;Rh kb Rayleigh > -0.017692
Rh kb Rayleigh > -0.14;0.5151363900366965;Rh kb Rayleigh;-0.14;>;-0.04987620522399044;10.0;0.0014345158197897612;Rh kb Rayleigh > -0.049876
background3 <= 0.30;0.5131048049714003;background3;0.30;<=;0.12994385895198038;12.0;0.0014301786258277827;background3 <= 0.129944
