energy;Permutation_importance;Zone
3.3;0.026931055637126767;K ka
3.32;0.023674722174744853;K ka
3.28;0.022965990897702807;K ka
3.26;0.022074976313180616;K ka
3.24;0.016917893348634545;K ka
13.4;0.016740783729359464;Rb ka + Br kb
13.38;0.014962585372971312;Rb ka + Br kb
13.34;0.014491402011973856;Rb ka + Br kb
13.36;0.014055129000425276;Rb ka + Br kb
13.42;0.01188181081059782;Rb ka + Br kb
3.22;0.011678231542814183;K ka
13.44;0.010897781318538153;Rb ka + Br kb
13.32;0.010718093241269048;Rb ka + Br kb
3.34;0.010501717391719149;K ka
3.36;0.01024239698076398;K ka
13.28;0.007566516229363695;Rb ka + Br kb
13.3;0.006084606979832547;Rb ka + Br kb
3.2;0.005673089639716251;K ka
13.46;0.005493219971804854;Rb ka + Br kb
13.48;0.004960553236431509;Rb ka + Br kb
3.58;0.004436836465723919;K kb + Ca ka
3.56;0.003324286498789774;K kb + Ca ka
3.64;0.003179690393540175;K kb + Ca ka
13.26;0.003025325808524703;Rb ka + Br kb
13.5;0.0029081625205391827;Rb ka + Br kb
3.62;0.0027451680773073286;K kb + Ca ka
13.24;0.0027133061697739323;Rb ka + Br kb
3.54;0.0026956662487447325;K kb + Ca ka
3.5;0.0026640610451569525;K kb + Ca ka
3.38;0.0026176018497014756;K ka
3.18;0.0025236378520195678;K ka
3.52;0.0023943433984518056;K kb + Ca ka
6.38;0.002292644169282027;Fe ka
2.56;0.0022518302703959004;Cl
2.58;0.0022218577397078573;Cl
6.4;0.0020977428269265985;Fe ka
19.34;0.0019808783489886203;Rh ka Compton
20.26;0.0018791049614979606;Rh ka Rayleigh
18.98;0.0018310628947999477;Rh ka Compton
20.08;0.0017631609878151293;Rh ka Rayleigh
19.3;0.0017423387962831479;Rh ka Compton
19.26;0.0017131654058839718;Rh ka Compton
3.16;0.0016573389373469804;K ka
19.04;0.00160299135890173;Rh ka Compton
19.32;0.0016003431965996174;Rh ka Compton
20.06;0.0015904677170808534;Rh ka Rayleigh
2.6;0.0015777532631157652;Cl
13.52;0.0015359701632721191;Rb ka + Br kb
20.14;0.0014900806887972258;Rh ka Rayleigh
14.92;0.0014492433220972452;Rb kb
19.06;0.001419342373529801;Rh ka Compton
6.36;0.0014029497440750966;Fe ka
18.9;0.0013607000668378116;Rh ka Compton
3.94;0.0013281593471063575;Ca kb
10.06;0.0013268579334020964;background2
20.16;0.001324393920436749;Rh ka Rayleigh
20.1;0.0013239731500733856;Rh ka Rayleigh
19.4;0.0013163034334712504;Rh ka Compton
