Method_1;Method_2;RBO_Score
VIP_Score;Reg_Coefficient;0.9717524751
Shap;Permutation;0.8985419937233333
Shap;LRC_perturbation;0.84856057697
Permutation;LRC_perturbation;0.7916225769699999
LRC_perturbation;LRC_covariance;0.6950699992633333
Shap;LRC_covariance;0.6109371769699999
Permutation;LRC_covariance;0.5996745821766667
Reg_Coefficient;Permutation;0.5743294992633333
VIP_Score;Permutation;0.5743294992633333
Reg_Coefficient;Shap;0.5516927855133333
VIP_Score;Shap;0.5516927855133333
Reg_Coefficient;LRC_perturbation;0.51322146876
VIP_Score;LRC_perturbation;0.51322146876
VIP_Score;LRC_covariance;0.30281798738333326
Reg_Coefficient;LRC_covariance;0.30281798738333326
