energy;VIP_Score;Zone
13.4;7.452491895233306;Rb ka + Br kb
13.38;7.095921488122121;Rb ka + Br kb
13.34;6.766616543966125;Rb ka + Br kb
13.36;6.445550555099952;Rb ka + Br kb
3.3;6.23688222091081;K ka
13.44;5.832250000837201;Rb ka + Br kb
13.42;5.640746390266572;Rb ka + Br kb
3.32;5.4761265382809245;K ka
13.32;5.383764308620749;Rb ka + Br kb
3.26;5.1617116988446465;K ka
13.28;5.060988771947069;Rb ka + Br kb
3.28;5.0263013685287605;K ka
3.24;4.43064850409867;K ka
13.3;4.244878381599049;Rb ka + Br kb
13.48;3.9880873182821643;Rb ka + Br kb
3.22;3.772099238557479;K ka
13.46;3.6511204260669903;Rb ka + Br kb
3.36;3.458223508853349;K ka
3.34;3.0719869516734772;K ka
13.26;2.795419892040872;Rb ka + Br kb
6.38;2.7633462150183625;Fe ka
3.58;2.68984160821724;K kb + Ca ka
13.24;2.597300546035464;Rb ka + Br kb
13.5;2.590703783205765;Rb ka + Br kb
3.2;2.377180606472165;K ka
10.06;2.1328305124477698;background2
3.64;2.1213472974638465;K kb + Ca ka
6.4;2.0755505198019706;Fe ka
2.56;2.067719010965962;Cl
3.5;1.9742360316487924;K kb + Ca ka
7.5;1.9732595024685127;Cu
3.94;1.9641972430039056;Ca kb
3.56;1.9528340065439738;K kb + Ca ka
3.62;1.9225243729361903;K kb + Ca ka
14.92;1.8145002346165686;Rb kb
6.36;1.7835225374505763;Fe ka
2.58;1.7569129304996658;Cl
22.88;1.729727209119612;Rh kb Rayleigh
10.28;1.7056789093461622;background2
3.52;1.6486616016483626;K kb + Ca ka
10.38;1.6282400382807292;background2
10.02;1.6251627296796487;background2
12.12;1.6172162758319666;Br ka
3.54;1.6033843480850583;K kb + Ca ka
11.36;1.5867813923881298;background2
20.26;1.5669336237102487;Rh ka Rayleigh
11.98;1.5552680899140512;Br ka
11.16;1.5450990270432132;background2
2.52;1.5438211657562726;Cl
8.96;1.5270036440114694;background2
13.52;1.525288032709307;Rb ka + Br kb
11.38;1.5198670298946833;background2
14.3;1.5194777566290891;Sr ka
7.92;1.5174423956412821;Cu
5.36;1.506680472475152;background1
16.62;1.505829454629997;background3
12;1.484505952087783;Br ka
20.08;1.4775904971659972;Rh ka Rayleigh
6.28;1.4760617669410736;Fe ka
11.08;1.4752303127585056;background2
2.6;1.4652395660870636;Cl
4.94;1.4348626311537125;background1
9.06;1.4192335056703274;background2
11.96;1.4103565131804057;Br ka
12.34;1.4064353065873023;Br ka
11.8;1.402025281579113;Br ka
7.72;1.4005398542783467;Cu
22.16;1.4002049682511024;Rh kb Compton
11.56;1.399782113423601;Br ka
10.52;1.3685857380212545;background2
9.64;1.3651162146129532;background2
14.9;1.3620858874656725;Rb kb
13.54;1.354050772641803;Rb ka + Br kb
7.26;1.3510178750592867;Fe kb
3.16;1.3502161819457774;K ka
15.06;1.3490355001603227;Rb kb
21.16;1.3394795256144425;Rh kb Compton
3.18;1.329284874484057;K ka
14.98;1.3252542012306863;Rb kb
20.06;1.3196866240092622;Rh ka Rayleigh
3.38;1.3020452223730226;K ka
4.46;1.2984541331758694;background1
8.8;1.2952138993746578;Zn
7.3;1.2899038965347098;Cu
11.7;1.2890775634336997;Br ka
8.3;1.280252454315908;Cu
5.48;1.2744293553471213;background1
16.34;1.2724231769286531;background3
11.4;1.2656050447354463;background2
10.74;1.2626527021481042;background2
12.58;1.2626011366545462;Rb ka + Br kb
9.54;1.2514587693618255;background2
11.68;1.2513879896814748;Br ka
15.76;1.247316255689336;background3
12.86;1.243880683198152;Rb ka + Br kb
10.72;1.2316120104977362;background2
6.34;1.2302807274170797;Fe ka
14.86;1.2298153275331516;Rb kb
18.98;1.225888627690911;Rh ka Compton
20.1;1.2171595048803905;Rh ka Rayleigh
4.04;1.216681778645437;Ca kb
11.14;1.2145418271890867;background2
6.16;1.2140639315371493;Fe ka
16.92;1.2139366404816068;background3
10.88;1.2123899503700015;background2
6.42;1.2031368165452119;Fe ka
9.42;1.1912991397869162;background2
5.24;1.184701340948462;background1
7.32;1.179650689977331;Cu
7.06;1.1785555056018147;Fe kb
10.34;1.1780557448740163;background2
22.9;1.1696970452787796;Rh kb Rayleigh
