Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka > 0.40;27.965175619868305;K ka;0.40;>;0.40590285816921945;15.0;0.0018929843288971182;K ka > 0.405903
K ka > 0.03;19.758653764242865;K ka;0.03;>;0.022010867155680014;11.0;0.003498478198103897;K ka > 0.022011
K ka <= -0.52;19.02669773754843;K ka;-0.52;<=;-0.5291541202455812;18.0;0.004942708091810855;K ka <= -0.529154
K ka > -0.18;16.881840830950154;K ka;-0.18;>;-0.1801108169847323;9.0;0.001120520824131277;K ka > -0.180111
K ka <= -0.18;15.883733613081061;K ka;-0.18;<=;-0.1801108169847323;9.0;0.001120520824131277;K ka <= -0.180111
K ka <= 0.03;14.44034372261157;K ka;0.03;<=;0.022010867155680014;11.0;0.003498478198103897;K ka <= 0.022011
K ka > -0.52;11.690841168299126;K ka;-0.52;>;-0.5291541202455812;18.0;0.004942708091810855;K ka > -0.529154
Rb ka + Br kb > 0.15;9.761764508412595;Rb ka + Br kb;0.15;>;0.08009140773825996;8.0;0.0008022663230623228;Rb ka + Br kb > 0.080091
K ka <= 0.40;7.864306408459525;K ka;0.40;<=;0.40590285816921945;15.0;0.0018929843288971182;K ka <= 0.405903
Rb ka + Br kb > -0.08;4.308849445600787;Rb ka + Br kb;-0.08;>;-0.03963368577174564;17.0;0.004905499211687009;Rb ka + Br kb > -0.039634
Rb ka + Br kb > -0.11;3.4128482789218184;Rb ka + Br kb;-0.11;>;-0.053766300778467224;2.0;0.004804012311701092;Rb ka + Br kb > -0.053766
K kb + Ca ka > 0.14;2.7852095403081054;K kb + Ca ka;0.14;>;0.06603656909561739;15.0;0.004631979412069137;K kb + Ca ka > 0.066037
Rb ka + Br kb > -0.29;2.193843332605961;Rb ka + Br kb;-0.29;>;-0.14655043380899568;3.0;0.0034151301898791564;Rb ka + Br kb > -0.146550
