Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > -2.47;7.882772153620601;F1;-2.47;>;-2.4692796902011955;70.0;0.0007203097988046636;F1 > -2.469280
F1 > -2.43;6.058890405602782;F1;-2.43;>;-2.4302717918594214;18.0;0.0002717918594208335;F1 > -2.430272
F5 > -1.83;4.740744181525166;F5;-1.83;>;-1.8302825286863247;186.0;0.00028252868632350214;F5 > -1.830283
F1 <= 2.88;3.652389692365359;F1;2.88;<=;2.8775246855623418;163.0;0.0024753144376603586;F1 <= 2.877525
F5 <= 2.10;2.3873696007411525;F5;2.10;<=;2.0996121824849845;76.0;0.00038781751501604234;F5 <= 2.099612
F5 > -1.79;1.2141633145503996;F5;-1.79;>;-1.7893030447360718;178.0;0.0006969552639277676;F5 > -1.789303
F4 > -1.63;1.1287075221742993;F4;-1.63;>;-1.631439434433272;56.0;0.0014394344332724351;F4 > -1.631439
F6 > -1.37;0.971094539165829;F6;-1.37;>;-1.370059963016235;175.0;5.99630162347875e-05;F6 > -1.370060
F4 > -0.67;0.9245862894647461;F4;-0.67;>;-0.6693820240864425;42.0;0.0006179759135578333;F4 > -0.669382
F3 > -1.46;0.9233156084310429;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710937077;F3 > -1.460111
F2 > -0.54;0.8985363823703438;F2;-0.54;>;-0.5397182313341017;77.0;0.0002817686658977969;F2 > -0.539718
F6 > 0.11;0.8735225801154667;F6;0.11;>;0.10912815703409616;112.0;0.0008718429659046317;F6 > 0.109128
F2 > -1.57;0.8537138608349247;F2;-1.57;>;-1.5674764883322954;193.0;0.002523511667704037;F2 > -1.567476
F3 > -0.44;0.8306113527852986;F3;-0.44;>;-0.4400067962233723;87.0;6.796223373073396e-06;F3 > -0.440007
F6 > -0.58;0.7867929905549378;F6;-0.58;>;-0.5791141824948309;144.0;0.0008858175051689177;F6 > -0.579114
F5 <= 0.75;0.6114243997839749;F5;0.75;<=;0.7514827277200313;52.0;0.0014827277200312183;F5 <= 0.751483
F1 > 0.67;0.4730146149580255;F1;0.67;>;0.6748145005323755;174.0;0.004814500532375532;F1 > 0.674815
F2 > 0.21;0.398845564991382;F2;0.21;>;0.21265160537059324;53.0;0.0026516053705934184;F2 > 0.212652
F1 <= 0.67;0.38229191719111083;F1;0.67;<=;0.6748145005323755;174.0;0.004814500532375532;F1 <= 0.674815
F3 > 0.27;0.346431249426293;F3;0.27;>;0.27110465216312785;58.0;0.0011046521631278838;F3 > 0.271105
F2 <= 1.43;0.3441373580008058;F2;1.43;<=;1.4310258347933535;104.0;0.0010258347933533862;F2 <= 1.431026
F3 <= 1.39;0.3435935262291463;F3;1.39;<=;1.390245037253563;157.0;0.00024503725356361805;F3 <= 1.390245
F4 > 0.28;0.3227211490191705;F4;0.28;>;0.2820983354519534;26.0;0.0020983354519530373;F4 > 0.282098
F4 <= 1.58;0.2816598728913112;F4;1.58;<=;1.582285629668556;194.0;0.002285629668556055;F4 <= 1.582286
F6 <= 1.18;0.2461594037256855;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856548998;F6 <= 1.180851
F6 <= -1.37;0.1507287921260107;F6;-1.37;<=;-1.370059963016235;175.0;5.99630162347875e-05;F6 <= -1.370060
F6 <= 0.11;0.13992408800532477;F6;0.11;<=;0.10912815703409616;112.0;0.0008718429659046317;F6 <= 0.109128
F5 > 0.75;0.09152798110015627;F5;0.75;>;0.7514827277200313;52.0;0.0014827277200312183;F5 > 0.751483
F3 <= 0.27;0.08286423653006326;F3;0.27;<=;0.27110465216312785;58.0;0.0011046521631278838;F3 <= 0.271105
F6 > 1.18;0.07158255779492174;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856548998;F6 > 1.180851
F6 <= -0.58;0.06819275892856602;F6;-0.58;<=;-0.5791141824948309;144.0;0.0008858175051689177;F6 <= -0.579114
F3 <= -0.44;0.06706060926872007;F3;-0.44;<=;-0.4400067962233723;87.0;6.796223373073396e-06;F3 <= -0.440007
F2 <= 0.21;0.06591251354029458;F2;0.21;<=;0.21265160537059324;53.0;0.0026516053705934184;F2 <= 0.212652
F4 <= -0.67;0.06271409982470195;F4;-0.67;<=;-0.6693820240864425;42.0;0.0006179759135578333;F4 <= -0.669382
F2 <= -0.54;0.05208698977774334;F2;-0.54;<=;-0.5397182313341017;77.0;0.0002817686658977969;F2 <= -0.539718
F4 <= 0.28;0.05128263423752165;F4;0.28;<=;0.2820983354519534;26.0;0.0020983354519530373;F4 <= 0.282098
background4 > -0.05;0.03716118970909075;background4;-0.05;>;-0.050054357462799834;197.0;5.435746279985887e-05;background4 > -0.050054
background4 > -0.03;0.03261355260593903;background4;-0.03;>;-0.029654599390620068;61.0;0.00034540060937991723;background4 > -0.029655
background5 > 0.00;0.007898590432949241;background5;0.00;>;-0.0006636292739978572;150.0;0.0006636292739978832;background5 > -0.000664
background4 > 0.00;0.0028918682709836883;background4;0.00;>;-0.0001987614795981211;4.0;0.0001987614795981687;background4 > -0.000199
background5 > -0.04;7.225562021744573e-05;background5;-0.04;>;-0.039783786690186354;30.0;0.00021621330981353576;background5 > -0.039784
Class_A;0.0;;;;;;;
Class_B;0.0;;;;;;;
