Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.67;9.159817532027478;F1;0.67;>;0.6748145005323755;174.0;0.004814500532375532;F1 > 0.674815
F1 > -2.43;6.864010118217925;F1;-2.43;>;-2.4302717918594214;18.0;0.0002717918594208335;F1 > -2.430272
F1 > -2.47;5.176227784599315;F1;-2.47;>;-2.4692796902011955;70.0;0.0007203097988046636;F1 > -2.469280
F5 > 0.75;3.8215655919279827;F5;0.75;>;0.7514827277200313;52.0;0.0014827277200312183;F5 > 0.751483
F5 > -1.79;3.110361239633244;F5;-1.79;>;-1.7893030447360718;178.0;0.0006969552639277676;F5 > -1.789303
F1 <= 2.88;2.9302621621315676;F1;2.88;<=;2.8775246855623418;163.0;0.0024753144376603586;F1 <= 2.877525
F5 > -1.83;2.5850524270810675;F5;-1.83;>;-1.8302825286863247;186.0;0.00028252868632350214;F5 > -1.830283
F5 <= 2.10;2.120107533602462;F5;2.10;<=;2.0996121824849845;76.0;0.00038781751501604234;F5 <= 2.099612
F5 <= -1.79;1.73965780550595;F5;-1.79;<=;-1.7893030447360718;178.0;0.0006969552639277676;F5 <= -1.789303
F6 > 1.18;1.5020562888943543;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856548998;F6 > 1.180851
F5 <= 0.75;1.3541668347365061;F5;0.75;<=;0.7514827277200313;52.0;0.0014827277200312183;F5 <= 0.751483
F4 > 0.28;0.9120442277105596;F4;0.28;>;0.2820983354519534;26.0;0.0020983354519530373;F4 > 0.282098
F3 > 0.27;0.8388767255689104;F3;0.27;>;0.27110465216312785;58.0;0.0011046521631278838;F3 > 0.271105
F2 > 0.21;0.780793411440478;F2;0.21;>;0.21265160537059324;53.0;0.0026516053705934184;F2 > 0.212652
F6 <= -1.37;0.7541761598218963;F6;-1.37;<=;-1.370059963016235;175.0;5.99630162347875e-05;F6 <= -1.370060
F1 <= 0.67;0.7488145132424362;F1;0.67;<=;0.6748145005323755;174.0;0.004814500532375532;F1 <= 0.674815
F6 > 0.11;0.7309004204433711;F6;0.11;>;0.10912815703409616;112.0;0.0008718429659046317;F6 > 0.109128
F4 > -0.67;0.6461577550455476;F4;-0.67;>;-0.6693820240864425;42.0;0.0006179759135578333;F4 > -0.669382
F4 <= -0.67;0.5958427050778976;F4;-0.67;<=;-0.6693820240864425;42.0;0.0006179759135578333;F4 <= -0.669382
F3 <= -0.44;0.556297818921993;F3;-0.44;<=;-0.4400067962233723;87.0;6.796223373073396e-06;F3 <= -0.440007
F2 <= -0.54;0.5306857336909181;F2;-0.54;<=;-0.5397182313341017;77.0;0.0002817686658977969;F2 <= -0.539718
F4 > -1.63;0.5017767032063343;F4;-1.63;>;-1.631439434433272;56.0;0.0014394344332724351;F4 > -1.631439
F3 > -0.44;0.47719573018975553;F3;-0.44;>;-0.4400067962233723;87.0;6.796223373073396e-06;F3 > -0.440007
F2 > -0.54;0.46765000223073205;F2;-0.54;>;-0.5397182313341017;77.0;0.0002817686658977969;F2 > -0.539718
F1 <= -2.43;0.46685101203889406;F1;-2.43;<=;-2.4302717918594214;18.0;0.0002717918594208335;F1 <= -2.430272
F4 <= 1.58;0.464638119299577;F4;1.58;<=;1.582285629668556;194.0;0.002285629668556055;F4 <= 1.582286
F6 > -0.58;0.4615026252300003;F6;-0.58;>;-0.5791141824948309;144.0;0.0008858175051689177;F6 > -0.579114
F2 > -1.57;0.45500168655227474;F2;-1.57;>;-1.5674764883322954;193.0;0.002523511667704037;F2 > -1.567476
F6 <= -0.58;0.45162195974347563;F6;-0.58;<=;-0.5791141824948309;144.0;0.0008858175051689177;F6 <= -0.579114
F3 > -1.46;0.4377351293627386;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710937077;F3 > -1.460111
F6 > -1.37;0.4203537078943715;F6;-1.37;>;-1.370059963016235;175.0;5.99630162347875e-05;F6 > -1.370060
F4 <= 0.28;0.40480162737940806;F4;0.28;<=;0.2820983354519534;26.0;0.0020983354519530373;F4 <= 0.282098
F3 <= 0.27;0.40014772344321703;F3;0.27;<=;0.27110465216312785;58.0;0.0011046521631278838;F3 <= 0.271105
F2 <= 0.21;0.39110244126689575;F2;0.21;<=;0.21265160537059324;53.0;0.0026516053705934184;F2 <= 0.212652
F3 <= 1.39;0.37687544207737556;F3;1.39;<=;1.390245037253563;157.0;0.00024503725356361805;F3 <= 1.390245
F2 <= 1.43;0.3316945716424838;F2;1.43;<=;1.4310258347933535;104.0;0.0010258347933533862;F2 <= 1.431026
F6 <= 0.11;0.24675033554016199;F6;0.11;<=;0.10912815703409616;112.0;0.0008718429659046317;F6 <= 0.109128
F6 <= 1.18;0.14412564406844317;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856548998;F6 <= 1.180851
background4 > 0.00;9.907920756989098e-05;background4;0.00;>;-0.0001987614795981211;4.0;0.0001987614795981687;background4 > -0.000199
background4 <= -0.03;9.528365152865694e-05;background4;-0.03;<=;-0.029654599390620068;61.0;0.00034540060937991723;background4 <= -0.029655
background4 > -0.03;9.166576407161628e-05;background4;-0.03;>;-0.029654599390620068;61.0;0.00034540060937991723;background4 > -0.029655
background4 > -0.05;9.143133599150385e-05;background4;-0.05;>;-0.050054357462799834;197.0;5.435746279985887e-05;background4 > -0.050054
background5 > 0.00;8.522697924261823e-05;background5;0.00;>;-0.0006636292739978572;150.0;0.0006636292739978832;background5 > -0.000664
background4 <= 0.00;5.5363899094582644e-05;background4;0.00;<=;-0.0001987614795981211;4.0;0.0001987614795981687;background4 <= -0.000199
background5 > -0.07;4.48792988159841e-05;background5;-0.07;>;-0.07063442747321788;85.0;0.000634427473217819;background5 > -0.070634
background4 <= 0.04;4.252229269778735e-05;background4;0.04;<=;0.03953144135865977;20.0;0.0004685586413402526;background4 <= 0.039531
background5 > -0.04;3.995261509334529e-05;background5;-0.04;>;-0.039783786690186354;30.0;0.00021621330981353576;background5 > -0.039784
background5 <= -0.07;3.7489195967321844e-05;background5;-0.07;<=;-0.07063442747321788;85.0;0.000634427473217819;background5 <= -0.070634
background6 > 0.01;3.583488934278293e-05;background6;0.01;>;0.010016233792241293;74.0;1.6233792241308193e-05;background6 > 0.010016
