Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.67;9.005742087683224;F1;0.67;>;0.6748145005323765;174.0;0.004814500532376198;F1 > 0.674815
F1 > -2.43;6.928331665216625;F1;-2.43;>;-2.430271791859421;18.0;0.0002717918594212776;F1 > -2.430272
F1 > -2.47;5.431964680202065;F1;-2.47;>;-2.469279690201195;70.0;0.0007203097988046636;F1 > -2.469280
F5 > 0.75;4.289533395074956;F5;0.75;>;0.7514827277200322;52.0;0.0014827277200314404;F5 > 0.751483
F5 > -1.79;3.4348049065569555;F5;-1.79;>;-1.7893030447360714;178.0;0.0006969552639286558;F5 > -1.789303
F5 > -1.83;2.9600292695842727;F5;-1.83;>;-1.830282528686324;186.0;0.00028252868632350214;F5 > -1.830283
F1 <= 2.88;2.638538323130927;F1;2.88;<=;2.877524685562342;163.0;0.002475314437658138;F1 <= 2.877525
F5 <= 2.10;2.215617518354724;F5;2.10;<=;2.099612182484983;76.0;0.0003878175150164864;F5 <= 2.099612
F5 <= -1.79;1.8166596436702638;F5;-1.79;<=;-1.7893030447360714;178.0;0.0006969552639286558;F5 <= -1.789303
F6 > 1.18;1.7828644781130707;F6;1.18;>;1.1808510984856548;44.0;0.0008510984856546777;F6 > 1.180851
F5 <= 0.75;1.4261648772608513;F5;0.75;<=;0.7514827277200322;52.0;0.0014827277200314404;F5 <= 0.751483
F6 > 0.11;1.0969006866024824;F6;0.11;>;0.10912815703409606;112.0;0.0008718429659037158;F6 > 0.109128
F4 > 0.28;0.7936524512991169;F4;0.28;>;0.28209833545195373;26.0;0.0020983354519532593;F4 > 0.282098
F1 <= 0.67;0.7386262572153424;F1;0.67;<=;0.6748145005323765;174.0;0.004814500532376198;F1 <= 0.674815
F3 > 0.27;0.7336819689681524;F3;0.27;>;0.27110465216313084;58.0;0.001104652163128217;F3 > 0.271105
F6 <= -1.37;0.7228376606313086;F6;-1.37;<=;-1.3700599630162351;175.0;5.996301623545364e-05;F6 <= -1.370060
F2 > 0.21;0.6219419502910764;F2;0.21;>;0.2126516053705929;53.0;0.0026516053705934184;F2 > 0.212652
F6 <= -0.58;0.5948316249529599;F6;-0.58;<=;-0.5791141824948305;144.0;0.0008858175051691397;F6 <= -0.579114
F6 > -0.58;0.5475953424175729;F6;-0.58;>;-0.5791141824948305;144.0;0.0008858175051691397;F6 > -0.579114
F4 <= -0.67;0.5022176087705247;F4;-0.67;<=;-0.6693820240864414;42.0;0.0006179759135580554;F4 <= -0.669382
F3 <= -0.44;0.48531105464942187;F3;-0.44;<=;-0.4400067962233729;87.0;6.796223373795041e-06;F3 <= -0.440007
F4 > -0.67;0.48112030586136734;F4;-0.67;>;-0.6693820240864414;42.0;0.0006179759135580554;F4 > -0.669382
F6 > -1.37;0.47199688713919014;F6;-1.37;>;-1.3700599630162351;175.0;5.996301623545364e-05;F6 > -1.370060
F2 <= -0.54;0.45771760042670184;F2;-0.54;<=;-0.5397182313341022;77.0;0.00028176866589801897;F2 <= -0.539718
F4 > -1.63;0.44374319195319945;F4;-1.63;>;-1.631439434433271;56.0;0.0014394344332724351;F4 > -1.631439
F6 <= 0.11;0.3747662667246815;F6;0.11;<=;0.10912815703409606;112.0;0.0008718429659037158;F6 <= 0.109128
F2 > -0.54;0.37148885981061747;F2;-0.54;>;-0.5397182313341022;77.0;0.00028176866589801897;F2 > -0.539718
F3 > -0.44;0.3651818130660797;F3;-0.44;>;-0.4400067962233729;87.0;6.796223373795041e-06;F3 > -0.440007
F1 <= -2.43;0.36480667040671033;F1;-2.43;<=;-2.430271791859421;18.0;0.0002717918594212776;F1 <= -2.430272
F4 <= 1.58;0.36365494802672227;F4;1.58;<=;1.5822856296685552;194.0;0.002285629668555389;F4 <= 1.582286
F2 > -1.57;0.3612362858421215;F2;-1.57;>;-1.5674764883322974;193.0;0.002523511667703149;F2 > -1.567476
F6 <= 1.18;0.33800972057259887;F6;1.18;<=;1.1808510984856548;44.0;0.0008510984856546777;F6 <= 1.180851
F3 > -1.46;0.3216984109181914;F3;-1.46;>;-1.4601111472971091;64.0;0.00011114729710959281;F3 > -1.460111
F3 <= 0.27;0.3207750642341458;F3;0.27;<=;0.27110465216313084;58.0;0.001104652163128217;F3 <= 0.271105
F4 <= 0.28;0.3157082546093961;F4;0.28;<=;0.28209833545195373;26.0;0.0020983354519532593;F4 <= 0.282098
F3 <= 1.39;0.2686362592918321;F3;1.39;<=;1.390245037253563;157.0;0.000245037253563396;F3 <= 1.390245
F2 <= 0.21;0.2386676832354367;F2;0.21;<=;0.2126516053705929;53.0;0.0026516053705934184;F2 <= 0.212652
F2 <= 1.43;0.16470410762196816;F2;1.43;<=;1.4310258347933527;104.0;0.0010258347933538303;F2 <= 1.431026
background4 > 0.00;0.00015267470492087443;background4;0.00;>;-0.00019876147959815849;4.0;0.00019876147959816117;background4 > -0.000199
background4 <= -0.03;0.00014503061752476379;background4;-0.03;<=;-0.02965459939062006;61.0;0.00034540060937991723;background4 <= -0.029655
background4 > -0.03;0.0001395952196584685;background4;-0.03;>;-0.02965459939062006;61.0;0.00034540060937991723;background4 > -0.029655
background5 > 0.00;0.00013640322162717674;background5;0.00;>;-0.000663629273997865;150.0;0.0006636292739978559;background5 > -0.000664
background4 > -0.05;0.000132704119962803;background4;-0.05;>;-0.05005435746279986;197.0;5.435746279987275e-05;background4 > -0.050054
background4 <= 0.04;0.0001286696528682407;background4;0.04;<=;0.03953144135865977;20.0;0.00046855864134019015;background4 <= 0.039531
background4 <= 0.00;0.0001258092481232232;background4;0.00;<=;-0.00019876147959815849;4.0;0.00019876147959816117;background4 <= -0.000199
background5 > -0.04;0.00012369640814679174;background5;-0.04;>;-0.03978378669018651;30.0;0.0002162133098134872;background5 > -0.039784
background5 > -0.07;9.668498942702584e-05;background5;-0.07;>;-0.07063442747321785;85.0;0.0006344274732178051;background5 > -0.070634
