VIP_Score;Reg_Coefficient;Permutation;LRC_perturbation;LRC_covariance
Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb;Rb ka + Br kb
K kb + Ca ka;K kb + Ca ka;K ka;K ka;Rh ka Compton
K ka;Cl;K kb + Ca ka;Rh ka Compton;K ka
Rh ka Compton;background1;Cl;K kb + Ca ka;Cu
Cl;background3;Rh ka Compton;Cl;Rh ka Rayleigh
background1;K ka;background3;Rh kb Compton;background3
Cu;Zn;Rh kb Compton;Rh ka Rayleigh;Rh kb Compton
background3;Cu;Rh ka Rayleigh;background3;Br ka
background2;Rh ka Compton;background1;Fe;Cl
Zn;Rh kb Rayleigh;Br ka;Cu;Rh kb Rayleigh
Br ka;Rh kb Compton;Fe;Zn;K kb + Ca ka
Fe;background2;Cu;Rh kb Rayleigh;background2
Rh kb Rayleigh;Br ka;Zn;background2;Fe
Rh kb Compton;Fe;Rh kb Rayleigh;background1;
Rh ka Rayleigh;Rh ka Rayleigh;background2;Br ka;
Mn;Mn;Mn;S;
S;S;S;Mn;
;;;;
